"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","1","1","1","4","4","3","4","1","3","4","3","3","2","1","1","2","2","1","6","2"
"2","1","2","1","2","1","2","2","1","4","4","4","2","3","2","4","3","2","3","2","5","5"
"3","2","1","1","2","4","3","2","2","1","1","4","1","2","4","2","4","1","2","4","5","1"
"4","1","1","1","1","3","2","4","4","2","1","3","4","2","2","3","2","3","4","1","5","3"
"5","2","1","2","1","1","4","3","2","3","3","1","3","1","3","4","4","3","4","2","5","6"
"6","2","2","1","1","2","1","2","4","1","4","2","1","2","3","4","3","3","4","3","7","2"
"7","2","1","1","2","2","2","4","4","2","2","4","1","1","1","4","1","2","1","4","4","6"
"8","2","1","1","2","4","1","4","1","3","1","1","3","3","3","3","2","2","3","4","7","8"
"9","1","1","1","1","3","4","2","3","4","1","2","2","3","1","2","4","4","1","1","7","6"
"10","1","1","1","1","4","2","1","3","3","3","1","1","2","1","4","3","1","3","1","8","7"
"11","1","1","2","2","1","1","4","3","1","1","4","3","1","2","2","3","3","1","3","8","4"
"12","1","2","2","1","2","4","1","3","1","1","1","4","3","4","4","2","3","2","4","4","5"
"13","2","1","1","2","3","1","1","2","2","3","3","2","3","4","4","3","4","4","4","6","4"
"14","2","2","2","2","2","3","4","1","1","3","1","2","2","2","3","3","4","2","1","3","6"
"15","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","8","8"
"16","2","2","1","1","1","1","3","3","4","2","4","4","2","4","3","2","1","3","3","6","6"
"17","1","1","1","1","1","1","4","1","3","2","2","2","4","4","4","1","3","2","1","2","1"
"18","2","2","1","1","1","3","1","4","2","2","1","2","3","3","2","4","2","2","3","8","3"
"19","1","1","2","2","1","3","2","4","3","1","1","1","4","1","3","1","4","4","3","6","5"
"20","1","1","2","2","4","4","3","2","3","4","2","2","2","4","3","3","2","1","3","4","3"
"21","2","1","2","1","4","1","4","3","1","2","3","2","2","1","1","4","2","4","2","1","5"
"22","1","2","1","2","4","3","1","4","2","1","2","3","4","4","1","3","3","3","2","1","6"
"23","2","1","2","1","2","4","2","1","2","1","3","2","1","4","3","1","1","3","2","8","2"
"24","2","1","2","1","2","2","4","2","4","1","2","4","4","3","2","3","2","2","2","6","7"
