"","A","B","C"
"1","2","1","10"
"2","1","1","11"
"3","1","2","14"
"4","2","1","30"
"5","1","2","42"
"6","1","2","6"
"7","2","2","41"
"8","1","2","46"
"9","2","1","42"
"10","2","1","14"
"11","2","2","5"
"12","2","2","33"
"13","1","1","1"
"14","1","2","26"
"15","1","1","45"
"16","2","1","44"
"17","1","1","51"
"18","2","1","26"
"19","2","1","22"
"20","1","2","30"
"21","1","2","38"
"22","2","1","24"
"23","1","2","36"
"24","2","2","27"
"25","1","2","18"
"26","2","2","11"
"27","1","1","37"
"28","1","1","39"
"29","2","2","49"
"30","2","2","37"
"31","1","2","44"
"32","1","1","29"
"33","1","1","23"
"34","2","2","39"
"35","2","2","15"
"36","1","1","49"
"37","2","2","29"
"38","1","2","12"
"39","1","1","25"
"40","2","1","8"
"41","1","2","24"
"42","1","1","3"
"43","1","2","28"
"44","2","2","17"
"45","1","2","10"
"46","1","1","7"
"47","1","2","8"
"48","2","2","9"
"49","1","1","35"
"50","1","1","31"
"51","1","1","41"
"52","1","2","16"
"53","1","1","47"
"54","1","2","50"
"55","2","1","40"
"56","2","1","18"
"57","2","2","31"
"58","2","2","47"
"59","1","1","13"
"60","1","2","54"
"61","2","2","19"
"62","2","1","34"
"63","2","2","35"
"64","2","1","4"
"65","1","1","43"
"66","1","2","20"
"67","2","2","7"
"68","1","1","19"
"69","1","1","9"
"70","1","2","2"
"71","2","1","28"
"72","2","2","13"
"73","1","1","5"
"74","1","1","27"
"75","1","2","40"
"76","2","2","25"
"77","2","2","23"
"78","2","2","45"
"79","2","2","3"
"80","2","1","46"
"81","1","2","34"
"82","2","1","54"
"83","2","1","6"
"84","1","2","48"
"85","2","1","16"
"86","2","1","2"
"87","2","2","53"
"88","1","1","53"
"89","2","1","38"
"90","2","2","43"
"91","2","1","52"
"92","1","1","17"
"93","2","2","1"
"94","2","1","20"
"95","1","2","4"
"96","2","2","21"
"97","1","2","32"
"98","1","1","21"
"99","1","1","15"
"100","1","2","52"
"101","1","2","22"
"102","2","1","50"
"103","2","1","48"
"104","2","1","12"
"105","2","1","36"
"106","2","1","32"
"107","1","1","33"
"108","2","2","51"
