"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","1","1","4","4","4","1","1","1","3","3","3","2","2","2","5"
"2","2","2","3","2","1","4","1","2","1","4","3","2","3","4","1"
"3","2","1","1","3","2","2","4","1","3","1","4","2","3","4","4"
"4","1","2","3","4","2","3","1","4","4","1","2","2","1","3","2"
"5","1","1","2","2","2","4","4","4","3","3","3","1","1","1","3"
"6","2","2","1","4","3","2","3","4","3","2","1","4","1","2","1"
"7","2","2","3","2","1","1","2","4","3","1","4","3","4","2","3"
"8","1","1","4","4","4","4","4","4","4","4","4","4","4","4","1"
"9","1","1","3","3","3","3","3","3","3","3","3","3","3","3","1"
"10","2","2","4","1","2","1","3","2","3","4","2","3","1","4","5"
"11","2","2","1","4","3","3","4","2","1","3","2","1","2","4","3"
"12","2","2","4","1","2","2","1","3","4","2","3","4","3","1","3"
"13","1","2","2","1","3","2","4","1","1","4","3","3","4","2","2"
"14","1","2","2","1","3","1","2","4","4","3","1","2","3","4","4"
"15","1","2","1","2","4","2","1","3","3","4","2","1","4","3","4"
"16","2","1","1","3","2","1","2","4","1","4","3","4","2","3","2"
"17","1","2","1","2","4","1","3","2","2","3","4","4","3","1","2"
"18","1","1","3","3","3","1","1","1","2","2","2","4","4","4","3"
"19","2","2","4","1","2","3","2","1","2","3","4","1","4","3","1"
"20","2","1","2","4","1","1","3","2","4","2","3","1","4","3","4"
"21","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"22","2","1","3","1","4","3","4","2","3","2","1","2","4","1","2"
"23","1","1","1","1","1","4","4","4","2","2","2","3","3","3","5"
"24","1","2","4","3","1","2","3","4","1","3","2","2","4","1","6"
"25","1","2","3","4","2","4","3","1","1","2","4","3","2","1","4"
"26","2","1","2","4","1","2","1","3","2","3","4","3","1","4","2"
"27","2","2","3","2","1","2","4","1","4","3","1","4","2","3","5"
"28","1","2","4","3","1","3","4","2","2","1","3","4","1","2","4"
"29","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"30","1","1","2","2","2","3","3","3","1","1","1","4","4","4","5"
"31","1","2","3","4","2","1","4","3","2","4","1","1","3","2","6"
"32","2","1","2","4","1","3","2","1","3","4","2","4","3","1","6"
"33","1","1","1","1","1","3","3","3","4","4","4","2","2","2","3"
"34","2","1","3","1","4","4","2","3","1","3","2","4","1","2","4"
"35","2","1","4","2","3","1","4","3","1","2","4","2","1","3","6"
"36","2","2","2","3","4","4","3","1","2","4","1","2","1","3","3"
"37","2","2","2","3","4","1","4","3","4","1","2","3","2","1","1"
"38","2","1","4","2","3","4","3","1","4","1","2","1","3","2","2"
"39","1","1","4","4","4","2","2","2","1","1","1","3","3","3","3"
"40","2","2","1","4","3","4","2","3","2","1","3","2","4","1","5"
"41","2","1","4","2","3","3","1","4","2","4","1","3","2","1","4"
"42","2","1","1","3","2","4","1","2","4","3","1","3","4","2","6"
"43","1","2","1","2","4","3","2","1","4","2","3","3","1","4","6"
"44","1","2","2","1","3","4","1","2","3","1","4","4","2","3","6"
"45","2","1","3","1","4","2","3","4","2","1","3","1","2","4","6"
"46","1","2","4","3","1","4","2","3","3","2","1","1","2","4","2"
"47","2","2","2","3","4","3","1","4","1","2","4","1","3","2","5"
"48","1","1","3","3","3","2","2","2","4","4","4","1","1","1","5"
