"","A","B","C","D","E","F","G","H"
"1","1","1","1","1","1","1","4","3"
"2","2","2","2","1","3","4","1","3"
"3","2","2","1","1","3","6","4","5"
"4","2","1","2","3","1","3","3","5"
"5","1","2","2","3","3","5","2","4"
"6","2","2","1","2","3","4","3","2"
"7","1","1","1","3","2","2","3","3"
"8","1","2","2","2","1","5","6","3"
"9","2","1","2","1","2","4","6","6"
"10","2","1","2","3","3","6","2","3"
"11","2","2","2","2","2","1","3","4"
"12","1","1","1","2","1","4","2","5"
"13","1","1","1","2","3","2","1","1"
"14","2","2","1","3","2","5","1","5"
"15","1","1","1","3","2","4","4","4"
"16","1","2","1","3","2","6","5","6"
"17","2","1","2","2","2","5","4","1"
"18","2","1","2","1","3","2","5","4"
"19","2","2","1","2","2","3","5","3"
"20","2","2","1","2","1","2","2","6"
"21","1","1","1","1","3","5","3","6"
"22","1","2","2","3","1","4","5","1"
"23","2","2","2","3","1","2","4","2"
"24","1","1","2","2","3","1","5","5"
"25","2","1","1","3","3","3","6","1"
"26","1","2","2","1","1","6","3","1"
"27","1","2","1","3","3","1","6","2"
"28","2","1","2","3","1","1","1","6"
"29","2","2","1","1","2","1","2","1"
"30","2","1","1","1","1","5","5","2"
"31","1","1","2","2","2","6","1","2"
"32","1","2","2","2","3","3","4","6"
"33","2","1","1","2","1","6","6","4"
"34","1","1","2","1","2","3","2","2"
"35","1","2","1","1","1","3","1","4"
"36","1","2","2","1","2","2","6","5"
