"","A","B","C","D","E","F","G","H","J","K","L"
"1","1","1","1","4","2","2","3","2","3","3","2"
"2","2","2","4","3","3","1","1","4","3","3","4"
"3","3","4","3","4","3","2","1","1","1","2","6"
"4","3","2","1","3","4","3","3","2","4","4","18"
"5","3","1","4","4","4","1","4","2","2","1","13"
"6","3","1","2","2","4","1","4","3","3","2","15"
"7","1","3","4","4","2","3","2","1","1","4","15"
"8","4","3","4","3","2","4","1","2","3","4","7"
"9","4","1","2","4","3","4","4","1","3","3","18"
"10","4","3","1","3","1","2","4","3","4","2","10"
"11","1","4","4","2","3","2","4","4","1","4","19"
"12","4","4","3","2","3","1","4","2","4","3","3"
"13","4","3","2","2","1","1","3","1","1","3","9"
"14","3","1","4","3","1","3","3","4","2","2","12"
"15","4","3","2","4","1","2","1","4","2","4","8"
"16","3","3","2","1","3","4","2","3","4","1","5"
"17","4","4","4","1","3","3","2","3","2","2","2"
"18","2","1","3","1","3","4","2","1","2","4","10"
"19","3","2","4","1","1","4","4","4","1","3","16"
"20","4","1","1","1","4","4","2","2","1","3","20"
"21","2","1","4","4","3","3","1","3","3","1","9"
"22","2","3","1","4","3","3","4","2","1","2","17"
"23","4","1","3","2","1","1","2","4","3","4","17"
"24","1","2","3","1","4","3","4","1","3","1","8"
"25","3","2","4","1","2","2","1","3","4","3","17"
"26","2","2","2","3","1","1","4","1","4","4","2"
"27","2","3","3","3","2","2","4","4","3","1","20"
"28","3","3","4","1","4","2","3","1","3","4","3"
"29","4","2","2","4","4","2","1","3","2","3","14"
"30","2","2","2","2","2","2","2","2","2","2","1"
"31","4","3","4","3","4","1","2","2","2","1","6"
"32","3","2","2","4","1","4","2","2","3","2","19"
"33","4","2","1","1","3","2","3","4","4","1","15"
"34","4","4","4","4","4","4","4","4","4","4","1"
"35","2","1","2","1","4","2","3","4","1","2","7"
"36","1","4","2","3","4","4","3","1","2","1","17"
"37","3","1","3","2","1","2","1","2","4","1","11"
"38","1","4","4","4","1","1","3","3","4","2","20"
"39","2","3","4","2","1","2","2","3","1","1","18"
"40","2","2","3","4","2","1","3","2","1","4","5"
"41","3","3","1","2","2","4","4","1","2","2","4"
"42","2","3","3","1","4","1","3","3","2","3","19"
"43","4","4","2","1","1","3","3","2","1","1","4"
"44","3","4","1","3","2","1","2","3","1","3","8"
"45","2","4","2","3","4","3","4","3","1","4","11"
"46","3","4","3","4","1","3","2","1","4","3","7"
"47","2","2","1","4","1","3","2","4","2","1","3"
"48","1","3","2","2","2","3","2","4","4","3","13"
"49","1","3","2","1","3","1","1","2","4","4","12"
"50","4","1","1","3","2","3","1","1","4","1","19"
"51","3","4","2","4","2","1","3","4","3","1","10"
"52","1","4","2","3","3","2","2","2","3","1","16"
"53","4","2","4","1","2","1","2","1","3","2","11"
"54","4","2","3","3","3","2","3","1","1","2","13"
"55","3","3","3","3","3","3","3","3","3","3","1"
"56","4","4","1","2","4","3","1","4","3","2","5"
"57","1","4","3","1","2","1","1","4","2","2","18"
"58","2","1","4","2","3","4","3","2","4","2","8"
"59","1","1","2","3","2","4","1","3","1","2","3"
"60","4","1","3","2","2","3","3","3","2","4","16"
"61","1","1","4","3","1","2","4","1","2","3","5"
"62","2","4","4","2","2","4","3","1","4","1","14"
"63","1","2","3","3","4","4","2","4","4","2","9"
"64","2","1","2","1","2","3","4","4","4","3","6"
"65","2","4","3","3","1","4","1","2","2","3","15"
"66","1","3","3","1","1","3","4","2","3","2","14"
"67","2","4","1","1","1","4","1","3","3","4","13"
"68","3","4","1","1","2","2","4","2","2","4","9"
"69","1","2","4","2","4","3","1","2","1","3","10"
"70","2","3","1","4","4","1","1","1","4","2","16"
"71","3","2","2","2","3","3","1","1","2","4","20"
"72","1","2","1","2","3","1","4","3","2","1","7"
"73","1","2","1","2","1","4","3","3","3","4","6"
"74","2","4","1","2","4","2","2","1","3","3","12"
"75","3","3","3","2","4","4","1","4","1","1","2"
"76","4","2","3","4","2","4","4","3","1","1","12"
"77","1","1","1","1","1","1","1","1","1","1","1"
"78","1","3","1","4","3","4","3","4","2","3","11"
"79","3","1","1","3","3","1","2","4","1","4","14"
"80","1","1","3","4","4","2","2","3","4","4","4"
