"","A","B","C","D","E","F","G","H","J","K","L"
"1","1","2","2","1","2","2","1","1","1","2","2"
"2","2","2","1","1","1","1","2","2","1","2","3"
"3","2","1","2","2","2","1","1","2","2","2","1"
"4","1","2","2","1","1","1","1","2","2","3","4"
"5","1","1","1","1","2","2","1","2","2","4","3"
"6","1","2","2","2","1","2","2","2","1","4","1"
"7","1","2","2","2","2","1","2","1","2","1","3"
"8","1","1","1","2","2","1","2","2","1","3","2"
"9","2","1","2","1","2","2","2","2","1","1","4"
"10","2","2","1","1","2","2","2","1","2","3","1"
"11","2","2","1","2","1","2","1","2","2","1","2"
"12","2","1","2","1","1","1","2","1","2","4","2"
"13","2","2","1","2","2","1","1","1","1","4","4"
"14","1","1","1","1","1","1","1","1","1","1","1"
"15","1","1","1","2","1","2","2","1","2","2","4"
"16","2","1","2","2","1","2","1","1","1","3","3"
