"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","1","2","2","1","2","2","2","3","1","1","4","1","4","4","2"
"2","2","1","2","2","1","2","2","1","3","4","2","3","4","1","5"
"3","2","1","2","2","2","1","4","3","4","1","2","2","2","1","6"
"4","2","2","1","2","1","2","1","3","2","1","2","3","1","3","8"
"5","1","1","1","2","1","2","1","3","3","1","2","4","1","4","14"
"6","2","1","2","1","1","1","2","1","3","1","1","2","4","4","12"
"7","2","1","2","1","1","1","4","4","2","3","2","1","1","4","15"
"8","1","1","1","1","2","2","3","1","3","4","2","1","2","4","10"
"9","1","2","2","1","1","1","3","1","4","3","4","1","3","1","8"
"10","1","1","1","2","1","2","3","2","1","2","1","2","4","1","11"
"11","2","2","1","1","2","2","1","2","4","2","2","1","3","3","12"
"12","1","2","2","2","1","2","2","2","3","3","1","1","2","4","20"
"13","2","2","1","1","2","2","4","2","2","4","3","1","4","1","14"
"14","1","1","1","2","2","1","3","2","1","1","2","4","3","4","17"
"15","2","2","1","2","2","1","3","2","3","1","4","2","4","3","3"
"16","1","1","1","1","2","2","2","1","2","3","4","4","4","3","6"
"17","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1"
"18","1","2","2","1","1","1","3","3","4","4","2","4","4","2","9"
"19","1","1","1","2","2","1","2","4","3","4","4","1","3","3","18"
"20","2","2","1","1","2","2","3","3","1","4","1","2","2","3","15"
"21","1","2","2","2","1","2","4","1","2","2","1","3","4","3","17"
"22","1","1","1","1","1","1","2","3","2","4","1","3","1","2","3"
"23","2","2","1","1","1","1","2","3","4","4","3","1","2","1","17"
"24","2","1","2","1","2","2","1","4","4","1","1","1","4","2","16"
"25","1","2","2","2","2","1","2","4","4","2","1","3","2","3","14"
"26","2","1","2","1","1","1","2","2","2","3","2","4","4","3","13"
"27","1","2","2","2","2","1","3","4","2","4","4","3","1","1","12"
"28","1","1","1","2","1","2","4","3","1","3","3","4","2","2","12"
"29","2","1","2","1","1","1","3","1","1","3","4","2","3","2","14"
"30","1","2","2","1","2","2","4","3","3","1","1","4","3","3","4"
"31","2","2","1","2","1","2","3","4","1","3","2","1","4","3","7"
"32","2","1","2","1","2","2","1","4","3","3","4","2","1","2","17"
"33","1","1","1","1","2","2","4","4","3","3","1","3","3","1","9"
"34","1","1","1","2","1","2","2","2","4","1","4","3","3","2","15"
"35","2","2","1","1","1","1","4","4","1","1","3","3","4","2","20"
"36","2","2","1","2","2","1","1","2","4","3","1","4","3","2","5"
"37","2","1","2","2","2","1","1","3","1","2","4","3","4","2","10"
"38","2","1","2","1","2","2","3","1","4","1","3","3","2","3","19"
"39","2","2","1","1","2","2","2","3","4","3","4","3","1","4","11"
"40","2","2","1","1","1","1","3","1","2","1","1","4","2","2","18"
"41","2","2","1","2","1","2","1","1","2","2","4","2","2","4","9"
"42","1","1","1","1","2","2","4","2","3","4","3","2","4","2","8"
"43","1","2","2","1","1","1","1","2","1","4","3","3","3","4","6"
"44","1","1","1","2","2","1","1","1","4","4","2","2","1","3","20"
"45","2","1","2","1","1","1","1","4","3","4","3","4","2","3","11"
"46","1","2","2","2","2","1","1","1","3","2","3","4","4","1","15"
"47","1","1","1","1","1","1","3","4","4","2","2","3","4","4","4"
"48","2","1","2","1","2","2","3","3","2","2","4","4","3","1","20"
"49","2","2","1","2","1","2","2","4","2","1","3","4","3","1","10"
"50","1","1","1","1","1","1","1","4","2","2","3","2","3","3","2"
"51","2","1","2","2","1","2","3","3","3","3","3","3","3","3","1"
"52","2","1","2","1","2","2","4","2","1","2","2","3","1","1","18"
"53","2","2","1","1","2","2","1","1","1","4","1","3","3","4","13"
"54","1","2","2","1","2","2","1","4","1","3","2","4","2","1","3"
"55","2","1","2","2","2","1","2","4","1","2","1","4","2","4","8"
"56","1","1","1","1","1","1","4","3","1","2","4","1","2","3","5"
"57","2","2","1","2","2","1","2","1","1","3","3","2","1","1","4"
"58","1","1","1","2","1","2","4","4","4","1","4","2","2","1","13"
"59","1","2","2","1","1","1","4","2","4","3","1","2","1","3","10"
"60","1","1","1","2","2","1","1","3","2","3","1","1","4","1","19"
"61","2","2","1","1","1","1","4","2","3","2","4","4","1","4","19"
"62","1","2","2","2","1","2","4","1","1","4","4","4","1","3","16"
"63","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"64","2","2","1","2","2","1","4","1","3","3","2","3","2","2","2"
"65","2","1","2","2","1","2","4","1","4","2","3","1","3","4","3"
"66","2","1","2","2","2","1","4","3","2","4","1","2","3","4","7"
"67","1","2","2","2","2","1","4","1","2","1","2","1","3","2","11"
"68","1","2","2","2","1","2","1","3","4","3","3","2","4","4","18"
"69","2","2","1","1","1","1","2","3","3","2","2","2","3","1","16"
"70","1","2","2","1","2","2","3","4","2","1","3","2","1","4","5"
"71","1","2","2","1","1","1","1","2","3","1","4","3","2","1","7"
"72","2","2","1","2","2","1","4","4","4","4","4","4","4","4","1"
"73","2","1","2","2","2","1","2","2","1","1","3","1","1","3","9"
"74","2","1","2","2","1","2","1","2","2","4","4","1","2","2","4"
"75","1","2","2","2","1","2","2","4","1","4","2","2","3","2","19"
"76","2","1","2","2","1","2","3","2","4","4","1","4","1","1","2"
"77","1","2","2","2","2","1","3","3","3","2","3","1","1","2","13"
"78","1","1","1","2","2","1","3","2","2","3","3","3","2","4","16"
"79","2","2","1","2","1","2","3","4","3","2","1","1","1","2","6"
"80","1","1","1","1","2","2","2","1","4","2","3","4","1","2","7"
