"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","2","1","2","1","1","1","4","2","3","1","2","4","4","2","1","3","2","4","3","1","11"
"2","2","1","2","1","1","1","4","2","2","4","3","1","3","1","2","4","4","2","1","3","10"
"3","2","1","2","2","2","1","2","1","2","1","4","3","1","2","3","4","3","4","1","2","7"
"4","2","2","1","1","2","2","3","1","3","1","2","4","1","3","4","2","4","2","1","3","12"
"5","2","1","2","2","1","2","3","3","4","4","4","4","1","1","1","1","2","2","2","2","2"
"6","2","2","1","2","1","2","1","2","3","4","1","2","3","4","1","2","3","4","1","2","5"
"7","1","1","1","1","2","2","4","3","4","3","2","1","3","4","1","2","1","2","3","4","7"
"8","2","2","1","1","1","1","2","3","3","2","4","1","4","1","3","2","2","3","1","4","15"
"9","2","1","2","1","1","1","4","2","4","2","1","3","2","4","3","1","3","1","2","4","12"
"10","2","2","1","2","2","1","4","4","1","1","1","1","3","3","3","3","2","2","2","2","4"
"11","1","1","1","1","2","2","4","3","3","4","1","2","1","2","3","4","4","3","2","1","8"
"12","1","2","2","2","2","1","1","3","1","3","4","2","3","1","2","4","2","4","3","1","12"
"13","2","2","1","2","2","1","4","4","2","2","2","2","1","1","1","1","3","3","3","3","3"
"14","2","1","2","2","1","2","3","3","2","2","2","2","4","4","4","4","1","1","1","1","4"
"15","1","2","2","2","2","1","1","3","3","1","2","4","2","4","3","1","1","3","4","2","10"
"16","1","2","2","1","1","1","3","4","3","4","1","2","4","3","2","1","2","1","4","3","7"
"17","2","1","2","2","2","1","2","1","1","2","3","4","3","4","1","2","2","1","4","3","8"
"18","1","1","1","1","2","2","4","3","2","1","4","3","2","1","4","3","2","1","4","3","5"
"19","2","1","2","1","2","2","1","4","3","2","4","1","1","4","2","3","4","1","3","2","16"
"20","2","2","1","2","1","2","1","2","1","2","3","4","2","1","4","3","4","3","2","1","7"
"21","1","2","2","1","2","2","2","2","4","4","4","4","3","3","3","3","1","1","1","1","3"
"22","1","2","2","1","1","1","3","4","2","1","4","3","3","4","1","2","4","3","2","1","6"
"23","1","1","1","2","1","2","2","4","3","1","2","4","3","1","2","4","3","1","2","4","9"
"24","1","1","1","1","2","2","4","3","1","2","3","4","4","3","2","1","3","4","1","2","6"
"25","2","2","1","1","2","2","3","1","1","3","4","2","4","2","1","3","3","1","2","4","10"
"26","2","1","2","2","2","1","2","1","4","3","2","1","4","3","2","1","4","3","2","1","5"
"27","2","2","1","1","2","2","3","1","4","2","1","3","3","1","2","4","1","3","4","2","11"
"28","2","1","2","1","2","2","1","4","1","4","2","3","4","1","3","2","3","2","4","1","14"
"29","1","2","2","2","1","2","4","1","3","2","4","1","3","2","4","1","3","2","4","1","13"
"30","2","1","2","2","2","1","2","1","3","4","1","2","2","1","4","3","1","2","3","4","6"
"31","1","1","1","1","1","1","1","1","3","3","3","3","4","4","4","4","2","2","2","2","3"
"32","1","1","1","2","2","1","3","2","2","3","1","4","1","4","2","3","3","2","4","1","15"
"33","1","1","1","1","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","2"
"34","2","1","2","1","1","1","4","2","1","3","4","2","1","3","4","2","1","3","4","2","9"
"35","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"36","1","1","1","2","2","1","3","2","1","4","2","3","3","2","4","1","2","3","1","4","16"
"37","1","2","2","2","1","2","4","1","1","4","2","3","2","3","1","4","4","1","3","2","15"
"38","1","2","2","1","1","1","3","4","4","3","2","1","2","1","4","3","3","4","1","2","8"
"39","1","2","2","2","2","1","1","3","4","2","1","3","4","2","1","3","4","2","1","3","9"
"40","2","1","2","1","2","2","1","4","4","1","3","2","3","2","4","1","1","4","2","3","15"
"41","1","2","2","2","1","2","4","1","2","3","1","4","4","1","3","2","1","4","2","3","16"
"42","1","1","1","2","1","2","2","4","2","4","3","1","4","2","1","3","1","3","4","2","12"
"43","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
"44","2","2","1","2","1","2","1","2","4","3","2","1","1","2","3","4","2","1","4","3","6"
"45","1","1","1","2","1","2","2","4","4","2","1","3","1","3","4","2","2","4","3","1","10"
"46","1","2","2","2","2","1","1","3","2","4","3","1","1","3","4","2","3","1","2","4","11"
"47","2","1","2","2","1","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"48","2","2","1","1","1","1","2","3","2","3","1","4","3","2","4","1","4","1","3","2","14"
"49","1","1","1","1","1","1","1","1","4","4","4","4","2","2","2","2","3","3","3","3","4"
"50","2","1","2","2","1","2","3","3","1","1","1","1","2","2","2","2","4","4","4","4","3"
"51","2","2","1","1","1","1","2","3","4","1","3","2","2","3","1","4","3","2","4","1","16"
"52","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"53","1","2","2","1","1","1","3","4","1","2","3","4","1","2","3","4","1","2","3","4","5"
"54","2","2","1","1","2","2","3","1","2","4","3","1","2","4","3","1","2","4","3","1","9"
