"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","2","1","4","3","3","4","2","1","3","2","1","2","4","11"
"2","1","1","4","4","4","3","1","1","4","4","3","4","4","4","9"
"3","1","2","1","2","3","3","2","1","1","2","3","3","2","1","4"
"4","1","2","3","4","1","1","2","1","1","2","4","4","1","2","8"
"5","1","1","3","3","3","4","3","3","2","2","3","4","4","4","3"
"6","1","1","4","4","4","1","1","1","3","3","3","2","2","2","13"
"7","2","2","1","4","2","4","2","3","4","1","3","1","3","2","3"
"8","1","1","2","2","2","1","3","3","2","2","1","2","2","2","9"
"9","2","1","2","4","3","2","4","2","4","2","3","2","1","3","12"
"10","1","1","3","3","3","2","2","2","4","4","4","1","1","1","13"
"11","2","2","4","1","2","1","3","2","3","4","2","3","1","4","13"
"12","2","1","4","2","3","1","4","3","1","2","4","2","1","3","6"
"13","1","1","3","3","3","4","2","2","3","3","4","3","3","3","9"
"14","1","2","1","2","3","3","4","3","3","4","2","2","3","4","8"
"15","2","1","3","1","4","2","3","4","2","1","3","1","2","4","6"
"16","1","1","1","1","1","4","4","4","2","2","2","3","3","3","13"
"17","2","1","3","1","2","3","4","2","4","2","1","4","3","1","10"
"18","2","2","2","3","4","1","4","3","4","1","2","3","2","1","9"
"19","1","1","3","3","3","3","3","3","3","3","3","3","3","3","1"
"20","1","1","4","4","4","3","4","4","1","1","4","3","3","3","3"
"21","1","2","1","2","4","3","2","1","4","2","3","3","1","4","14"
"22","2","1","3","1","4","4","2","3","1","3","2","4","1","2","4"
"23","1","2","3","4","1","1","1","2","2","1","2","2","3","4","6"
"24","1","2","4","3","2","2","3","4","4","3","2","2","3","4","4"
"25","2","1","2","4","3","2","1","3","1","3","4","1","2","4","10"
"26","1","1","4","4","4","3","2","2","3","3","1","2","2","2","7"
"27","1","1","2","2","2","4","4","4","3","3","3","1","1","1","11"
"28","2","2","2","3","1","3","3","2","1","4","1","3","1","4","7"
"29","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"30","2","2","2","3","4","4","3","1","2","4","1","2","1","3","11"
"31","1","2","4","3","2","2","2","1","1","2","1","1","4","3","6"
"32","1","2","2","1","4","4","1","2","2","1","4","4","1","2","4"
