"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","2","3","3"
"3","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","2","3"
"4","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","2","2","1","1"
"5","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","1","1","2","3"
"6","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","2","1","1","2"
"7","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","2","2","3","3"
"8","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","1","2","2","2"
"9","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","2","1","3","2"
"10","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","2","1","2"
"11","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","1","2","1","2"
"12","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","1","1","1","3","3"
"13","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","1","2","2","1","1"
"14","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","1","3","1"
"15","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2","3","2"
"16","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","2","2","1","3"
"17","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","2","2","3","1"
"18","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","1","2","3","2"
"19","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","2","1","1","3"
"20","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1"
"21","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2"
"22","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","2","3","1"
"23","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","2","1","3","2"
"24","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","3","1"
"25","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","2","1","3"
"26","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","1","1","2","1"
"27","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","2","1"
"28","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","1","2","3"
"29","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","2","1","3","3"
"30","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","2","1","2","2"
"31","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","2","1","2","2"
"32","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","1","1","1"
"33","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","1","1","3"
"34","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","2","2","2","1"
"35","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","2","1","1","2"
"36","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","1","2","2","3"
