"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","2","1","2","2","2","1","1","1","2","2","3","4","8","2","6","5","1","5"
"2","1","1","1","1","2","2","2","2","1","1","1","1","5","4","2","7","3","6","8"
"3","1","2","1","2","2","1","1","2","1","2","2","4","6","4","7","1","8","2","7"
"4","1","1","1","1","2","1","2","1","1","1","1","2","3","8","7","4","2","5","6"
"5","1","2","1","2","1","2","2","1","1","2","2","4","2","1","8","7","6","5","2"
"6","2","2","2","2","2","2","1","1","1","1","1","3","5","6","3","4","1","2","2"
"7","1","2","1","2","1","1","2","2","1","2","2","3","8","5","1","4","7","6","4"
"8","2","2","2","2","1","2","1","2","1","1","1","2","6","1","2","5","7","4","6"
"9","1","2","2","1","2","1","2","1","2","2","1","2","5","3","8","2","7","1","7"
"10","2","1","1","2","1","1","2","2","2","2","1","3","7","4","3","8","6","1","6"
"11","1","1","1","1","1","2","2","1","1","1","1","4","6","7","3","2","5","8","4"
"12","1","2","2","1","1","1","1","1","2","2","1","1","7","6","2","3","8","5","4"
"13","2","2","2","2","2","2","2","2","1","1","1","1","8","8","8","8","8","8","1"
"14","1","1","1","1","1","1","2","2","1","1","1","3","4","3","6","5","8","7","2"
"15","2","2","1","1","1","2","1","2","2","1","2","2","8","4","6","2","1","5","5"
"16","2","2","1","1","2","1","2","1","2","1","2","2","4","1","5","8","3","2","4"
"17","2","2","2","2","2","1","2","1","1","1","1","2","2","4","1","3","5","7","3"
"18","2","2","2","2","1","1","1","1","1","1","1","1","4","5","7","2","6","3","8"
"19","2","2","1","1","1","1","2","2","2","1","2","3","3","6","8","1","5","4","8"
"20","1","1","2","2","1","1","1","1","2","1","2","1","3","4","5","6","7","8","2"
"21","1","1","2","2","2","2","1","1","2","1","2","3","6","3","1","8","4","5","8"
"22","1","2","1","2","1","2","1","2","1","2","2","2","3","3","3","3","3","3","1"
"23","2","1","1","2","1","1","1","1","2","2","1","1","6","2","8","4","3","7","5"
"24","2","1","2","1","2","1","1","2","1","2","2","4","7","8","1","2","3","4","2"
"25","1","1","2","2","1","2","1","2","2","1","2","2","5","8","4","1","6","7","4"
"26","1","1","2","2","2","1","1","2","2","1","2","4","4","7","8","3","1","6","6"
"27","1","2","2","1","2","2","1","1","2","2","1","3","2","5","6","1","3","8","6"
"28","1","1","1","1","2","2","1","1","1","1","1","3","8","2","5","3","6","4","7"
"29","2","1","2","1","1","2","1","2","1","2","2","2","2","7","5","4","8","1","8"
"30","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"31","1","1","1","1","1","2","1","2","1","1","1","2","7","5","8","6","4","2","3"
"32","2","2","2","2","1","1","2","2","1","1","1","3","1","7","4","6","3","5","7"
"33","1","1","1","1","2","1","1","2","1","1","1","4","2","6","4","8","7","3","5"
"34","2","1","1","2","2","2","2","2","2","2","1","1","2","3","7","6","1","4","4"
"35","2","1","2","1","1","2","2","1","1","2","2","4","3","5","2","8","1","7","7"
"36","2","1","2","1","2","2","2","2","1","2","2","1","4","2","3","1","7","5","3"
"37","1","2","2","1","2","2","2","2","2","2","1","1","3","7","1","5","6","2","5"
"38","1","1","2","2","1","1","2","2","2","1","2","3","2","2","2","2","2","2","1"
"39","1","1","2","2","2","1","2","1","2","1","2","2","1","5","3","7","8","4","5"
"40","2","1","2","1","1","1","2","2","1","2","2","3","5","1","7","3","4","8","5"
"41","1","1","2","2","2","2","2","2","2","1","2","1","7","1","6","4","5","3","7"
"42","2","1","1","2","2","2","1","1","2","2","1","3","3","1","4","2","8","6","3"
"43","1","2","2","1","1","2","1","2","2","2","1","2","1","2","7","8","5","6","2"
"44","2","2","1","1","2","2","1","1","2","1","2","3","7","7","7","7","7","7","1"
"45","2","2","1","1","1","2","2","1","2","1","2","4","5","2","1","6","8","3","6"
"46","2","2","1","1","2","1","1","2","2","1","2","4","1","3","2","4","6","8","3"
"47","1","2","1","2","2","2","2","2","1","2","2","1","1","6","5","2","4","7","6"
"48","2","1","1","2","2","1","2","1","2","2","1","2","8","7","2","1","4","3","2"
"49","2","1","2","1","1","1","1","1","1","2","2","1","8","3","4","7","5","2","6"
"50","2","1","1","2","1","2","2","1","2","2","1","4","1","8","6","3","7","2","8"
"51","2","2","1","1","2","2","2","2","2","1","2","1","6","5","4","3","2","1","2"
"52","2","1","2","1","2","2","1","1","1","2","2","3","1","4","8","5","2","3","4"
"53","1","2","1","2","2","1","2","1","1","2","2","2","7","2","4","5","1","8","8"
"54","1","2","2","1","1","2","2","1","2","2","1","4","4","4","4","4","4","4","1"
"55","2","2","1","1","1","1","1","1","2","1","2","1","2","8","3","5","4","6","7"
"56","2","1","2","1","2","1","2","1","1","2","2","2","6","6","6","6","6","6","1"
"57","1","2","1","2","1","1","1","1","1","2","2","1","5","7","6","8","2","4","3"
"58","1","2","2","1","2","1","1","2","2","2","1","4","8","1","3","6","2","7","8"
"59","1","1","2","2","1","2","2","1","2","1","2","4","8","6","7","5","3","1","3"
"60","2","2","2","2","2","1","1","2","1","1","1","4","3","2","6","7","4","1","4"
"61","1","2","2","1","1","1","2","2","2","2","1","3","6","8","5","7","1","3","3"
"62","2","2","2","2","1","2","2","1","1","1","1","4","7","3","5","1","2","6","5"
"63","2","1","1","2","2","1","1","2","2","2","1","4","5","5","5","5","5","5","1"
"64","2","1","1","2","1","2","1","2","2","2","1","2","4","6","1","7","2","8","7"
