"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"1","1","1","2","2","2","1","1","1","2","1","2","1","1","1","2","2","2","1","2","1","2","2","2","1","1","1","2","1","1","2","2","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","1","2","2","2","2","2","4","4","4","3","2","4","6"
"2","1","2","1","2","2","1","2","2","1","1","2","1","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","1","2","2","1","2","1","1","2","1","1","2","1","1","2","2","1","1","1","2","2","1","2","1","2","1","1","1","2","3","1","4","4","2","3","4","4","1","4"
"3","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","2","2","2","1","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","3","3","1","4"
"4","2","1","1","1","2","2","2","1","2","1","1","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","2","1","2","1","2","1","1","1","1","2","2","2","2","1","1","2","2","1","3","4","2","1","4","3","4","3","4","2"
"5","2","1","2","2","2","2","1","2","1","2","2","1","1","1","1","2","1","2","2","1","1","1","1","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","2","2","3","4","1","4","3","4","1","2","7"
"6","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","2","2","1","2","1","1","2","2","2","1","1","1","2","2","1","2","2","1","1","1","2","1","1","2","2","1","2","2","1","2","2","2","1","2","2","1","2","3","4","4","4","1","1","1","3","2","4","6"
"7","2","1","2","2","2","2","1","2","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","1","2","1","1","1","1","2","1","2","2","2","1","2","2","2","1","1","1","1","2","2","1","2","1","2","2","4","1","2","3","2","1","4","3","2","3"
"8","1","2","1","1","1","1","2","1","2","2","2","1","1","1","1","2","1","2","2","1","1","1","1","1","2","1","2","1","2","1","2","1","1","1","1","2","1","2","2","2","2","1","2","1","2","1","2","2","2","1","2","2","2","1","2","3","2","1","4","1","2","2","1","2","2"
"9","2","1","2","2","2","2","1","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","1","1","2","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","1","2","2","2","1","4","3","2","3","4","4","1","4","5"
"10","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","2","2","2","1","2","1","2","2","2","1","1","1","1","2","3","2","1","2","4","1","3","1","3","5"
"11","2","2","2","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","2","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","1","1","2","2","1","2","1","2","1","2","2","2","2","1","1","1","1","2","1","2","3","3","2","1","1","2","4","4","1","1","8"
"12","2","1","1","1","2","1","1","2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","1","2","2","1","2","1","2","2","1","1","1","2","1","1","2","1","2","2","1","2","1","1","1","1","2","2","1","2","2","1","1","1","3","4","2","3","4","3","1","2","4","3","8"
"13","1","1","2","2","2","1","1","1","2","1","2","1","1","1","2","2","2","1","1","2","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","1","1","2","1","1","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","1","1","3","3","3","3","2","2","8"
"14","1","2","2","2","1","2","2","1","2","2","1","1","1","2","1","1","2","1","2","2","1","1","2","1","1","2","1","2","1","1","2","2","2","1","2","2","1","2","2","2","1","2","1","1","1","1","2","2","1","2","2","1","1","1","3","4","2","3","4","3","1","4","2","1","7"
"15","2","1","1","2","1","1","2","2","2","1","2","2","1","2","2","1","1","1","1","1","2","1","2","2","1","1","1","2","2","2","1","1","2","1","1","2","2","2","2","2","2","1","1","1","1","2","1","2","2","1","2","1","2","2","3","2","4","1","3","2","1","3","1","2","7"
"16","1","2","1","1","1","1","2","1","2","1","1","2","2","2","2","1","2","1","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","1","1","2","1","2","2","1","1","1","1","2","2","2","1","2","1","2","2","1","1","1","2","2","3","4","1","4","3","2","3","4","8"
"17","1","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","2","1","1","2","2","1","2","2","1","1","1","2","1","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","3","1","1","1","4","4","4","3","4","2","4"
"18","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","1","4","4","4","4","4","4","1","3","3","7"
"19","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","2","2","1","1","2","2","1","1","1","1","2","2","1","4","3","1","4","2","3","4","2","4","5"
"20","1","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","2","1","1","2","1","1","2","2","2","1","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","3","2","2","2","3","3","3","3","4","4","2"
"21","1","2","1","1","2","2","1","2","2","1","1","2","2","1","1","2","1","1","2","1","1","1","2","2","1","2","2","1","1","2","1","2","2","1","1","2","1","1","2","2","2","1","2","1","2","1","2","2","2","2","1","1","1","1","1","2","1","3","1","2","4","3","2","3","5"
"22","2","1","2","1","1","2","1","1","2","1","2","1","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","2","1","1","2","1","2","2","1","2","2","1","1","2","1","2","2","2","1","1","1","1","1","2","2","2","2","1","2","2","4","1","1","3","2","2","4","1","5"
"23","1","2","1","1","2","2","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","1","1","2","1","1","1","1","2","1","2","2","1","1","2","1","1","2","1","1","1","1","2","2","2","1","2","1","1","1","2","2","1","1","3","4","2","4","3","1","3","4","1","3"
"24","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","2"
"25","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","1","2","1","2","2","2","1","1","2","1","3","2","4","1","4","4","4","1"
"26","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","1","2","1","2","2","1","1","2","1","1","2","1","1","2","2","1","1","1","2","1","1","2","1","2","1","2","2","2","2","1","2","1","2","2","1","2","2","2","1","3","1","3","2","1","2","4","2","2","1","2"
"27","1","2","2","1","2","2","1","1","1","2","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","2","2","2","1","1","2","1","1","2","2","2","2","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","3","1","3","2","4","1","2","1","3","2","6"
"28","2","1","1","1","2","2","2","1","2","1","1","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","1","1","2","1","2","2","2","1","1","1","2","1","1","2","2","1","1","2","2","1","1","1","2","1","2","1","1","1","1","4","3","1","2","3","4","4","3","2","4"
"29","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","2","2","2","2","1","2","1","2","1","1","1","1","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","1","3","3","3","3","3","3","1","3","1","5"
"30","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","2","2","1","2","1","2","1","1","2","2","2","1","1","2","2","1","1","1","1","2","2","2","1","2","2","1","4","3","4","2","3","3","3","3","1"
"31","2","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","2","1","2","1","1","2","2","2","1","2","2","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","3","1","1","1","4","4","4","1","2","4","3"
"32","1","2","1","1","2","2","1","2","2","2","2","1","1","2","2","1","2","2","2","1","1","1","2","2","1","2","2","2","2","1","2","1","1","2","2","1","2","2","2","1","2","2","1","1","1","2","2","1","1","2","2","2","1","2","1","4","3","1","3","4","2","3","4","3","1"
"33","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","1","1","1","1","1","2","1","2","1","2","2","2","2","1","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","3","4","3","1","4","3","3","1","3"
"34","2","1","1","2","1","1","2","2","2","2","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","2","1","1","1","2","1","2","2","2","1","2","1","1","1","1","1","1","2","2","1","3","4","2","3","1","4","3","3","3","2","3"
"35","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","2","2","2","2","1","2","1","2","1","1","2","1","2","2","2","2","1","2","1","2","2","2","1","1","1","1","2","3","2","1","2","4","1","1","3","1","6"
"36","2","2","1","1","1","2","2","2","1","2","1","2","2","2","1","1","1","2","2","1","2","2","2","1","1","1","2","1","1","2","2","1","1","1","2","2","2","1","1","1","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","1","1","3","3","3","1","4","4","7"
"37","2","1","1","1","2","1","1","2","1","1","2","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","1","2","1","1","2","2","2","1","2","2","1","2","2","2","2","1","1","2","2","1","1","1","1","1","1","1","2","2","3","3","1","4","3","4","2","2","4","1","6"
"38","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","2","1","2","2","2","1","2","1","2","1","1","2","4","1","3","2","2","2","4","4"
"39","1","2","2","2","1","1","1","2","1","2","2","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","1","1","2","1","2","2","2","1","1","1","2","1","1","2","1","2","1","1","1","1","2","2","2","2","1","1","2","2","1","3","4","2","1","4","3","2","1","2","1"
"40","2","1","2","1","1","2","1","1","2","2","1","2","1","1","2","1","1","2","2","2","2","1","1","2","1","1","2","1","2","2","1","2","1","1","2","1","1","2","1","1","1","1","1","2","2","2","1","2","2","2","1","1","2","2","2","4","2","3","3","1","4","2","2","1","1"
"41","2","2","1","1","1","2","2","2","1","1","2","1","1","1","2","2","2","1","2","1","2","2","2","1","1","1","2","2","2","1","1","2","2","2","1","1","1","2","1","2","2","1","2","2","1","2","2","1","1","2","2","1","2","2","2","3","3","3","1","1","1","1","2","4","3"
"42","2","1","2","2","1","1","2","1","1","2","2","1","1","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","2","1","2","1","1","2","2","1","2","2","2","2","2","1","2","1","2","1","2","2","2","2","1","1","1","1","1","2","1","3","1","2","4","1","4","1","6"
"43","1","1","2","1","2","1","2","2","2","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","1","1","3","3"
"44","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","1","2","1","1","1","1","2","2","1","1","1","1","3","4","2","3","1","4","4","2","2","7"
"45","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","2","2","1","1","2","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","1","3","3","3","3","2","2","2","3","2","2","8"
"46","2","1","2","2","1","1","2","1","1","2","2","1","1","2","2","1","2","2","2","1","1","1","2","2","1","2","2","1","1","2","1","2","2","1","1","2","1","1","2","2","1","2","2","2","1","1","1","1","2","1","2","1","2","2","1","1","2","4","2","1","3","1","4","3","8"
"47","2","2","1","2","2","1","1","1","2","2","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","2","2","2","1","1","2","1","1","2","2","2","1","1","1","2","2","1","2","2","1","2","2","2","1","2","2","1","2","3","4","4","4","1","1","1","1","4","2","5"
