"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","9"
"2","1","1","2","2","1","1","2","2","2","2","1","1","2","2","1","1","11"
"3","1","1","2","2","1","1","2","2","1","1","2","2","1","1","2","2","3"
"4","2","2","2","2","1","1","1","1","2","2","2","2","1","1","1","1","5"
"5","2","1","1","2","2","1","1","2","1","2","2","1","1","2","2","1","12"
"6","2","2","1","1","2","2","1","1","2","2","1","1","2","2","1","1","3"
"7","2","1","1","2","1","2","2","1","2","1","1","2","1","2","2","1","8"
"8","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"9","2","2","2","2","1","1","1","1","1","1","1","1","2","2","2","2","13"
"10","1","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","6"
"11","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","2","7"
"12","2","1","1","2","1","2","2","1","1","2","2","1","2","1","1","2","16"
"13","2","1","2","1","2","1","2","1","1","2","1","2","1","2","1","2","10"
"14","2","2","1","1","2","2","1","1","1","1","2","2","1","1","2","2","11"
"15","2","1","2","1","1","2","1","2","2","1","2","1","1","2","1","2","6"
"16","1","2","1","2","1","2","1","2","1","2","1","2","1","2","1","2","2"
"17","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","9"
"18","2","1","2","1","1","2","1","2","1","2","1","2","2","1","2","1","14"
"19","1","2","2","1","2","1","1","2","2","1","1","2","1","2","2","1","16"
"20","1","1","2","2","2","2","1","1","2","2","1","1","1","1","2","2","15"
"21","1","2","1","2","2","1","2","1","2","1","2","1","1","2","1","2","14"
"22","1","1","1","1","2","2","2","2","1","1","1","1","2","2","2","2","5"
"23","2","1","2","1","2","1","2","1","2","1","2","1","2","1","2","1","2"
"24","1","1","1","1","2","2","2","2","2","2","2","2","1","1","1","1","13"
"25","2","2","1","1","1","1","2","2","1","1","2","2","2","2","1","1","15"
"26","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"27","1","1","2","2","2","2","1","1","1","1","2","2","2","2","1","1","7"
"28","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","2","8"
"29","1","2","1","2","1","2","1","2","2","1","2","1","2","1","2","1","10"
"30","1","2","2","1","1","2","2","1","1","2","2","1","1","2","2","1","4"
"31","1","2","2","1","1","2","2","1","2","1","1","2","2","1","1","2","12"
"32","2","1","1","2","2","1","1","2","2","1","1","2","2","1","1","2","4"
