"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","1","1","2","2","1","2","1","2","1","1","2","2","1","2","2","3","4","10"
"2","1","2","2","2","2","1","1","1","1","4","1","4","3","2","1","3","1","4","22"
"3","1","2","2","2","2","1","2","1","2","1","4","3","2","4","1","1","3","2","14"
"4","2","1","2","2","2","1","1","1","1","3","4","2","1","3","2","1","2","4","27"
"5","1","2","2","2","2","1","1","1","1","4","3","2","1","4","4","2","4","1","24"
"6","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","1"
"7","1","1","1","2","1","2","1","2","2","3","2","3","4","1","2","4","2","3","22"
"8","2","1","2","1","1","1","2","2","1","1","3","2","1","4","2","4","2","3","23"
"9","2","2","1","2","1","2","1","2","2","3","1","4","1","2","4","1","3","2","28"
"10","1","1","1","1","2","2","2","2","1","4","2","4","2","4","1","4","3","1","20"
"11","1","1","1","2","1","2","1","2","2","3","1","4","3","2","4","2","4","1","23"
"12","2","2","1","2","1","2","1","2","2","4","3","1","2","4","1","2","1","3","27"
"13","2","2","1","1","2","2","2","1","2","2","3","2","1","4","3","1","3","2","22"
"14","1","2","2","2","2","1","2","1","2","3","1","4","4","1","2","2","1","3","12"
"15","2","2","1","2","2","1","2","2","1","3","4","4","1","1","4","3","3","3","2"
"16","2","1","2","1","1","1","1","2","2","2","4","1","1","4","3","3","4","2","12"
"17","1","1","1","2","1","2","2","2","1","2","3","4","1","3","2","2","4","1","14"
"18","1","2","2","2","2","1","2","1","2","4","3","1","1","2","4","3","2","1","13"
"19","2","1","2","2","2","1","1","1","1","2","3","4","3","2","1","4","1","2","26"
"20","2","2","1","1","1","1","1","2","2","4","2","1","1","2","2","2","3","4","8"
"21","2","1","2","2","1","2","2","1","2","4","3","3","2","2","3","4","4","4","2"
"22","2","1","2","2","1","2","2","1","2","1","1","1","2","2","2","4","4","4","6"
"23","2","2","1","2","2","1","2","2","1","3","3","3","2","2","2","1","1","1","3"
"24","1","2","2","1","1","1","2","1","2","3","3","1","3","1","3","2","1","3","18"
"25","1","2","2","2","1","2","2","2","1","2","1","2","2","1","3","3","2","1","11"
"26","2","1","2","1","2","2","1","1","1","3","3","4","4","3","4","4","1","2","10"
"27","1","2","2","1","1","1","2","2","1","2","1","3","4","2","3","4","3","1","27"
"28","2","2","1","2","2","1","2","2","1","3","2","2","3","3","1","2","2","2","4"
"29","2","2","1","1","2","2","1","1","1","3","2","1","4","2","3","3","1","4","14"
"30","1","1","1","1","2","2","2","1","2","2","4","1","4","3","1","4","2","3","28"
"31","2","2","1","1","1","1","1","2","2","4","1","2","2","1","4","4","1","2","9"
"32","1","1","1","2","2","1","2","1","2","1","3","4","4","3","3","3","2","1","8"
"33","2","2","1","2","1","2","1","1","1","1","3","1","3","1","4","1","2","4","20"
"34","1","2","2","2","1","2","2","2","1","2","2","1","1","2","1","1","4","3","10"
"35","1","2","2","1","2","2","1","2","2","4","4","4","3","3","3","1","1","1","6"
"36","1","2","2","1","2","2","1","2","2","1","3","3","2","2","1","2","2","2","5"
"37","2","2","1","2","1","2","1","2","2","1","4","3","4","1","2","3","2","1","26"
"38","1","2","2","1","1","1","2","1","2","3","1","3","1","3","2","3","4","2","20"
"39","1","1","1","1","2","2","2","1","2","1","2","4","3","1","4","3","4","2","27"
"40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","1","2","2","2","1","2","2","2","1","2","3","4","4","3","2","2","3","4","9"
"42","2","1","2","1","1","1","2","2","1","1","1","4","3","2","3","1","3","2","25"
"43","1","2","2","1","1","1","2","1","2","3","2","4","2","4","4","1","2","4","21"
"44","1","1","1","2","2","1","1","2","2","1","3","2","4","2","3","1","4","3","16"
"45","2","2","1","2","1","2","1","1","1","1","1","3","1","3","1","4","3","1","18"
"46","1","1","1","1","1","1","1","1","1","2","3","3","2","2","4","3","3","3","4"
"47","2","1","2","2","1","2","2","1","2","4","4","4","1","1","1","2","2","2","3"
"48","1","1","1","2","2","1","1","2","2","2","1","3","2","3","4","3","1","4","15"
"49","2","2","1","1","1","1","1","2","2","4","4","3","3","4","3","3","2","1","10"
"50","2","2","1","2","1","2","1","1","1","1","2","4","2","4","3","2","1","3","19"
"51","2","2","1","1","2","2","2","1","2","2","2","3","4","1","4","2","4","1","25"
"52","2","2","1","1","2","2","2","1","2","2","1","4","3","2","2","4","2","3","24"
"53","2","2","1","2","2","1","2","2","1","2","2","2","1","1","1","3","3","3","6"
"54","2","2","1","2","1","2","1","1","1","1","4","2","4","2","2","3","4","2","21"
"55","2","2","1","1","1","1","1","2","2","4","3","4","4","3","1","1","4","3","11"
"56","1","1","1","1","2","2","2","2","1","4","4","2","4","2","4","1","2","4","18"
"57","2","2","1","1","1","1","2","1","2","4","2","3","1","3","2","4","1","2","16"
"58","2","1","2","2","1","2","2","1","2","4","2","2","3","3","4","3","3","3","5"
"59","1","2","2","2","1","2","1","1","1","4","1","2","4","3","1","3","4","2","17"
"60","2","1","2","2","1","2","2","1","2","4","1","1","4","4","2","1","1","1","4"
"61","2","2","1","1","1","1","2","1","2","2","3","4","2","1","3","1","2","4","17"
"62","1","1","1","1","2","2","2","2","1","4","3","1","3","1","2","3","4","2","19"
