"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","2","2","1","3","1","3","3","2","1","2","2","2","1","3","1","1","1","3","2","3","6","3"
"2","2","1","1","2","1","3","3","1","1","3","1","3","1","2","1","2","1","2","2","1","5","19"
"3","2","3","3","2","1","2","2","1","1","2","1","2","3","2","3","2","2","3","3","2","3","18"
"4","1","1","2","2","2","2","1","1","1","1","3","3","3","3","1","1","3","3","2","2","1","12"
"5","1","1","2","2","1","1","2","2","2","2","3","3","2","2","3","3","3","3","1","1","5","10"
"6","3","2","3","2","1","3","1","3","3","2","3","2","1","3","1","3","2","3","2","3","5","15"
"7","2","3","1","2","3","1","2","3","1","2","1","2","3","1","2","1","2","3","1","2","4","7"
"8","2","3","3","1","1","3","1","1","2","2","1","2","2","3","3","2","3","3","1","1","2","8"
"9","1","3","2","2","1","3","2","1","1","3","2","1","3","3","2","1","3","2","2","1","3","6"
"10","1","2","2","1","1","3","3","1","1","2","2","1","1","3","3","1","3","1","3","1","4","20"
"11","3","3","2","2","3","3","2","2","1","1","3","3","1","1","3","3","1","1","2","2","3","11"
"12","2","3","2","3","1","3","1","3","3","1","1","3","2","3","3","2","3","1","1","3","2","16"
"13","1","2","1","2","3","2","3","2","3","2","2","3","2","1","1","2","3","2","2","3","3","16"
"14","1","1","3","3","1","1","3","3","2","2","1","1","2","2","1","1","2","2","3","3","1","11"
"15","2","3","1","2","3","3","1","2","3","1","3","1","2","3","1","3","1","2","3","1","4","4"
"16","2","2","3","3","3","3","2","2","2","2","1","1","1","1","2","2","1","1","3","3","5","12"
"17","2","2","1","1","2","2","1","1","3","3","2","2","3","3","2","2","3","3","1","1","5","11"
"18","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","4"
"19","1","2","1","2","2","3","2","3","1","2","1","2","2","3","2","3","1","2","1","2","1","14"
"20","3","3","2","1","2","1","1","3","2","3","1","1","3","2","3","1","1","3","2","3","6","4"
"21","2","3","3","2","1","2","2","1","2","1","2","1","2","3","2","3","3","2","2","3","4","18"
"22","1","2","2","1","3","1","1","3","1","3","1","3","1","2","1","2","2","1","1","2","6","18"
"23","3","1","1","3","2","3","3","2","2","3","2","3","1","3","1","3","3","1","1","3","1","18"
"24","3","1","1","3","2","3","3","2","3","2","3","2","3","1","3","1","1","3","3","1","2","18"
"25","1","3","3","1","2","3","3","2","1","3","3","1","2","3","3","2","2","3","2","3","6","21"
"26","1","2","2","1","1","3","3","1","2","1","1","2","3","1","1","3","1","3","1","3","3","20"
"27","2","1","1","2","3","1","1","3","2","1","1","2","3","1","1","3","3","1","3","1","4","21"
"28","1","3","1","3","2","1","2","1","1","3","1","3","2","1","2","1","3","1","3","1","3","15"
"29","3","2","3","2","1","1","3","1","3","2","1","3","1","3","2","1","3","1","3","2","5","4"
"30","3","3","3","3","3","2","2","2","2","2","1","1","1","1","1","3","3","3","3","3","1","6"
"31","3","3","2","1","2","3","3","2","1","2","3","3","2","1","2","3","3","2","1","2","6","1"
"32","1","3","1","3","2","1","3","1","3","2","2","1","2","1","3","3","2","3","2","1","5","5"
"33","3","1","3","1","1","2","1","2","3","1","3","1","1","2","1","2","3","1","3","1","3","14"
"34","3","1","3","1","2","1","2","1","1","2","2","1","3","1","1","3","1","2","2","1","6","16"
"35","3","1","2","3","1","3","1","2","3","1","1","2","3","1","2","2","3","1","2","3","4","5"
"36","3","1","2","3","1","2","3","1","2","3","3","1","2","3","1","1","2","3","1","2","4","2"
"37","3","3","2","1","2","2","2","1","3","1","2","2","1","3","1","2","2","1","3","1","6","7"
"38","3","2","2","3","2","1","1","2","2","1","2","1","2","3","2","3","2","3","3","2","3","19"
"39","3","3","1","1","3","3","1","1","2","2","1","1","2","2","1","1","3","3","2","2","2","10"
"40","1","1","3","3","1","1","3","3","1","1","2","2","1","1","2","2","3","3","2","2","2","11"
"41","2","2","3","3","2","2","3","3","3","3","1","1","3","3","1","1","1","1","2","2","3","10"
"42","3","1","1","2","2","3","1","1","2","2","2","3","3","1","1","1","2","2","3","3","2","9"
"43","3","2","3","2","1","3","1","3","2","3","2","3","3","1","3","1","3","2","3","2","6","15"
"44","2","1","3","3","2","2","1","3","3","2","2","1","3","3","2","2","1","3","3","2","3","1"
"45","3","3","2","2","2","2","3","3","2","2","1","1","1","1","2","2","3","3","1","1","6","13"
"46","1","2","2","1","3","1","1","3","3","1","3","1","2","1","2","1","1","2","2","1","5","18"
"47","3","1","1","3","3","2","2","3","1","3","3","1","2","3","3","2","3","2","3","2","5","20"
"48","3","2","2","3","2","1","1","2","1","2","1","2","3","2","3","2","3","2","2","3","4","19"
"49","3","2","1","1","3","3","2","1","1","3","1","3","2","2","1","2","1","3","3","2","3","5"
"50","2","3","2","3","1","3","1","3","1","3","3","1","3","2","2","3","1","3","3","1","1","16"
"51","1","2","3","1","2","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","4","9"
"52","1","2","1","2","2","3","2","3","2","1","2","1","3","2","3","2","2","1","2","1","2","14"
"53","3","2","2","3","1","2","2","1","2","3","3","2","2","1","1","2","2","1","2","1","1","21"
"54","2","2","2","2","2","3","3","3","3","3","1","1","1","1","1","2","2","2","2","2","1","8"
"55","3","3","1","1","1","1","3","3","2","2","3","3","3","3","2","2","1","1","2","2","4","12"
"56","1","2","1","2","3","2","3","2","2","3","3","2","1","2","2","1","2","3","3","2","4","16"
"57","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","4","6"
"58","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","7"
"59","2","3","3","1","1","2","3","3","1","1","3","1","1","2","2","1","2","2","3","3","2","5"
"60","2","3","3","2","2","1","1","2","2","3","3","2","2","1","1","2","1","2","1","2","2","20"
"61","3","2","3","2","3","1","3","1","1","3","3","1","3","2","2","3","3","1","1","3","2","17"
"62","3","2","3","2","1","2","1","2","1","3","2","1","2","1","3","2","1","2","1","3","5","7"
"63","2","2","2","2","2","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","1","2"
"64","2","1","2","1","3","2","1","2","1","3","1","3","1","3","2","3","2","3","2","1","5","9"
"65","1","1","3","2","3","3","3","2","1","2","1","1","3","2","3","2","2","1","3","1","6","2"
"66","1","2","3","1","2","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","4","3"
"67","3","2","1","1","3","2","1","3","3","2","3","2","1","1","3","1","3","2","2","1","3","2"
"68","3","1","1","2","2","1","2","2","3","3","3","1","1","2","2","2","3","3","1","1","2","3"
"69","3","1","1","3","3","2","2","3","3","1","1","3","3","2","2","3","2","3","2","3","6","20"
"70","3","1","3","1","1","2","1","2","1","3","1","3","2","1","2","1","1","3","1","3","4","14"
"71","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"72","2","1","2","1","3","2","3","2","2","1","2","1","3","2","3","2","1","2","1","2","1","15"
"73","2","2","3","3","3","3","2","2","1","1","2","2","2","2","1","1","3","3","1","1","6","12"
"74","1","3","1","3","2","2","1","2","1","3","3","2","3","2","1","1","3","1","3","2","5","8"
"75","3","3","1","1","1","1","3","3","3","3","2","2","2","2","3","3","2","2","1","1","3","12"
"76","2","3","3","2","2","1","1","2","3","2","2","3","1","2","2","1","2","1","2","1","1","20"
"77","2","1","2","1","3","1","3","1","3","2","3","2","3","2","1","2","1","2","1","3","5","6"
"78","3","1","2","3","1","1","2","3","1","2","2","3","1","2","3","3","1","2","3","1","4","8"
"79","3","2","3","2","1","3","2","3","2","1","3","2","3","2","1","3","2","3","2","1","5","1"
"80","1","1","3","3","3","3","1","1","3","3","2","2","2","2","3","3","1","1","2","2","4","13"
"81","1","3","3","1","2","3","3","2","3","1","1","3","3","2","2","3","3","2","3","2","5","21"
"82","3","3","3","3","3","1","1","1","1","1","3","3","3","3","3","2","2","2","2","2","1","3"
"83","2","1","1","2","1","3","3","1","3","1","3","1","2","1","2","1","2","1","1","2","6","19"
"84","3","3","2","2","2","2","3","3","1","1","2","2","2","2","1","1","1","1","3","3","5","13"
"85","2","1","2","1","2","3","2","3","3","2","2","3","2","1","1","2","2","3","3","2","4","17"
"86","2","3","2","3","3","1","3","1","3","2","3","2","1","3","1","3","3","2","3","2","6","14"
"87","2","2","1","1","1","1","2","2","3","3","1","1","1","1","3","3","3","3","2","2","1","13"
"88","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","1","1","1","1","1","1","5"
"89","2","2","1","1","2","2","1","1","2","2","3","3","2","2","3","3","1","1","3","3","6","11"
"90","2","2","1","3","1","2","2","1","3","1","1","1","3","2","3","3","3","2","1","2","6","9"
"91","1","3","1","3","1","2","1","2","1","2","2","1","3","1","1","3","2","1","1","2","5","17"
"92","3","3","1","1","3","3","1","1","1","1","2","2","1","1","2","2","2","2","3","3","1","10"
"93","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","1","1","1","1","1","1","9"
"94","1","3","1","3","1","2","1","2","2","1","1","2","1","3","3","1","1","2","2","1","6","17"
"95","1","3","3","1","3","2","2","3","2","3","2","3","1","3","1","3","1","3","3","1","2","19"
"96","2","1","1","2","3","1","1","3","1","2","2","1","1","3","3","1","1","3","1","3","3","21"
"97","2","3","1","2","3","2","3","1","2","3","2","3","1","2","3","2","3","1","2","3","4","1"
"98","1","1","2","2","2","2","1","1","3","3","1","1","1","1","3","3","2","2","3","3","2","12"
"99","2","2","1","3","1","1","1","3","2","3","3","3","2","1","2","2","2","1","3","1","6","6"
"100","1","3","2","2","1","2","1","3","3","2","1","3","2","2","1","3","2","1","1","3","3","3"
"101","2","1","2","1","2","3","2","3","2","3","3","2","1","2","2","1","3","2","2","3","3","17"
"102","3","1","1","2","2","2","3","3","1","1","1","2","2","3","3","3","1","1","2","2","2","6"
"103","1","1","3","2","3","1","1","3","2","3","2","2","1","3","1","3","3","2","1","2","6","5"
"104","1","2","2","3","3","1","2","2","3","3","1","2","2","3","3","1","2","2","3","3","2","1"
"105","3","2","2","3","1","2","2","1","3","2","2","3","1","2","2","1","1","2","1","2","2","21"
"106","3","2","3","2","3","1","3","1","3","1","1","3","2","3","3","2","1","3","3","1","1","17"
"107","2","1","3","3","2","1","3","2","2","1","1","3","2","2","1","1","3","2","2","1","3","7"
"108","1","2","2","3","3","3","1","1","2","2","3","1","1","2","2","3","1","1","2","2","2","7"
"109","1","3","1","3","2","1","2","1","3","1","3","1","1","2","1","2","1","3","1","3","4","15"
"110","2","1","3","3","2","3","2","1","1","3","3","2","1","1","3","3","2","1","1","3","3","4"
"111","2","2","1","1","1","1","2","2","1","1","3","3","3","3","1","1","2","2","3","3","2","13"
"112","1","1","3","2","3","2","2","1","3","1","3","3","2","1","2","1","1","3","2","3","6","8"
"113","1","3","3","1","3","2","2","3","3","2","3","2","3","1","3","1","3","1","1","3","1","19"
"114","1","3","1","3","2","3","2","3","2","1","1","3","1","3","2","2","1","2","1","3","5","2"
"115","1","3","2","2","1","1","3","2","2","1","3","2","1","1","3","2","1","3","3","2","3","9"
"116","3","3","2","2","3","3","2","2","3","3","1","1","3","3","1","1","2","2","1","1","4","11"
"117","2","1","2","1","3","2","3","2","1","2","1","2","2","3","2","3","2","1","2","1","2","15"
"118","1","1","3","3","3","3","1","1","2","2","3","3","3","3","2","2","2","2","1","1","3","13"
"119","2","3","3","1","1","1","2","2","3","3","2","3","3","1","1","3","1","1","2","2","2","2"
"120","1","2","2","3","3","2","3","3","1","1","2","3","3","1","1","2","3","3","1","1","2","4"
"121","3","2","1","1","3","1","3","2","2","1","2","1","3","3","2","3","2","1","1","3","3","8"
"122","2","1","2","1","3","3","2","3","2","1","2","1","2","1","3","1","3","1","3","2","5","3"
"123","2","3","2","3","3","1","3","1","2","3","2","3","3","1","3","1","2","3","2","3","5","14"
"124","3","1","3","1","2","1","2","1","2","1","1","2","1","3","3","1","2","1","1","2","5","16"
"125","2","2","3","3","2","2","3","3","1","1","3","3","1","1","3","3","2","2","1","1","4","10"
"126","1","1","2","2","1","1","2","2","3","3","2","2","3","3","2","2","1","1","3","3","6","10"
