"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","2","2","2","1","2","2","2","2","1","2","1","2","2","1","1","2","1","4"
"2","2","1","2","1","2","1","2","1","2","1","1","1","1","2","2","2","1","1","14"
"3","1","1","1","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","11"
"4","1","2","2","2","2","1","1","2","2","1","2","2","1","1","2","2","2","2","7"
"5","2","1","1","2","2","2","1","1","2","2","1","2","1","1","1","2","2","1","5"
"6","2","1","1","2","1","1","1","1","2","1","1","1","1","2","2","1","1","2","17"
"7","1","2","1","1","2","2","1","2","2","1","1","2","1","2","1","2","1","2","3"
"8","2","2","1","1","2","2","2","2","2","2","2","2","2","1","2","1","1","1","9"
"9","1","1","2","2","2","2","1","1","2","1","1","2","2","2","1","1","2","1","10"
"10","1","1","2","2","2","2","2","1","1","2","1","2","1","1","2","1","2","2","11"
"11","1","1","2","2","1","2","2","2","1","2","2","2","1","2","1","2","2","2","17"
"12","2","1","2","2","1","2","1","1","2","2","2","1","1","2","2","2","1","2","1"
"13","2","1","2","1","1","1","2","1","1","1","1","2","2","2","1","1","1","2","8"
"14","2","2","1","2","1","2","2","1","1","1","1","1","2","1","2","2","1","1","7"
"15","2","1","2","2","1","2","2","2","2","1","2","1","1","1","1","2","1","1","2"
"16","1","2","1","2","2","1","2","2","2","2","2","2","1","2","1","1","1","1","1"
"17","1","2","2","2","1","2","1","1","1","2","1","1","2","2","1","2","1","1","9"
"18","2","2","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","13"
"19","2","1","2","1","1","1","2","1","2","1","1","2","1","1","1","2","2","2","9"
"20","2","2","1","2","2","1","2","1","2","2","2","1","2","1","1","2","2","2","14"
"21","2","1","1","1","2","2","1","1","1","2","2","1","1","2","2","1","1","1","3"
"22","2","2","2","2","2","2","2","2","1","2","1","1","1","1","1","1","1","1","13"
"23","1","2","2","1","2","2","2","1","2","2","1","1","2","1","2","1","2","1","17"
"24","1","1","1","1","2","1","1","1","1","2","1","2","1","1","2","2","1","1","4"
"25","1","2","2","1","1","2","1","2","1","2","2","2","1","1","1","1","2","2","14"
"26","2","1","2","2","1","1","2","1","2","2","2","2","2","1","1","1","2","2","3"
"27","2","1","1","1","1","2","2","2","1","2","1","2","2","2","1","1","1","2","7"
