"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","1","1","1","1","1","1","4","3","3","1","3","3","8","4","6","6","2"
"2","1","2","2","2","1","2","1","3","1","2","4","5","3","1","2","8","2"
"3","1","2","2","1","1","1","2","1","2","4","1","5","6","2","6","1","8"
"4","2","2","1","2","2","1","2","3","1","3","4","7","1","5","6","4","7"
"5","1","1","1","1","2","2","2","4","4","3","4","1","5","2","5","5","2"
"6","2","1","2","1","2","2","2","4","3","2","2","5","8","3","3","4","4"
"7","2","2","1","2","2","1","4","4","4","4","4","8","8","8","8","8","8"
"8","2","2","1","2","2","1","1","3","4","2","1","4","6","3","5","6","3"
"9","1","1","1","2","1","2","4","1","1","2","3","8","6","5","1","5","4"
"10","2","2","1","1","2","2","2","1","3","4","4","4","3","4","1","3","5"
"11","1","2","2","1","1","1","3","2","2","2","4","1","8","5","7","3","3"
"12","1","2","2","2","1","2","3","4","4","1","4","6","6","4","4","4","1"
"13","1","2","2","1","2","2","4","2","1","2","2","7","7","4","5","2","8"
"14","2","1","2","1","2","2","4","3","2","1","2","6","1","2","1","8","3"
"15","1","1","1","2","1","2","2","2","4","1","3","7","3","8","3","1","3"
"16","1","2","2","1","1","1","4","2","3","3","1","6","3","3","8","5","7"
"17","2","1","2","1","2","2","3","3","3","4","3","1","6","8","2","2","7"
"18","1","1","1","2","1","2","3","1","4","3","2","3","1","3","2","3","8"
"19","2","2","1","2","1","2","3","4","3","4","2","2","7","1","6","5","3"
"20","2","2","1","1","1","1","4","2","4","2","3","2","2","2","2","4","5"
"21","2","2","1","2","1","2","1","3","2","3","2","1","2","4","8","1","4"
"22","2","1","2","2","1","2","2","2","3","4","1","3","2","5","5","8","1"
"23","1","1","1","1","1","1","1","4","3","3","2","7","6","7","7","8","5"
"24","2","2","1","1","2","2","1","1","2","1","1","7","8","6","2","5","1"
"25","1","1","1","1","2","2","1","4","1","2","1","6","2","8","6","3","6"
"26","1","2","2","2","2","1","1","3","3","3","3","8","7","2","3","3","1"
"27","1","2","2","2","1","2","2","3","4","3","1","2","8","7","1","2","6"
"28","1","2","2","2","2","1","3","4","2","4","3","7","2","3","1","7","2"
"29","1","2","2","2","2","1","4","4","3","1","2","4","5","5","2","1","6"
"30","2","1","2","1","1","1","4","3","4","4","1","7","5","1","4","3","4"
"31","2","1","2","1","2","2","1","4","2","3","3","2","3","5","4","6","8"
"32","1","1","1","2","2","1","1","2","3","1","1","1","4","1","1","4","8"
"33","2","1","2","2","2","1","3","1","1","3","3","6","8","1","5","1","5"
"34","2","2","1","1","1","1","2","1","1","1","3","1","7","3","4","8","6"
"35","2","1","2","1","1","1","2","4","1","3","1","8","4","4","2","7","3"
"36","1","2","2","2","2","1","2","3","2","2","2","3","4","8","4","5","5"
"37","1","1","1","1","1","1","2","4","2","2","3","4","1","1","8","2","1"
"38","2","2","1","1","2","2","3","2","3","2","1","8","1","7","4","1","2"
"39","1","2","2","1","2","2","2","1","4","1","2","8","2","1","7","6","7"
"40","1","1","1","2","2","1","4","1","3","3","4","5","2","6","4","2","3"
"41","2","1","2","2","1","2","3","1","3","2","4","7","4","2","8","6","6"
"42","2","2","1","1","1","1","3","2","1","3","2","5","5","8","1","6","1"
"43","2","1","2","1","1","1","1","4","4","2","4","3","7","6","1","1","7"
"44","2","1","2","2","2","1","2","2","1","1","2","2","6","6","8","3","2"
"45","1","1","1","2","2","1","3","1","2","2","1","2","5","4","3","8","7"
"46","2","1","2","2","1","2","4","1","2","3","1","4","7","8","7","4","2"
"47","1","2","2","1","2","2","3","2","4","3","3","4","4","6","6","8","4"
"48","2","1","2","1","1","1","3","3","1","1","4","4","2","7","3","5","8"
"49","2","2","1","1","1","1","1","1","4","4","2","6","4","5","3","2","2"
"50","1","1","1","2","1","2","1","2","1","4","2","4","8","2","4","7","7"
"51","2","1","2","2","1","2","1","2","2","1","4","8","5","3","6","2","5"
"52","2","1","2","2","2","1","4","1","4","2","2","1","3","7","6","7","1"
"53","2","2","1","2","1","2","2","3","3","2","3","6","5","6","7","7","8"
"54","1","1","1","1","2","2","4","3","1","4","4","2","4","3","7","1","1"
"55","2","2","1","2","2","1","3","4","1","1","1","3","3","2","7","2","4"
"56","1","1","1","1","2","2","3","3","4","1","1","5","7","5","8","7","5"
"57","2","2","1","2","1","2","4","4","2","1","3","5","4","7","5","3","7"
"58","2","1","2","2","2","1","1","2","4","4","3","5","1","4","7","5","6"
"59","1","2","2","2","1","2","4","4","1","4","1","1","1","6","3","6","5"
"60","1","2","2","1","2","2","1","1","1","4","3","3","5","7","8","4","3"
"61","1","2","2","1","1","1","1","1","3","1","4","2","1","8","5","7","4"
"62","1","1","1","2","2","1","2","2","2","4","4","6","7","7","2","6","4"
"63","1","1","1","1","1","1","3","3","2","4","2","8","3","6","5","4","6"
"64","2","2","1","1","2","2","4","2","2","3","4","3","6","1","3","7","6"
