"","A","B","C","D","E","F","G","H","J","K","L"
"1","2","2","1","2","1","1","2","1","6","6","5"
"2","1","1","1","1","1","1","1","1","1","5","5"
"3","1","2","2","1","1","2","2","2","5","1","5"
"4","1","2","2","1","1","2","2","2","4","5","3"
"5","1","1","2","2","2","1","2","1","6","5","2"
"6","1","1","1","1","1","1","1","1","2","1","1"
"7","1","1","1","2","1","2","1","2","5","2","2"
"8","2","2","2","2","1","1","1","2","3","1","2"
"9","2","2","2","2","1","1","1","2","1","3","4"
"10","1","2","1","1","2","1","2","2","3","4","6"
"11","2","2","1","1","2","2","1","1","6","1","6"
"12","1","1","1","2","1","2","1","2","6","4","4"
"13","2","1","2","1","2","1","1","2","5","6","1"
"14","2","1","2","1","1","2","2","1","3","6","4"
"15","2","1","1","2","2","2","2","2","2","3","5"
"16","2","2","2","2","1","1","1","2","2","5","6"
"17","2","1","2","1","1","2","2","1","1","2","6"
"18","2","1","2","1","1","2","2","1","2","4","2"
"19","2","1","1","2","2","2","2","2","1","1","3"
"20","1","1","2","2","2","1","2","1","5","3","6"
"21","1","1","2","2","2","1","2","1","4","1","4"
"22","1","2","2","2","2","2","1","1","3","2","5"
"23","2","2","1","2","1","1","2","1","4","2","1"
"24","1","1","1","1","1","1","1","1","3","3","3"
"25","2","1","2","1","2","1","1","2","4","4","5"
"26","1","2","2","2","2","2","1","1","1","4","1"
"27","1","2","1","1","2","1","2","2","2","2","4"
"28","1","2","2","1","1","2","2","2","6","3","1"
"29","2","2","1","2","1","1","2","1","5","4","3"
"30","2","1","2","1","2","1","1","2","6","2","3"
"31","2","2","1","1","2","2","1","1","5","5","4"
"32","1","2","2","2","2","2","1","1","2","6","3"
"33","2","1","1","2","2","2","2","2","3","5","1"
"34","2","2","1","1","2","2","1","1","4","3","2"
"35","1","2","1","1","2","1","2","2","1","6","2"
"36","1","1","1","2","1","2","1","2","4","6","6"
