"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","2","1","1","1","1","1","2","2","2","1","2","2","2","1","3","2","1","3"
"2","2","1","2","2","1","2","1","2","2","1","1","1","2","2","1","2","1","4","7"
"3","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","2","3","4","3"
"4","2","2","1","2","1","2","2","2","1","1","2","2","1","1","1","3","1","2","4"
"5","2","1","2","1","2","2","2","2","1","1","2","2","2","2","1","1","3","1","5"
"6","1","1","1","2","2","1","1","2","2","2","2","1","1","2","2","3","1","3","5"
"7","1","2","2","2","2","1","1","1","1","1","1","1","2","2","1","3","3","2","8"
"8","2","2","1","1","2","2","2","1","2","2","1","2","1","2","2","1","1","4","8"
"9","2","2","1","1","1","1","2","1","2","1","1","1","2","1","2","2","4","2","5"
"10","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","1"
"11","1","2","2","2","1","2","2","2","1","1","1","1","1","2","2","1","4","3","3"
"12","2","2","1","2","2","1","1","1","1","1","2","2","2","1","2","1","2","3","7"
"13","1","2","2","2","2","1","2","2","1","2","1","2","2","1","2","2","1","1","2"
"14","1","1","1","1","2","2","1","1","1","2","1","2","2","2","1","2","4","3","4"
"15","1","1","1","2","1","2","2","1","2","2","2","1","2","2","1","1","2","2","2"
"16","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","3","3","3","1"
"17","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","1"
"18","2","1","2","1","1","1","2","2","1","2","2","1","1","1","1","2","2","3","8"
"19","2","1","2","1","2","2","1","1","1","2","2","1","2","1","2","4","1","2","3"
"20","1","2","2","2","1","2","1","1","1","2","1","2","1","1","1","4","2","4","5"
"21","1","1","1","1","1","1","2","2","1","2","1","2","1","2","2","4","3","2","7"
"22","1","2","2","1","1","1","1","2","2","2","2","1","2","1","2","1","3","4","4"
"23","2","2","1","2","1","2","1","1","1","2","2","1","1","2","2","2","3","1","6"
"24","1","2","2","1","1","1","2","1","2","1","2","2","2","2","1","4","1","3","6"
"25","1","1","1","2","1","2","1","2","2","1","2","2","2","1","2","4","4","1","8"
"26","1","1","1","1","2","2","2","2","1","1","1","1","2","1","2","3","2","4","6"
"27","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"28","2","1","2","2","2","1","1","2","2","2","1","2","1","1","1","1","4","2","6"
"29","2","1","2","1","1","1","1","1","1","1","2","2","1","2","2","3","4","4","2"
"30","1","2","2","1","2","2","2","1","2","2","2","1","1","1","1","3","4","1","7"
"31","2","1","2","2","2","1","2","1","2","1","1","1","1","2","2","4","2","1","4"
"32","2","2","1","1","2","2","1","2","2","1","1","1","1","1","1","4","3","3","2"
