"","A","B","C","D","E","F","G","H","J","K"
"1","1","3","2","3","2","1","2","1","3","9"
"2","3","3","3","2","2","2","1","1","1","3"
"3","2","2","2","1","1","1","3","3","3","3"
"4","2","3","1","2","3","1","2","3","1","4"
"5","3","2","1","3","2","1","3","2","1","7"
"6","3","1","2","2","3","1","1","2","3","6"
"7","2","1","3","1","3","2","3","2","1","9"
"8","2","2","2","3","3","3","1","1","1","2"
"9","3","2","1","1","3","2","2","1","3","8"
"10","3","3","3","3","3","3","3","3","3","1"
"11","1","3","2","1","3","2","1","3","2","7"
"12","1","1","1","2","2","2","3","3","3","2"
"13","1","2","3","1","2","3","1","2","3","4"
"14","3","3","3","1","1","1","2","2","2","2"
"15","2","1","3","3","2","1","1","3","2","8"
"16","1","3","2","2","1","3","3","2","1","8"
"17","1","2","3","2","3","1","3","1","2","5"
"18","3","2","1","2","1","3","1","3","2","9"
"19","3","1","2","1","2","3","2","3","1","5"
"20","1","2","3","3","1","2","2","3","1","6"
"21","3","1","2","3","1","2","3","1","2","4"
"22","1","1","1","3","3","3","2","2","2","3"
"23","1","1","1","1","1","1","1","1","1","1"
"24","2","3","1","1","2","3","3","1","2","6"
"25","2","3","1","3","1","2","1","2","3","5"
"26","2","1","3","2","1","3","2","1","3","7"
"27","2","2","2","2","2","2","2","2","2","1"
