"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","2","1","2","2","1","4","3","2","3","4","3","2","1","4","1","2"
"2","2","2","2","2","1","1","4","3","4","2","3","2","1","3","2","4","1"
"3","2","1","2","1","1","2","4","1","3","2","1","3","4","2","4","3","1"
"4","2","2","1","2","2","3","2","1","4","1","2","1","4","3","2","3","4"
"5","1","2","2","1","2","1","2","4","3","2","1","4","2","3","3","1","4"
"6","1","2","1","1","3","4","3","1","4","2","3","3","2","1","1","2","4"
"7","2","1","1","1","2","1","3","2","1","2","4","1","4","3","4","2","3"
"8","1","2","1","1","3","1","2","4","1","3","2","2","3","4","4","3","1"
"9","1","1","2","2","3","1","1","1","4","4","4","2","2","2","3","3","3"
"10","2","2","1","2","2","2","3","4","1","4","3","4","1","2","3","2","1"
"11","1","2","2","1","2","4","3","1","2","3","4","1","3","2","2","4","1"
"12","1","1","2","2","3","3","3","3","2","2","2","4","4","4","1","1","1"
"13","2","1","1","1","2","2","4","1","2","1","3","2","3","4","3","1","4"
"14","1","2","1","2","1","1","2","4","2","1","3","3","4","2","1","4","3"
"15","2","1","1","2","3","2","4","1","1","3","2","4","2","3","1","4","3"
"16","1","2","1","2","1","4","3","1","3","4","2","2","1","3","4","1","2"
"17","1","1","2","2","2","3","3","3","1","1","1","2","2","2","4","4","4"
"18","1","1","2","2","2","2","2","2","4","4","4","3","3","3","1","1","1"
"19","1","2","1","2","1","3","4","2","4","3","1","1","2","4","3","2","1"
"20","1","1","2","2","2","4","4","4","2","2","2","1","1","1","3","3","3"
"21","2","1","2","1","1","1","3","2","4","1","2","4","3","1","3","4","2"
"22","2","1","1","2","3","3","1","4","4","2","3","1","3","2","4","1","2"
"23","1","2","1","2","1","2","1","3","1","2","4","4","3","1","2","3","4"
"24","1","2","2","1","2","2","1","3","4","1","2","3","1","4","4","2","3"
"25","2","1","1","2","3","4","2","3","3","1","4","2","4","1","3","2","1"
"26","2","1","2","1","1","4","2","3","1","4","3","1","2","4","2","1","3"
"27","2","2","2","2","1","2","3","4","3","1","4","1","2","4","1","3","2"
"28","2","1","1","2","3","1","3","2","2","4","1","3","1","4","2","3","4"
"29","1","1","2","2","3","2","2","2","3","3","3","1","1","1","4","4","4"
"30","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4"
"31","1","2","2","1","2","3","4","2","1","4","3","2","4","1","1","3","2"
"32","2","2","2","2","1","4","1","2","1","3","2","3","4","2","3","1","4"
"33","2","2","2","1","3","3","2","1","1","2","4","3","1","4","3","4","2"
"34","2","1","1","1","2","4","2","3","4","3","1","4","1","2","1","3","2"
"35","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2"
"36","2","1","1","1","2","3","1","4","3","4","2","3","2","1","2","4","1"
"37","2","2","2","2","1","3","2","1","2","4","1","4","3","1","4","2","3"
"38","2","2","2","1","3","1","4","3","3","4","2","1","3","2","1","2","4"
"39","1","1","2","2","2","1","1","1","3","3","3","4","4","4","2","2","2"
"40","2","2","2","1","3","2","3","4","4","3","1","2","4","1","2","1","3"
"41","1","2","1","1","3","3","4","2","3","1","4","4","1","2","2","1","3"
"42","2","2","1","2","2","4","1","2","3","2","1","2","3","4","1","4","3"
"43","2","2","2","1","3","4","1","2","2","1","3","4","2","3","4","3","1"
"44","2","1","2","1","1","3","1","4","2","3","4","2","1","3","1","2","4"
"45","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3"
"46","1","2","1","1","3","2","1","3","2","4","1","1","4","3","3","4","2"
"47","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"48","1","1","2","2","3","4","4","4","1","1","1","3","3","3","2","2","2"
