"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","1","2","2","5","4","6","1","7","2","8","7"
"2","1","2","2","1","4","2","8","6","7","5","3","1","3"
"3","2","1","1","2","4","1","2","6","4","8","7","3","5"
"4","1","2","2","1","4","7","5","2","1","6","8","3","6"
"5","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","1","2","1","2","2","1","7","5","8","6","4","2","3"
"7","1","2","2","1","4","8","7","3","5","1","2","6","5"
"8","2","2","2","2","1","5","2","3","7","6","1","4","4"
"9","2","2","2","2","1","1","5","4","2","7","3","6","8"
"10","1","1","1","1","1","4","7","6","2","3","8","5","4"
"11","2","2","2","2","1","2","7","1","6","4","5","3","7"
"12","2","2","2","2","1","6","4","2","3","1","7","5","3"
"13","1","2","2","1","4","1","6","7","3","2","5","8","4"
"14","1","2","1","2","2","6","2","7","5","4","8","1","8"
"15","1","2","1","2","2","7","8","4","6","2","1","5","5"
"16","2","1","1","2","4","4","8","1","3","6","2","7","8"
"17","2","2","1","1","3","3","4","8","2","6","5","1","5"
"18","2","1","1","2","4","8","3","2","6","7","4","1","4"
"19","2","2","1","1","3","2","6","3","1","8","4","5","8"
"20","2","2","1","1","3","5","3","1","4","2","8","6","3"
"21","1","2","1","2","2","2","5","8","4","1","6","7","4"
"22","1","1","1","1","1","6","8","3","4","7","5","2","6"
"23","2","2","2","2","1","4","3","7","1","5","6","2","5"
"24","2","1","2","1","2","5","8","7","2","1","4","3","2"
"25","2","1","1","2","4","5","5","5","5","5","5","5","1"
"26","2","1","1","2","4","3","6","4","7","1","8","2","7"
"27","2","1","2","1","2","1","3","8","7","4","2","5","6"
"28","1","1","2","2","3","3","8","5","1","4","7","6","4"
"29","2","2","1","1","3","7","7","7","7","7","7","7","1"
"30","2","1","1","2","4","2","4","7","8","3","1","6","6"
"31","1","1","2","2","3","4","6","8","5","7","1","3","3"
"32","1","2","1","2","2","3","3","3","3","3","3","3","1"
"33","1","1","2","2","3","1","4","3","6","5","8","7","2"
"34","2","1","2","1","2","6","6","6","6","6","6","6","1"
"35","2","2","2","2","1","3","1","6","5","2","4","7","6"
"36","2","1","2","1","2","7","4","1","5","8","3","2","4"
"37","1","1","1","1","1","2","3","4","5","6","7","8","2"
"38","1","1","1","1","1","5","6","2","8","4","3","7","5"
"39","1","2","2","1","4","5","1","8","6","3","7","2","8"
"40","2","2","2","2","1","8","8","8","8","8","8","8","1"
"41","1","2","2","1","4","3","2","1","8","7","6","5","2"
"42","2","1","2","1","2","4","5","3","8","2","7","1","7"
"43","2","1","2","1","2","8","2","4","1","3","5","7","3"
"44","1","2","2","1","4","6","3","5","2","8","1","7","7"
"45","1","2","2","1","4","4","4","4","4","4","4","4","1"
"46","1","1","1","1","1","8","4","5","7","2","6","3","8"
"47","2","1","2","1","2","3","7","2","4","5","1","8","8"
"48","2","2","1","1","3","6","1","4","8","5","2","3","4"
"49","1","1","2","2","3","2","2","2","2","2","2","2","1"
"50","1","1","2","2","3","6","5","1","7","3","4","8","5"
"51","2","2","2","2","1","7","6","5","4","3","2","1","2"
"52","1","2","1","2","2","4","1","2","7","8","5","6","2"
"53","1","1","2","2","3","7","3","6","8","1","5","4","8"
"54","2","1","1","2","4","7","1","3","2","4","6","8","3"
"55","2","1","2","1","2","2","1","5","3","7","8","4","5"
"56","2","1","1","2","4","6","7","8","1","2","3","4","2"
"57","1","1","1","1","1","7","2","8","3","5","4","6","7"
"58","1","1","1","1","1","3","5","7","6","8","2","4","3"
"59","2","2","1","1","3","8","5","6","3","4","1","2","2"
"60","1","1","2","2","3","5","7","4","3","8","6","1","6"
"61","1","1","2","2","3","8","1","7","4","6","3","5","7"
"62","2","2","1","1","3","1","8","2","5","3","6","4","7"
"63","1","2","1","2","2","8","6","1","2","5","7","4","6"
"64","2","2","1","1","3","4","2","5","6","1","3","8","6"
