"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","1","2","4","1","2","1","2","3","4","2","1","4","3","4","3","2","1","7"
"2","2","1","2","2","4","1","1","4","2","3","2","3","1","4","4","1","3","2","15"
"3","2","2","1","4","4","4","2","2","2","2","1","1","1","1","3","3","3","3","3"
"4","1","1","1","4","2","3","1","4","2","3","1","4","2","3","1","4","2","3","13"
"5","2","1","2","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","5"
"6","2","2","1","4","4","4","3","3","3","3","2","2","2","2","1","1","1","1","2"
"7","1","1","1","1","1","1","3","3","3","3","4","4","4","4","2","2","2","2","3"
"8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","1","2","2","2","2","2","3","3","3","3","1","1","1","1","4","4","4","4","4"
"10","2","2","1","3","2","1","3","4","1","2","2","1","4","3","1","2","3","4","6"
"11","1","1","1","3","4","2","2","4","3","1","3","1","2","4","4","2","1","3","10"
"12","2","1","2","2","4","1","4","1","3","2","1","4","2","3","2","3","1","4","14"
"13","2","2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
"14","2","1","2","1","2","4","4","2","1","3","1","3","4","2","2","4","3","1","10"
"15","1","2","2","1","4","3","1","2","3","4","4","3","2","1","3","4","1","2","6"
"16","1","1","1","3","4","2","3","1","2","4","4","2","1","3","2","4","3","1","11"
"17","2","1","2","3","3","3","4","4","4","4","1","1","1","1","2","2","2","2","2"
"18","2","1","2","4","1","2","4","3","2","1","1","2","3","4","2","1","4","3","6"
"19","2","1","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"20","2","2","1","2","1","3","4","2","1","3","4","2","1","3","4","2","1","3","9"
"21","1","1","1","4","2","3","3","2","4","1","4","1","3","2","2","3","1","4","15"
"22","1","2","2","4","3","1","4","2","1","3","3","1","2","4","1","3","4","2","11"
"23","1","1","1","1","1","1","4","4","4","4","2","2","2","2","3","3","3","3","4"
"24","2","1","2","3","3","3","1","1","1","1","2","2","2","2","4","4","4","4","3"
"25","1","1","1","3","4","2","1","3","4","2","1","3","4","2","1","3","4","2","9"
"26","1","2","2","3","1","4","3","2","4","1","1","4","2","3","4","1","3","2","16"
"27","1","1","1","3","4","2","4","2","1","3","2","4","3","1","3","1","2","4","12"
"28","1","2","2","4","3","1","3","1","2","4","1","3","4","2","4","2","1","3","12"
"29","1","2","2","3","1","4","1","4","2","3","4","1","3","2","3","2","4","1","14"
"30","1","2","2","4","3","1","1","3","4","2","4","2","1","3","3","1","2","4","10"
"31","2","1","2","1","2","4","1","3","4","2","2","4","3","1","4","2","1","3","11"
"32","2","1","2","3","3","3","2","2","2","2","4","4","4","4","1","1","1","1","4"
"33","1","1","1","2","3","4","4","3","2","1","2","1","4","3","3","4","1","2","8"
"34","1","1","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","5"
"35","1","1","1","4","2","3","2","3","1","4","3","2","4","1","4","1","3","2","14"
"36","1","2","2","2","2","2","1","1","1","1","4","4","4","4","3","3","3","3","2"
"37","2","1","2","2","4","1","3","2","4","1","3","2","4","1","3","2","4","1","13"
"38","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"39","1","2","2","4","3","1","2","4","3","1","2","4","3","1","2","4","3","1","9"
"40","1","1","1","4","2","3","4","1","3","2","2","3","1","4","3","2","4","1","16"
"41","2","2","1","3","2","1","1","2","3","4","3","4","1","2","2","1","4","3","8"
"42","2","2","1","2","1","3","2","4","3","1","1","3","4","2","3","1","2","4","11"
"43","1","2","2","2","2","2","4","4","4","4","3","3","3","3","1","1","1","1","3"
"44","1","2","2","1","4","3","3","4","1","2","1","2","3","4","4","3","2","1","8"
"45","1","2","2","1","4","3","4","3","2","1","3","4","1","2","1","2","3","4","7"
"46","2","1","2","1","2","4","3","1","2","4","3","1","2","4","3","1","2","4","9"
"47","2","1","2","1","2","4","2","4","3","1","4","2","1","3","1","3","4","2","12"
"48","1","1","1","2","3","4","2","1","4","3","3","4","1","2","4","3","2","1","6"
"49","1","2","2","3","1","4","4","1","3","2","3","2","4","1","1","4","2","3","15"
"50","2","1","2","4","1","2","2","1","4","3","4","3","2","1","1","2","3","4","8"
"51","1","2","2","1","4","3","2","1","4","3","2","1","4","3","2","1","4","3","5"
"52","1","1","1","2","3","4","3","4","1","2","4","3","2","1","2","1","4","3","7"
"53","2","2","1","3","2","1","4","3","2","1","4","3","2","1","4","3","2","1","5"
"54","2","2","1","2","1","3","3","1","2","4","2","4","3","1","1","3","4","2","10"
"55","2","2","1","3","2","1","2","1","4","3","1","2","3","4","3","4","1","2","7"
"56","2","2","1","4","4","4","1","1","1","1","3","3","3","3","2","2","2","2","4"
"57","1","2","2","3","1","4","2","3","1","4","2","3","1","4","2","3","1","4","13"
"58","2","2","1","1","3","2","2","3","1","4","1","4","2","3","3","2","4","1","15"
"59","2","2","1","2","1","3","1","3","4","2","3","1","2","4","2","4","3","1","12"
"60","2","2","1","1","3","2","4","1","3","2","4","1","3","2","4","1","3","2","13"
"61","2","2","1","1","3","2","1","4","2","3","3","2","4","1","2","3","1","4","16"
"62","2","2","1","1","3","2","3","2","4","1","2","3","1","4","1","4","2","3","14"
"63","1","1","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","2"
"64","2","1","2","2","4","1","2","3","1","4","4","1","3","2","1","4","2","3","16"
