"","A","B","C","D","E","F","G","H","J"
"1","2","1","2","1","2","2","2","1","1"
"2","1","2","2","1","1","2","2","1","3"
"3","1","2","1","1","1","2","1","1","4"
"4","2","2","1","1","2","1","2","1","5"
"5","2","2","1","2","2","2","1","2","1"
"6","1","2","2","2","1","1","2","2","1"
"7","1","2","2","1","2","1","1","2","5"
"8","1","1","1","1","2","1","2","2","2"
"9","1","1","1","2","2","1","1","1","3"
"10","2","2","2","2","2","1","1","1","4"
"11","2","1","2","1","1","1","2","2","4"
"12","1","1","2","2","1","2","1","2","5"
"13","1","2","2","2","2","2","2","1","2"
"14","2","1","1","2","1","2","2","1","5"
"15","2","2","1","1","1","2","1","2","2"
"16","2","1","2","2","1","1","1","1","2"
"17","2","2","1","2","1","1","2","2","3"
"18","1","1","1","2","2","2","2","2","4"
"19","2","1","2","1","2","2","1","2","3"
"20","1","1","1","1","1","1","1","1","1"
