"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","2","1","1","2","1","2","2","2","1","2","1","1","3","3","1","2","4","1","2","6","5","3"
"2","1","1","1","2","1","1","1","2","2","2","1","3","1","3","3","1","2","2","5","4","6","2"
"3","2","1","1","1","2","1","1","1","1","2","3","1","3","1","2","1","5","5","4","2","6","6"
"4","2","1","1","2","1","2","2","2","1","3","2","2","1","1","2","3","4","5","6","4","3","1"
"5","2","1","2","1","1","2","2","1","2","1","1","1","2","3","2","3","5","6","5","2","3","4"
"6","2","2","1","1","1","2","2","2","1","3","2","3","3","2","1","1","6","1","5","5","6","4"
"7","2","2","1","2","1","2","1","1","1","3","3","1","1","1","3","3","2","4","2","5","5","2"
"8","2","1","2","1","1","1","1","2","2","1","2","3","1","1","2","1","6","6","2","3","2","3"
"9","1","1","2","2","2","2","1","1","1","2","1","2","2","1","3","3","6","6","4","4","5","3"
"10","2","1","2","1","1","2","2","1","2","2","2","2","3","1","3","1","5","4","3","6","1","2"
"11","2","2","1","1","2","1","1","2","2","2","2","1","1","2","1","3","4","6","1","6","3","5"
"12","1","1","2","1","2","2","2","2","1","1","1","2","2","2","1","1","2","5","3","6","6","3"
"13","2","1","1","2","1","2","2","2","1","1","3","3","2","2","3","1","4","3","4","2","1","5"
"14","1","2","2","1","1","2","1","2","2","2","3","2","1","3","1","1","3","3","6","2","5","4"
"15","2","2","2","1","2","1","2","1","2","1","3","2","3","2","2","3","2","1","4","3","5","1"
"16","1","2","1","1","1","2","2","1","2","3","2","1","2","3","3","1","1","2","4","6","2","1"
"17","1","1","1","1","2","1","2","2","1","2","3","3","2","1","1","3","3","2","2","3","1","4"
"18","1","2","1","2","2","1","2","1","2","3","1","2","3","3","1","3","6","5","1","2","1","2"
"19","1","1","2","2","2","2","1","1","1","3","2","3","3","2","1","1","6","4","2","2","3","1"
"20","1","1","2","2","1","1","2","1","2","1","1","3","3","1","3","2","4","5","6","5","2","4"
"21","1","2","2","2","1","1","2","2","1","1","2","3","2","3","1","3","5","4","3","1","5","5"
"22","2","2","1","1","2","1","1","2","2","3","3","2","2","3","2","1","4","4","5","4","1","3"
"23","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","1","3","3","3","3","3"
"24","2","2","1","1","1","2","2","2","1","2","1","2","2","1","3","3","6","3","1","1","2","6"
"25","2","1","2","2","2","2","1","2","2","2","1","3","1","2","2","3","1","1","3","5","1","6"
"26","1","2","1","2","2","2","1","2","2","2","2","2","3","1","3","1","5","1","6","3","4","5"
"27","1","1","1","2","1","1","1","2","2","1","3","2","3","2","2","3","2","4","1","6","2","4"
"28","2","2","2","1","2","1","2","1","2","3","2","1","2","1","1","2","2","3","6","5","1","3"
"29","1","2","1","2","2","2","1","2","2","1","1","1","2","3","2","3","5","3","2","5","6","1"
"30","2","1","1","1","2","1","1","1","1","3","1","2","1","2","3","2","5","3","2","6","4","4"
"31","2","2","1","2","1","2","1","1","1","2","2","3","3","3","2","2","2","6","4","1","1","4"
"32","2","1","1","2","2","2","2","1","2","2","3","2","1","3","1","1","3","6","3","5","2","1"
"33","2","2","1","2","1","2","1","1","1","1","1","2","2","2","1","1","2","2","6","3","3","6"
"34","2","1","2","1","1","2","2","1","2","3","3","3","1","2","1","2","5","2","1","4","5","6"
"35","1","2","2","1","2","2","1","1","1","3","2","2","1","1","2","3","4","2","3","1","6","4"
"36","2","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","4","4","4","4","4"
"37","2","1","2","2","2","2","1","2","2","3","2","1","2","3","3","1","1","5","1","3","5","4"
"38","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","5","5","5","5","5"
"39","1","2","1","2","2","2","1","2","2","3","3","3","1","2","1","2","5","5","4","1","2","3"
"40","2","2","2","2","1","1","1","1","1","2","3","3","2","1","1","3","3","5","5","6","4","1"
"41","2","1","1","1","2","1","1","1","1","1","2","3","2","3","1","3","5","1","6","4","2","2"
"42","2","2","1","1","1","2","2","2","1","1","3","1","1","3","2","2","6","5","3","3","4","2"
"43","1","1","2","2","2","2","1","1","1","1","3","1","1","3","2","2","6","2","6","6","1","5"
"44","1","2","1","2","2","1","2","1","2","1","2","3","1","1","2","1","6","3","5","6","5","6"
"45","2","2","1","1","2","1","1","2","2","1","1","3","3","1","3","2","4","2","3","2","5","1"
"46","1","1","1","2","1","1","1","2","2","3","2","1","2","1","1","2","2","6","3","2","4","6"
"47","2","1","1","2","2","2","2","1","2","1","2","1","3","2","3","3","3","2","5","1","4","3"
"48","2","2","2","2","1","1","1","1","1","3","1","1","3","2","2","1","3","3","3","4","2","5"
"49","1","2","2","1","2","2","1","1","1","1","3","3","2","2","3","1","4","6","1","5","4","2"
"50","1","1","2","1","2","2","2","2","1","3","3","1","1","1","3","3","2","1","5","2","2","5"
"51","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","1","2","2","2","2","2"
"52","2","2","2","1","2","1","2","1","2","2","1","3","1","3","3","1","2","5","2","1","3","5"
"53","1","2","1","1","1","2","2","1","2","2","1","3","1","2","2","3","1","4","6","2","4","3"
"54","2","2","2","2","2","1","2","2","1","3","3","3","3","3","3","3","1","6","6","6","6","6"
"55","1","2","2","1","1","2","1","2","2","1","2","1","3","2","3","3","3","5","2","4","1","6"
"56","1","1","1","1","2","1","2","2","1","1","2","2","1","3","3","2","3","4","4","5","3","6"
"57","2","1","2","1","1","1","1","2","2","2","3","1","2","2","3","2","6","4","6","1","6","1"
"58","2","1","2","1","1","1","1","2","2","3","1","2","3","3","1","3","6","2","4","5","4","5"
"59","2","2","2","2","1","1","1","1","1","1","2","2","1","3","3","2","3","1","1","2","6","3"
"60","2","1","1","2","2","2","2","1","2","3","1","3","2","1","2","2","3","4","1","3","6","5"
"61","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"62","1","2","1","2","2","1","2","1","2","2","3","1","2","2","3","2","6","1","3","4","3","4"
"63","1","2","2","2","1","1","2","2","1","2","3","1","3","1","2","1","5","2","1","5","3","3"
"64","1","2","2","1","2","2","1","1","1","2","1","1","3","3","1","2","4","4","5","3","2","6"
"65","1","1","2","1","2","2","2","2","1","2","2","3","3","3","2","2","2","3","1","4","4","1"
"66","1","1","2","2","1","1","2","1","2","2","2","1","1","2","1","3","4","3","4","3","6","2"
"67","1","1","1","1","2","1","2","2","1","3","1","1","3","2","2","1","3","6","6","1","5","2"
"68","1","2","2","2","1","1","2","2","1","3","1","2","1","2","3","2","5","6","5","3","1","1"
"69","2","1","2","2","2","2","1","2","2","1","3","2","3","1","1","2","1","3","5","1","3","2"
"70","1","2","2","1","1","2","1","2","2","3","1","3","2","1","2","2","3","1","4","6","3","2"
"71","1","2","1","1","1","2","2","1","2","1","3","2","3","1","1","2","1","6","2","4","6","5"
"72","1","1","2","2","1","1","2","1","2","3","3","2","2","3","2","1","4","1","2","1","4","6"
