"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","1","1","2"
"2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","1"
"3","1","2","2","1","1","1","2","2","1","2","1","2","3","4","1","2","3"
"4","1","2","2","1","2","2","1","1","1","1","1","1","4","4","3","3","2"
"5","1","2","2","1","1","1","2","1","2","2","2","1","1","2","4","3","4"
"6","1","1","1","1","1","1","1","2","2","1","2","2","3","3","4","4","2"
"7","2","1","2","2","2","1","1","2","2","1","1","1","4","3","1","2","4"
"8","1","1","1","1","2","2","2","2","1","2","1","2","2","1","3","4","4"
"9","1","2","2","2","1","2","2","1","2","1","2","2","4","1","1","4","8"
"10","1","1","1","2","2","1","2","2","1","1","1","1","3","2","2","3","8"
"11","1","2","2","2","2","1","1","2","2","2","2","1","3","1","3","1","5"
"12","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","4","1"
"13","2","1","2","1","2","2","1","1","1","2","2","1","3","2","1","4","7"
"14","2","1","2","1","1","1","2","2","1","1","2","2","4","2","3","1","6"
"15","1","2","2","2","2","1","1","1","1","2","1","2","1","3","2","4","6"
"16","2","2","1","2","1","2","1","2","2","1","1","1","1","2","3","4","3"
"17","2","1","2","2","1","2","2","1","2","2","1","2","3","3","3","3","1"
"18","1","1","1","2","2","1","2","1","2","1","2","2","1","4","3","2","7"
"19","1","1","1","2","1","2","1","2","2","2","2","1","2","4","1","3","6"
"20","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"21","1","1","1","1","2","2","2","1","2","2","2","1","4","3","2","1","3"
"22","2","1","2","2","1","2","2","2","1","2","2","1","1","1","2","2","2"
"23","2","2","1","1","2","2","2","2","1","1","2","2","1","3","1","3","5"
"24","1","1","1","2","1","2","1","1","1","2","1","2","4","2","4","2","5"
"25","2","2","1","1","2","2","2","1","2","1","1","1","3","1","4","2","6"
"26","2","2","1","2","1","2","1","1","1","1","2","2","3","4","2","1","4"
"27","2","2","1","1","1","1","1","1","1","2","2","1","2","3","3","2","8"
"28","1","2","2","2","1","2","2","2","1","1","1","1","2","3","4","1","7"
"29","2","1","2","2","2","1","1","1","1","1","2","2","2","1","4","3","3"
"30","2","1","2","1","1","1","2","1","2","1","1","1","2","4","2","4","5"
"31","2","1","2","1","2","2","1","2","2","2","1","2","1","4","4","1","8"
"32","2","2","1","1","1","1","1","2","2","2","1","2","4","1","2","3","7"
