"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","2","1","4","2","1","1","3","2","3","4","4","1","10"
"2","1","2","1","2","1","2","3","1","4","3","2","1","4"
"3","2","1","3","1","4","4","4","1","4","2","2","1","6"
"4","2","1","3","1","1","3","3","1","2","4","1","4","8"
"5","2","2","1","4","2","3","3","2","2","2","3","1","1"
"6","1","2","1","2","3","3","4","4","2","4","4","2","8"
"7","2","1","2","4","4","2","2","4","3","1","4","1","8"
"8","1","1","1","1","1","4","2","2","3","2","3","3","3"
"9","2","1","1","3","4","4","2","3","2","1","1","4","10"
"10","2","2","4","1","1","1","4","4","2","2","1","3","9"
"11","2","2","3","2","1","3","4","3","3","2","4","4","5"
"12","1","2","3","4","3","4","3","2","1","1","1","2","2"
"13","2","1","1","3","1","4","3","4","3","4","2","3","2"
"14","2","1","1","3","3","1","1","3","4","2","3","2","8"
"15","2","1","2","4","1","1","1","4","1","3","3","4","6"
"16","1","1","2","2","3","4","2","1","3","2","1","4","9"
"17","2","2","3","2","4","1","1","4","4","4","1","3","1"
"18","2","1","4","2","3","4","2","4","4","3","1","1","4"
"19","1","2","1","2","4","2","4","3","1","2","1","3","10"
"20","2","2","3","2","2","4","1","4","2","2","3","2","7"
"21","1","1","1","1","2","3","2","4","1","3","1","2","5"
"22","1","1","2","2","4","3","3","1","1","4","3","3","7"
"23","1","1","4","4","4","4","4","4","4","4","4","4","1"
"24","1","1","4","4","4","1","3","3","2","3","2","2","3"
"25","2","1","1","3","2","2","2","3","2","4","4","3","6"
"26","2","2","4","1","2","4","3","4","4","1","3","3","5"
"27","2","1","4","2","2","4","4","2","1","3","2","3","8"
"28","1","1","4","4","3","2","3","1","4","2","4","3","5"
"29","1","1","1","1","3","4","4","2","2","3","4","4","7"
"30","1","2","3","4","2","4","2","1","3","4","3","1","10"
"31","1","1","1","1","1","1","1","1","1","1","1","1","1"
"32","2","2","2","3","1","4","4","1","1","1","4","2","1"
"33","2","2","4","1","3","2","1","1","2","4","3","4","3"
"34","1","2","2","1","2","1","2","3","4","4","4","3","2"
"35","2","1","4","2","3","3","3","2","3","1","1","2","6"
"36","1","1","2","2","1","4","1","3","2","4","2","1","5"
"37","2","2","2","3","3","3","2","2","4","4","3","1","9"
"38","2","1","1","3","2","1","3","1","1","2","4","4","4"
"39","2","2","1","4","4","4","1","1","3","3","4","2","9"
"40","2","1","3","1","2","2","4","1","4","3","3","2","10"
"41","1","2","2","1","4","2","3","4","3","2","4","2","6"
"42","2","2","1","4","4","2","3","2","4","4","1","4","7"
"43","1","1","1","1","4","3","1","2","4","1","2","3","9"
"44","2","2","4","1","1","3","2","3","1","1","4","1","7"
"45","2","1","4","2","4","1","2","1","2","1","3","2","2"
"46","1","1","2","2","2","2","2","2","2","2","2","2","1"
"47","1","2","1","2","3","1","4","3","4","1","3","1","6"
"48","2","1","2","4","2","3","4","3","4","3","1","4","2"
"49","1","2","2","1","3","1","3","4","2","1","2","4","10"
"50","1","1","3","3","3","3","3","3","3","3","3","3","1"
"51","2","2","1","4","3","1","2","1","1","4","2","2","5"
"52","1","2","1","2","1","2","1","4","3","3","3","4","2"
"53","2","2","2","3","4","2","1","2","2","3","1","1","5"
"54","2","1","2","4","3","3","1","4","1","2","2","3","10"
"55","2","2","3","2","4","1","2","2","1","3","4","3","3"
"56","1","2","4","3","4","3","2","4","1","2","3","4","4"
"57","2","1","2","4","1","2","4","2","2","1","3","3","4"
"58","1","1","2","2","2","3","1","1","4","1","4","4","3"
"59","1","1","4","4","2","1","1","3","3","2","1","1","7"
"60","2","1","3","1","4","3","1","3","3","4","2","2","4"
"61","1","2","4","3","2","4","1","2","1","4","2","4","6"
"62","2","2","2","3","1","4","3","3","4","2","1","2","3"
"63","1","2","3","4","1","3","2","1","2","3","1","3","6"
"64","1","2","2","1","4","4","3","3","1","3","3","1","8"
"65","1","1","3","3","3","2","4","4","1","4","1","1","3"
"66","2","1","3","1","3","2","1","2","1","2","4","1","2"
"67","1","1","3","3","4","1","4","2","3","1","3","4","5"
"68","2","2","4","1","3","2","2","3","3","3","2","4","1"
"69","1","1","3","3","2","1","3","4","2","3","4","1","9"
"70","1","1","3","3","1","2","2","4","4","1","2","2","7"
"71","2","2","2","3","3","1","4","1","3","3","2","3","7"
"72","1","2","2","1","2","1","4","2","3","4","1","2","4"
"73","1","2","3","4","1","1","2","2","4","2","2","4","8"
"74","1","1","4","4","1","2","4","3","1","4","3","2","9"
"75","1","2","4","3","1","3","1","2","4","3","4","2","10"
"76","2","2","3","2","2","2","3","3","1","1","2","4","9"
"77","1","2","4","3","4","3","4","1","2","2","2","1","2"
"78","1","2","3","4","3","4","1","3","2","1","4","3","4"
"79","1","2","4","3","2","2","1","1","3","1","1","3","8"
"80","2","2","1","4","2","3","4","4","3","1","2","1","3"
