"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","1","1","2","2","4","1","1","1","2","4","1","2","4","1","5","2","3","2"
"2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","8","8","8","8"
"3","2","1","2","1","2","4","2","3","4","1","1","4","1","2","3","6","3","2","2"
"4","2","2","2","2","2","2","1","4","4","2","1","1","3","3","3","3","6","4","4"
"5","2","1","1","1","1","4","1","3","2","3","2","4","3","1","1","8","4","4","3"
"6","1","1","1","2","1","2","2","2","1","4","3","2","3","2","4","8","6","6","2"
"7","1","2","2","1","2","2","3","1","3","3","1","2","4","3","1","8","2","2","5"
"8","1","2","1","1","1","4","1","1","1","3","3","3","1","3","4","1","3","8","4"
"9","1","1","1","1","2","4","3","4","2","3","4","2","1","4","3","2","6","1","7"
"10","2","1","2","1","2","1","3","4","1","4","3","2","4","1","2","5","3","4","1"
"11","1","1","1","2","1","4","3","2","1","2","2","3","4","1","3","3","8","2","6"
"12","2","1","1","2","2","3","1","2","4","1","3","2","4","4","3","1","4","5","5"
"13","2","2","2","2","2","1","1","3","1","1","2","2","1","3","1","7","8","6","7"
"14","2","1","2","2","1","4","2","1","3","4","3","1","4","3","3","7","1","1","3"
"15","2","1","1","2","2","2","4","1","1","4","1","4","1","3","2","2","4","7","6"
"16","2","2","2","1","1","3","4","1","2","2","1","2","3","1","2","1","8","1","2"
"17","1","2","1","2","2","4","1","3","2","2","1","2","4","2","4","4","1","7","1"
"18","2","2","1","2","1","3","3","3","3","1","4","3","4","3","4","2","5","4","2"
"19","1","2","1","1","1","2","4","1","1","1","2","2","2","4","3","6","1","4","8"
"20","1","1","2","1","1","4","4","4","4","1","3","2","3","3","1","4","5","3","6"
"21","2","1","1","1","1","1","4","4","3","2","4","2","2","2","4","7","4","2","4"
"22","2","2","1","2","1","4","3","4","2","2","3","4","2","3","2","6","7","6","5"
"23","2","2","2","1","1","4","4","2","3","1","2","1","1","1","4","5","6","7","5"
"24","1","1","1","2","1","3","3","1","4","1","1","4","2","1","1","7","6","8","1"
"25","2","2","1","2","1","2","2","4","2","4","2","1","1","4","1","1","5","2","1"
"26","1","1","2","2","2","3","4","1","2","3","2","4","4","2","3","5","5","6","4"
"27","1","2","2","2","1","2","3","3","4","2","3","3","1","2","1","5","4","1","8"
"28","1","1","1","1","2","1","2","3","3","2","2","4","4","3","2","1","6","3","8"
"29","2","2","2","1","1","2","1","2","3","3","3","4","2","2","3","2","8","3","1"
"30","2","1","2","1","2","3","2","4","1","2","2","3","3","2","1","2","1","8","5"
"31","2","1","2","2","1","1","3","2","2","1","1","3","1","4","2","8","1","3","4"
"32","1","1","2","1","1","2","1","4","4","3","2","3","4","4","2","7","7","7","2"
"33","1","2","2","1","2","3","2","2","2","2","3","4","1","4","4","7","2","4","6"
"34","2","2","1","1","2","1","2","1","4","2","3","3","2","1","3","8","5","7","7"
"35","1","1","2","2","2","4","4","2","3","4","1","3","2","2","1","1","7","4","7"
"36","2","1","2","2","1","3","2","2","2","3","4","2","2","3","1","3","3","7","8"
"37","2","1","1","2","2","1","4","2","4","3","2","3","3","3","4","6","2","1","1"
"38","2","1","2","1","2","2","3","3","4","3","4","1","2","1","4","1","1","6","6"
"39","1","1","2","2","2","2","1","2","3","2","4","2","1","1","2","6","5","8","3"
"40","2","2","2","1","1","1","1","1","2","4","4","3","4","2","1","6","6","5","6"
"41","1","1","1","1","2","2","2","4","2","1","1","3","2","3","4","5","8","5","3"
"42","2","1","2","2","1","2","3","1","3","2","2","4","3","4","4","4","3","5","7"
"43","1","2","2","2","1","3","2","4","1","3","1","1","4","1","4","6","4","3","7"
"44","1","2","1","2","2","1","4","4","3","3","3","4","1","1","1","3","1","5","2"
"45","2","1","1","1","1","3","1","4","3","4","1","3","1","1","3","4","2","6","8"
"46","2","2","1","1","2","2","2","2","1","1","4","4","4","1","1","4","7","1","4"
"47","2","2","2","2","2","3","4","3","1","3","3","3","2","4","2","4","6","2","3"
"48","1","2","1","1","1","1","4","2","4","2","1","1","4","4","1","2","3","6","3"
"49","1","1","1","1","2","3","3","3","3","4","3","1","3","4","1","6","8","7","4"
"50","1","2","2","1","2","1","3","2","2","4","2","1","2","3","3","4","4","8","2"
"51","1","2","2","1","2","4","2","1","3","1","4","3","3","4","2","3","4","6","1"
"52","1","2","1","1","1","3","1","2","4","4","4","4","3","3","2","5","1","2","7"
"53","1","1","2","1","1","1","1","3","1","4","1","4","2","4","4","3","5","1","5"
"54","1","1","1","2","1","1","2","1","4","3","4","1","1","2","2","4","8","4","5"
"55","1","2","2","2","1","4","2","3","4","4","2","2","2","1","2","2","2","5","4"
"56","1","1","2","1","1","3","4","3","1","2","4","1","1","3","3","8","7","5","1"
"57","1","2","2","2","1","1","3","4","1","1","4","4","3","2","3","1","2","7","3"
"58","2","2","1","1","2","3","3","1","4","4","2","2","1","2","4","3","7","3","3"
"59","1","2","1","2","2","3","1","4","3","1","2","1","2","2","2","8","3","1","6"
"60","1","1","2","2","2","1","1","1","2","1","3","1","3","1","4","2","7","2","8"
"61","2","2","1","1","2","4","3","2","1","3","1","1","3","2","2","7","5","5","8"
"62","2","1","1","1","1","2","4","3","2","1","3","1","4","2","2","3","2","8","7"
"63","2","2","1","2","1","1","2","3","3","3","1","2","3","4","3","5","7","8","6"
"64","1","2","1","2","2","2","4","3","2","4","4","3","3","1","3","7","3","3","5"
