"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","1","1","1","1","1","3","1","2","1","2","1","3","2","1","4","1","4","8","4","7"
"2","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","4","4","4","8","8","8"
"3","1","1","1","1","2","2","2","4","1","4","2","1","2","3","4","3","3","4","7","7","2"
"4","2","1","2","1","1","1","2","4","3","1","1","1","4","1","3","1","4","4","2","6","5"
"5","1","1","1","1","1","1","4","1","3","2","2","2","4","4","4","1","3","2","1","2","1"
"6","1","2","2","1","1","1","2","1","4","4","4","2","3","2","4","3","2","3","3","5","5"
"7","2","2","1","1","2","2","1","3","1","1","1","4","3","4","4","2","3","2","4","4","5"
"8","2","2","1","1","1","1","4","2","2","4","1","4","2","1","1","1","1","2","3","7","4"
"9","1","2","2","1","1","1","1","1","1","3","4","1","4","4","1","2","4","1","6","7","3"
"10","1","2","2","1","2","2","3","4","3","1","4","2","2","3","1","4","4","3","4","2","4"
"11","1","2","2","2","1","2","4","2","4","2","1","1","3","4","1","4","3","3","2","3","2"
"12","2","1","2","2","1","2","4","3","3","3","4","2","4","3","2","2","1","4","3","4","2"
"13","1","1","1","2","1","2","2","2","3","4","3","1","4","2","1","2","2","2","4","8","6"
"14","1","2","2","1","2","2","4","4","2","2","4","1","1","1","4","1","2","1","5","4","6"
"15","1","2","2","2","1","2","3","4","3","2","3","3","1","4","2","3","1","2","8","7","5"
"16","1","1","1","1","1","1","4","3","1","1","4","3","1","2","2","3","3","1","2","8","4"
"17","2","1","2","1","1","1","1","2","4","1","3","3","2","1","4","2","2","1","8","2","2"
"18","2","2","1","2","2","1","4","2","2","3","2","1","1","2","2","2","4","3","7","2","5"
"19","1","1","1","2","2","1","4","1","3","1","1","3","3","3","3","2","2","3","5","7","8"
"20","2","1","2","1","2","2","4","1","1","3","1","2","2","2","3","3","4","2","8","3","6"
"21","1","2","2","1","2","2","4","2","4","1","2","4","4","3","2","3","2","2","6","6","7"
"22","1","2","2","2","2","1","2","3","2","4","1","2","1","3","1","2","3","1","8","6","1"
"23","2","2","1","1","2","2","1","1","3","2","3","1","2","2","2","4","3","1","3","6","8"
"24","1","2","2","2","2","1","1","1","1","4","3","4","3","3","2","1","1","4","2","2","6"
"25","2","1","2","2","1","2","3","3","2","4","4","1","3","1","3","3","3","2","6","2","8"
"26","2","2","1","1","2","2","2","3","4","2","1","3","4","2","1","3","1","4","5","2","3"
"27","2","1","2","2","1","2","4","1","1","4","2","3","1","1","4","4","1","3","4","6","3"
"28","1","1","1","2","1","2","2","4","1","3","1","4","1","4","3","4","2","1","3","2","7"
"29","2","2","1","2","1","2","2","3","4","1","2","2","3","1","2","4","4","1","1","7","6"
"30","1","2","2","2","1","2","4","4","2","1","3","4","2","2","3","2","3","4","1","5","3"
