"","A","B","C","D","E","F","G","H","J","K","L","M","N","O"
"1","2","4","3","2","4","2","4","2","3","2","1","3","3","6"
"2","1","3","4","1","4","2","4","2","2","3","4","2","3","7"
"3","2","2","2","1","1","1","4","4","4","3","3","3","1","3"
"4","2","3","4","3","1","4","1","2","4","1","3","2","4","7"
"5","4","4","4","4","4","4","4","4","4","4","4","4","1","1"
"6","3","2","1","4","1","2","1","4","3","2","3","4","4","5"
"7","4","1","3","1","3","2","1","4","2","4","2","3","4","2"
"8","3","4","1","1","3","4","4","3","3","3","2","1","2","1"
"9","3","3","3","1","1","1","2","2","2","4","4","4","1","6"
"10","4","1","3","1","1","4","3","2","3","1","3","2","4","4"
"11","4","3","2","2","1","2","2","1","3","3","2","1","2","4"
"12","4","3","1","2","3","4","1","3","2","2","4","1","2","7"
"13","3","2","4","2","3","2","1","4","3","1","3","2","4","1"
"14","3","2","1","2","4","1","4","3","1","4","2","3","4","7"
"15","4","2","1","4","4","2","4","2","4","1","2","4","3","4"
"16","2","1","4","4","1","2","2","1","4","4","1","2","2","2"
"17","4","3","1","3","4","2","2","1","3","4","1","2","2","6"
"18","2","3","1","3","3","2","1","4","1","3","1","4","4","4"
"19","4","4","4","3","4","4","1","1","4","3","3","3","1","2"
"20","1","2","4","2","1","3","3","4","2","1","4","3","2","6"
"21","4","2","1","4","2","4","2","4","1","4","3","1","3","6"
"22","3","4","1","1","1","2","2","1","2","2","3","4","2","3"
"23","2","4","1","3","2","1","3","4","2","4","3","1","3","3"
"24","3","1","2","3","2","4","2","4","4","1","2","4","3","7"
"25","4","2","1","4","3","1","3","1","2","3","4","2","3","5"
"26","2","2","2","1","3","3","2","2","1","2","2","2","1","5"
"27","1","3","2","1","2","4","1","4","3","4","2","3","3","1"
"28","3","4","1","1","4","3","3","4","1","1","4","3","2","2"
"29","4","4","4","2","2","2","1","1","1","3","3","3","1","6"
"30","3","1","4","3","4","2","3","2","1","2","4","1","3","1"
"31","2","3","1","3","1","4","3","2","4","2","4","1","4","2"
"32","3","4","2","1","4","3","2","4","1","1","3","2","2","7"
"33","2","1","3","1","2","4","4","3","1","2","3","4","2","6"
"34","3","1","2","3","3","1","3","1","3","2","1","3","3","4"
"35","1","2","3","3","2","1","1","2","3","3","2","1","2","2"
"36","2","3","4","4","3","1","2","4","1","2","1","3","4","6"
"37","1","3","2","2","4","1","3","1","4","2","3","4","3","2"
"38","2","2","2","1","2","2","3","3","2","1","1","1","1","2"
"39","2","4","3","2","1","3","1","3","4","1","2","4","3","5"
"40","1","4","2","4","3","2","1","4","4","2","4","1","4","3"
"41","1","1","1","3","3","3","4","4","4","2","2","2","1","6"
"42","3","2","4","2","2","3","4","1","4","2","4","1","4","4"
"43","4","3","2","2","4","3","3","4","4","4","1","2","2","1"
"44","2","1","4","4","2","1","1","2","2","2","3","4","2","1"
"45","1","4","3","4","2","3","2","1","3","2","4","1","4","7"
"46","2","4","3","2","2","4","2","4","2","3","4","2","3","4"
"47","4","4","4","3","2","2","3","3","1","2","2","2","1","4"
"48","2","1","3","2","4","1","1","4","3","3","4","2","2","5"
"49","1","4","2","4","1","4","3","2","1","3","1","4","4","1"
"50","3","4","2","4","3","1","1","2","4","3","2","1","2","6"
"51","4","2","3","1","4","3","1","2","4","2","1","3","3","3"
"52","1","2","3","3","1","2","2","1","1","1","4","3","2","1"
"53","2","3","1","3","4","1","2","3","3","1","3","2","4","3"
"54","1","1","1","2","3","3","2","2","4","3","3","3","1","4"
"55","3","1","4","4","2","3","1","3","2","4","1","2","3","2"
"56","1","2","4","3","2","1","4","2","3","3","1","4","2","7"
"57","2","4","1","2","1","3","2","3","4","3","1","4","3","1"
"58","3","1","2","3","4","2","4","2","1","4","3","1","3","5"
"59","3","1","4","2","3","4","2","1","3","1","2","4","3","3"
"60","1","4","3","2","3","4","3","2","1","4","1","2","4","5"
"61","4","3","1","4","2","3","3","2","1","1","2","4","2","5"
"62","1","1","1","2","1","1","4","4","1","2","2","2","1","2"
"63","3","2","4","2","1","4","3","2","2","4","2","3","4","3"
"64","4","2","1","4","1","3","1","3","3","2","1","3","3","7"
"65","1","2","3","3","4","3","3","4","2","2","3","4","2","4"
"66","1","3","2","4","1","2","4","3","1","3","4","2","3","3"
"67","3","3","3","4","2","2","3","3","4","3","3","3","1","5"
"68","2","2","2","4","4","4","3","3","3","1","1","1","1","6"
"69","2","3","4","1","4","3","4","1","2","3","2","1","4","5"
"70","1","3","4","1","2","4","2","4","3","2","1","3","3","5"
"71","3","3","3","4","3","3","2","2","3","4","4","4","1","2"
"72","1","4","3","3","4","2","1","3","2","1","2","4","4","6"
"73","2","4","1","1","3","2","4","2","3","1","4","3","3","2"
"74","1","2","4","1","3","2","2","3","4","4","3","1","2","5"
"75","2","3","1","3","2","3","4","1","2","4","2","3","4","1"
"76","2","4","3","2","3","1","3","1","1","4","3","1","3","7"
"77","4","1","2","2","1","3","4","2","3","4","3","1","4","6"
"78","4","4","4","3","1","1","4","4","3","4","4","4","1","5"
"79","1","1","1","2","2","2","3","3","3","4","4","4","1","3"
"80","3","2","4","2","4","1","2","3","1","3","1","4","4","2"
"81","2","2","2","3","3","3","1","1","1","4","4","4","1","7"
"82","1","2","3","3","3","4","4","3","4","4","1","2","2","3"
"83","2","1","4","4","3","4","4","3","1","1","4","3","2","4"
"84","4","1","3","1","4","1","2","3","4","2","4","1","4","1"
"85","2","1","3","4","1","2","3","1","4","4","2","3","2","7"
"86","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"87","1","3","4","1","1","3","1","3","1","4","3","1","3","4"
"88","3","4","2","3","1","4","4","1","2","2","1","3","2","5"
"89","2","2","2","1","4","4","1","1","3","4","4","4","1","4"
"90","4","3","2","2","3","4","4","3","2","2","3","4","2","2"
"91","2","1","4","4","4","3","3","4","3","3","2","1","2","3"
"92","4","1","3","1","2","3","4","1","1","3","1","4","4","3"
"93","4","2","3","3","1","4","2","4","1","3","2","1","3","2"
"94","3","1","2","3","1","3","1","3","2","3","4","2","3","6"
"95","3","3","3","4","1","1","4","4","2","1","1","1","1","4"
"96","4","4","4","1","1","1","3","3","3","2","2","2","1","7"
"97","3","2","1","1","2","4","3","1","4","3","4","2","4","6"
"98","4","2","3","4","3","1","4","1","2","1","3","2","3","1"
"99","3","3","3","4","4","4","1","1","1","2","2","2","1","3"
"100","1","4","2","4","4","1","2","3","2","4","2","3","4","4"
"101","1","3","4","1","3","1","3","1","4","1","2","4","3","6"
"102","4","3","2","2","2","1","1","2","1","1","4","3","2","3"
"103","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"104","4","1","2","1","3","2","3","4","2","3","1","4","4","7"
"105","3","3","3","2","2","2","4","4","4","1","1","1","1","7"
"106","4","1","2","3","2","1","2","3","4","1","4","3","4","5"
"107","4","4","4","3","3","3","2","2","2","1","1","1","1","3"
"108","1","4","2","4","2","3","4","1","3","1","3","2","4","2"
"109","3","3","3","3","3","3","3","3","3","3","3","3","1","1"
"110","1","1","1","2","4","4","1","1","2","1","1","1","1","5"
"111","1","1","1","4","4","4","2","2","2","3","3","3","1","7"
"112","3","4","1","1","2","1","1","2","4","4","1","2","2","4"
