"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","4","3"
"2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","5","6"
"3","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","7","12"
"4","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","4","13"
"5","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","6"
"6","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","3","11"
"7","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","9","3"
"8","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","8","13"
"9","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","9","11"
"10","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1"
"11","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","10","6"
"12","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","4","7"
"13","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","2","2"
"14","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","6","8"
"15","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","3","13"
"16","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","6","11"
"17","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","7","2"
"18","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","5","11"
"19","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","10","10"
"20","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","13"
"21","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","13"
"22","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","12"
