"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","3","3","2","2","1","4","2","2","3","6","5","2","6","2","1"
"2","2","1","2","1","4","6","5","6","2","1","1","6","6","1","4"
"3","2","2","3","3","3","3","5","3","3","5","6","6","2","1","1"
"4","2","3","3","2","3","5","3","2","2","4","3","5","3","5","3"
"5","2","2","1","1","5","2","6","2","3","6","3","6","4","6","5"
"6","2","2","3","3","1","2","5","6","3","3","6","3","3","2","2"
"7","1","3","1","3","4","5","2","4","2","3","4","2","3","6","1"
"8","1","2","2","1","4","1","1","5","3","2","5","6","3","4","2"
"9","3","1","3","1","5","3","2","5","6","3","3","1","6","6","2"
"10","3","2","2","3","3","2","2","3","2","2","6","2","1","5","4"
"11","3","2","3","2","4","5","2","6","4","5","6","4","5","4","5"
"12","1","1","3","3","6","5","6","4","3","4","2","1","2","3","4"
"13","2","2","3","3","5","5","1","5","5","1","4","4","6","1","1"
"14","1","2","2","1","6","3","3","1","5","4","3","4","1","4","2"
"15","3","3","2","2","4","3","4","4","3","4","6","5","6","1","2"
"16","1","3","1","3","2","3","6","2","6","1","6","4","5","6","1"
"17","2","3","2","3","2","2","4","3","5","3","1","1","3","3","5"
"18","1","2","1","2","3","1","6","1","2","5","3","1","6","2","4"
"19","1","3","3","1","1","6","6","5","4","4","6","2","1","1","6"
"20","2","1","1","2","3","2","2","5","4","4","2","4","3","3","2"
"21","3","3","1","1","5","5","1","3","3","5","2","2","4","3","3"
"22","3","1","1","3","1","3","1","4","4","6","3","5","3","1","5"
"23","1","2","1","2","2","2","4","5","1","5","3","3","5","1","3"
"24","1","3","1","3","4","6","5","2","4","3","3","2","2","5","2"
"25","3","1","3","1","3","1","6","3","4","1","5","3","2","6","2"
"26","3","3","1","1","3","4","1","6","3","3","2","5","5","4","4"
"27","1","3","3","1","5","4","4","3","2","2","2","4","3","1","6"
"28","2","2","1","1","1","4","2","4","5","2","1","4","2","6","5"
"29","3","3","1","1","5","6","3","2","5","5","6","3","3","4","4"
"30","1","1","3","3","1","4","2","6","1","4","3","6","4","4","3"
"31","2","2","1","1","3","6","4","6","1","4","5","2","6","6","5"
"32","2","3","2","3","5","3","2","1","2","5","5","3","2","4","6"
"33","3","2","2","3","1","6","6","1","6","6","2","4","3","5","4"
"34","2","3","3","2","5","1","5","4","4","6","1","3","1","5","3"
"35","1","2","1","2","1","5","4","5","6","3","5","3","2","2","4"
"36","1","3","1","3","2","4","3","6","2","1","5","4","4","5","2"
"37","3","3","2","2","2","1","2","2","1","2","2","1","2","1","2"
"38","3","2","2","3","5","4","4","5","4","4","4","6","5","5","4"
"39","2","1","2","1","2","3","6","6","4","5","4","2","3","2","3"
"40","3","2","2","3","4","2","3","1","4","2","6","1","4","6","3"
"41","2","1","1","2","1","6","6","3","2","2","4","6","5","3","2"
"42","1","2","1","2","6","6","2","3","5","3","5","5","1","1","3"
"43","1","1","3","3","5","2","6","4","5","2","5","2","6","4","3"
"44","2","2","3","3","5","6","3","4","1","1","2","5","5","2","2"
"45","3","1","3","1","6","6","2","5","1","5","1","1","3","5","1"
"46","1","3","1","3","6","2","1","4","6","5","1","6","6","5","2"
"47","2","1","1","2","4","2","3","3","6","4","2","3","6","4","1"
"48","1","3","1","3","6","1","4","6","4","5","2","6","1","6","1"
"49","2","1","1","2","2","6","1","1","4","2","4","5","2","4","1"
"50","1","2","2","1","5","1","5","6","6","2","3","5","3","3","1"
"51","3","3","1","1","1","1","3","5","5","1","6","6","2","3","3"
"52","3","2","2","3","6","4","5","3","6","4","4","5","2","6","3"
"53","2","1","2","1","4","5","2","2","6","1","2","6","1","2","3"
"54","2","2","1","1","2","1","2","4","3","4","4","3","4","5","6"
"55","2","2","1","1","6","5","6","2","1","2","6","5","6","5","6"
"56","2","1","1","2","5","4","4","1","6","6","6","2","1","3","2"
"57","1","1","2","2","3","3","5","5","5","1","2","2","4","5","5"
"58","3","3","1","1","3","3","5","1","1","3","4","4","6","3","3"
"59","1","1","2","2","5","6","3","6","3","3","4","1","1","6","6"
"60","1","2","2","1","2","5","5","3","1","6","1","2","5","4","2"
"61","2","2","1","1","4","3","4","6","5","6","2","1","2","5","6"
"62","1","2","1","2","5","3","2","3","4","1","1","5","4","2","4"
"63","3","1","1","3","5","1","5","2","2","4","5","1","5","1","5"
"64","3","1","3","1","2","2","4","1","3","1","5","5","1","5","1"
"65","2","1","2","1","6","2","1","2","4","3","5","4","4","1","4"
"66","2","3","3","2","6","3","3","5","3","2","1","2","5","6","4"
"67","1","3","3","1","6","4","5","1","4","2","2","3","6","2","5"
"68","3","2","3","2","6","1","4","2","6","1","4","2","3","4","5"
"69","1","1","3","3","3","6","4","2","3","6","1","4","2","4","3"
"70","3","3","2","2","5","2","6","6","1","4","1","4","2","2","1"
"71","2","3","2","3","4","4","6","5","1","5","5","5","1","3","5"
"72","2","2","3","3","3","4","1","2","5","5","4","1","1","2","2"
"73","1","1","2","2","5","5","1","1","1","3","6","6","2","5","5"
"74","2","3","3","2","4","1","1","3","1","6","3","4","1","6","4"
"75","3","2","3","2","4","6","5","4","6","5","5","4","4","3","6"
"76","3","1","1","3","4","1","1","1","5","4","1","2","5","2","6"
"77","2","1","2","1","6","1","4","4","2","3","6","4","5","2","3"
"78","3","3","2","2","3","6","4","4","5","2","3","6","4","2","1"
"79","3","3","2","2","6","5","6","6","5","6","4","3","4","1","2"
"80","3","1","3","1","1","5","4","1","2","5","1","5","4","6","2"
"81","3","2","3","2","2","3","6","4","2","3","2","6","1","4","5"
