"","A","B","C"
"1","1","1","35"
"2","1","1","33"
"3","2","1","38"
"4","1","2","12"
"5","1","2","22"
"6","2","2","35"
"7","2","1","24"
"8","1","2","46"
"9","2","2","41"
"10","2","2","19"
"11","1","1","43"
"12","1","2","32"
"13","1","2","14"
"14","1","1","7"
"15","2","1","4"
"16","2","2","7"
"17","2","2","15"
"18","2","1","30"
"19","1","1","31"
"20","2","2","1"
"21","2","1","28"
"22","2","2","13"
"23","2","1","2"
"24","1","1","37"
"25","1","2","34"
"26","2","2","45"
"27","2","1","6"
"28","1","1","9"
"29","1","2","16"
"30","1","2","44"
"31","1","1","13"
"32","2","1","40"
"33","2","1","12"
"34","1","1","21"
"35","1","2","4"
"36","1","1","19"
"37","2","1","26"
"38","1","1","23"
"39","2","1","16"
"40","1","1","1"
"41","2","2","27"
"42","1","1","29"
"43","1","1","25"
"44","2","2","17"
"45","1","1","15"
"46","1","1","39"
"47","2","2","25"
"48","1","2","40"
"49","2","2","23"
"50","2","2","29"
"51","2","2","9"
"52","2","1","14"
"53","1","2","10"
"54","2","2","31"
"55","1","1","5"
"56","2","2","21"
"57","1","2","20"
"58","2","1","22"
"59","2","2","5"
"60","1","2","30"
"61","2","1","46"
"62","2","2","3"
"63","2","2","33"
"64","1","1","45"
"65","2","1","18"
"66","2","1","8"
"67","1","2","6"
"68","1","1","3"
"69","1","1","11"
"70","2","2","39"
"71","1","2","2"
"72","1","2","36"
"73","1","1","41"
"74","2","1","34"
"75","2","1","36"
"76","1","2","26"
"77","2","2","43"
"78","2","1","10"
"79","1","1","27"
"80","1","2","24"
"81","1","2","38"
"82","1","2","28"
"83","2","1","44"
"84","2","1","42"
"85","2","2","11"
"86","2","1","20"
"87","1","1","17"
"88","1","2","42"
"89","1","2","18"
"90","1","2","8"
"91","2","1","32"
"92","2","2","37"
