"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"77","2","1","1","2","1","2","2","1","2","2","2","1","2","1","2","2"
"78","2","1","2","2","2","1","2","2","1","1","1","2","2","2","1","8"
"79","1","2","2","2","1","1","1","2","2","1","1","2","2","2","2","5"
"80","1","2","2","2","2","2","1","2","2","2","1","2","1","1","1","8"
"81","2","1","1","2","2","2","2","2","2","1","2","2","1","1","1","6"
"82","2","2","2","1","2","1","1","2","2","1","2","2","2","1","1","7"
"83","2","2","2","2","1","2","2","1","1","1","1","1","2","2","2","4"
"84","1","1","2","1","2","2","1","1","2","1","2","1","1","1","1","2"
"85","2","1","1","1","1","1","1","1","2","1","2","2","1","1","2","5"
"86","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","1"
"87","1","1","1","1","1","2","2","2","1","1","2","1","1","1","2","4"
"88","2","2","1","2","1","2","1","1","2","2","1","2","1","2","2","6"
"89","1","1","1","1","1","2","1","1","2","1","1","1","2","2","2","3"
"90","2","2","1","1","1","1","1","2","2","2","2","1","2","2","2","4"
"91","1","2","1","1","1","2","2","1","1","2","2","2","2","2","2","5"
"92","1","2","1","2","1","2","2","1","2","1","1","1","1","1","1","5"
"93","2","1","2","1","2","1","1","1","1","2","1","2","1","1","1","6"
"94","1","1","1","2","1","2","1","1","1","2","2","2","1","1","1","3"
"95","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"96","1","1","2","1","1","2","1","2","2","2","2","2","2","1","2","6"
"97","2","1","2","1","2","1","2","2","2","2","2","1","1","1","2","8"
"98","2","2","1","2","1","2","2","2","1","2","2","1","1","2","1","8"
"99","1","2","2","2","1","2","1","1","2","2","2","1","2","2","1","7"
"100","1","2","2","2","2","1","2","2","2","1","2","1","1","2","1","4"
"101","1","1","2","2","2","1","1","2","1","1","2","2","1","1","2","1"
"102","2","2","1","1","1","2","2","2","2","1","1","2","2","1","2","8"
"103","2","1","1","2","1","2","1","2","1","1","2","2","2","2","2","7"
"104","1","1","1","1","2","2","1","2","1","1","1","2","2","1","1","5"
"105","1","1","1","1","2","1","1","1","1","2","2","1","2","1","2","7"
"106","2","2","2","1","1","2","1","2","1","2","1","2","2","2","1","3"
"107","1","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1"
"108","2","1","1","2","1","1","2","2","2","1","1","1","1","2","2","1"
"109","1","1","1","2","2","1","1","1","2","1","1","2","1","2","1","7"
"110","1","1","1","1","1","1","2","1","2","2","2","1","1","2","1","6"
"111","2","1","2","1","1","1","2","1","2","2","1","2","2","2","2","7"
"112","2","2","2","1","2","1","2","1","1","2","2","1","2","2","1","2"
"113","2","2","1","1","2","2","2","1","2","1","2","1","1","2","2","7"
"114","2","1","1","1","1","2","1","2","2","2","1","1","1","1","1","7"
"115","1","2","2","2","2","1","1","1","1","1","1","1","2","1","1","3"
"116","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","8"
"117","1","1","2","2","2","2","2","2","2","1","1","1","2","1","2","7"
"118","1","1","1","2","2","2","1","2","2","2","2","1","1","2","2","5"
"119","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","1"
"120","2","1","2","2","2","2","1","2","1","2","2","1","2","1","1","4"
"121","1","1","2","2","2","2","1","1","1","2","1","2","2","2","2","2"
"122","2","2","1","2","2","1","1","1","2","2","2","1","1","1","1","1"
"123","2","2","2","2","1","1","1","1","1","2","2","2","2","1","2","8"
"124","1","1","2","2","1","1","1","1","2","2","1","1","1","1","2","4"
"125","1","1","2","1","1","1","1","1","1","1","2","2","2","2","1","4"
"126","1","2","1","2","2","2","1","1","2","1","2","2","2","1","2","4"
"127","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","5"
"128","2","1","2","1","1","2","2","2","2","1","2","1","2","2","1","5"
