"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","5","4","3","2","1","2","3","4","2","5","3","1","5","2","4","1","1","5","4","3","17"
"2","4","2","5","3","3","1","4","2","2","5","3","1","1","4","2","5","3","4","5","1","16"
"3","2","3","4","5","3","1","4","2","3","2","1","5","5","2","4","1","5","3","1","4","6"
"4","4","4","4","4","5","5","5","5","1","1","1","1","2","2","2","2","3","3","3","3","2"
"5","2","5","3","1","1","4","2","5","5","3","1","4","4","2","5","3","1","2","3","4","16"
"6","4","2","5","3","4","3","2","1","5","1","2","3","5","2","4","1","4","1","3","5","13"
"7","4","1","3","5","4","2","5","3","1","2","3","4","3","2","1","5","2","1","5","4","9"
"8","1","5","4","3","3","5","2","4","1","2","3","4","2","5","3","1","1","4","2","5","18"
"9","2","4","1","3","1","3","5","2","5","2","4","1","4","1","3","5","2","3","4","5","12"
"10","3","1","4","2","3","2","1","5","4","5","1","2","4","1","3","5","3","5","2","4","13"
"11","4","2","5","3","1","2","3","4","1","3","5","2","2","1","5","4","5","3","1","4","14"
"12","3","4","5","1","4","2","5","3","4","3","2","1","1","3","5","2","1","4","2","5","6"
"13","4","5","1","2","1","5","4","3","3","5","2","4","3","1","4","2","3","2","1","5","7"
"14","2","4","1","3","3","2","1","5","1","4","2","5","3","4","5","1","4","2","5","3","10"
"15","1","2","3","4","1","3","5","2","1","4","2","5","1","5","4","3","3","5","2","4","5"
"16","5","5","5","5","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","2"
"17","5","5","5","5","2","2","2","2","4","4","4","4","1","1","1","1","3","3","3","3","3"
"18","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"19","3","1","4","2","5","1","2","3","5","2","4","1","1","5","4","3","4","2","5","3","14"
"20","2","5","3","1","2","1","5","4","3","4","5","1","3","5","2","4","2","4","1","3","13"
"21","3","3","3","3","1","1","1","1","4","4","4","4","2","2","2","2","5","5","5","5","4"
"22","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","2"
"23","2","3","4","5","2","4","1","3","2","5","3","1","2","1","5","4","4","1","3","5","5"
"24","2","3","4","5","4","3","2","1","1","3","5","2","1","4","2","5","1","5","4","3","7"
"25","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","8"
"26","3","2","1","5","5","2","4","1","3","4","5","1","4","2","5","3","3","1","4","2","18"
"27","5","3","1","4","3","5","2","4","4","3","2","1","5","1","2","3","2","1","5","4","15"
