,A,B,C
1,1,1,8
2,1,2,1
3,1,3,3
4,1,4,2
5,1,5,7
6,1,1,5
7,1,2,3
8,1,3,3
9,1,4,9
10,1,5,6
11,1,1,5
12,1,2,6
13,1,3,4
14,1,4,3
15,1,5,1
16,1,1,4
17,1,2,5
18,1,3,6
19,1,4,7
20,1,5,7
21,1,1,3
22,1,2,9
23,1,3,1
24,1,4,8
25,1,5,2
26,1,1,1
27,1,2,8
28,1,3,6
29,1,4,8
30,1,5,9
31,1,1,7
32,1,2,4
33,1,3,9
34,1,4,5
35,1,5,6
36,1,1,9
37,1,2,8
38,1,3,5
39,1,4,2
40,1,5,4
41,1,1,4
42,1,2,1
43,1,3,2
44,1,4,7
45,1,5,2
46,2,1,9
47,2,2,9
48,2,3,8
49,2,4,1
50,2,5,4
51,2,1,2
52,2,2,7
53,2,3,7
54,2,4,6
55,2,5,3
56,2,1,3
57,2,2,5
58,2,3,9
59,2,4,4
60,2,5,3
61,2,1,2
62,2,2,2
63,2,3,4
64,2,4,9
65,2,5,8
66,2,1,1
67,2,2,7
68,2,3,8
69,2,4,1
70,2,5,5
71,2,1,6
72,2,2,2
73,2,3,2
74,2,4,6
75,2,5,8
76,2,1,6
77,2,2,4
78,2,3,5
79,2,4,4
80,2,5,5
81,2,1,7
82,2,2,3
83,2,3,7
84,2,4,5
85,2,5,9
86,2,1,8
87,2,2,6
88,2,3,1
89,2,4,3
90,2,5,1
