"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"32","1","2","1","2","1","2","2","2","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","1"
"33","2","1","1","1","2","1","2","2","1","2","2","1","2","1","1","1","3","1","2","3","1","2","3","1","2","3","1","2","1","2","3","1","2","3","1","2","3","1","2","3","2","3","1","2","3","1","2","3","1","2","3","1","3","1","2","2"
"34","1","2","1","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","2","2","3","3","1","1","3","3","1","1","3","3","3","3","1","1","2","2","1","1","2","2","1","1","1","1","2","2","3","3","2","2","3","3","2","3","1","2"
"35","2","1","1","2","1","1","2","2","2","1","1","2","2","2","1","2","3","2","1","2","1","2","1","3","1","3","2","3","1","3","2","3","2","3","2","1","2","1","3","1","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","3"
"36","1","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","3","2","1","3"
"37","1","2","2","1","2","2","1","2","2","2","1","1","2","2","1","2","3","3","1","1","2","2","2","2","3","3","1","1","1","1","2","2","3","3","3","3","1","1","2","2","2","2","3","3","1","1","1","1","2","2","3","3","2","3","1","2"
"38","2","1","2","2","1","1","1","1","1","1","1","1","2","1","2","2","3","3","3","3","1","1","2","2","1","1","2","2","2","2","2","2","3","3","1","1","3","3","1","1","1","1","1","1","2","2","3","3","2","2","3","3","3","2","1","3"
"39","2","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","3","2","2","1","3","1","2","3","2","1","1","3","2","1","1","3","2","3","1","2","1","3","3","2","1","3","3","2","1","2","3","1","3","2","2","1","1","2","3","2"
"40","2","1","1","2","1","1","2","2","2","1","1","2","2","2","1","2","1","3","2","3","2","3","2","1","2","1","3","1","2","1","3","1","3","1","3","2","3","2","1","2","3","2","1","2","1","2","1","3","1","3","2","3","2","1","3","3"
"41","1","1","2","1","1","2","2","2","2","1","2","2","2","1","1","2","2","3","2","1","2","1","3","1","1","3","2","3","2","3","2","1","2","1","3","1","1","3","2","3","2","3","2","1","2","1","3","1","1","3","2","3","2","2","2","1"
"42","1","2","1","2","1","2","2","2","1","1","2","1","1","1","1","2","3","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","1"
"43","2","1","2","1","1","1","2","1","1","1","2","2","1","1","2","1","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","2"
"44","1","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1"
"45","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","2","2","3","3","2","2","3","3","1","1","1","1","1","1","1","1"
"46","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","2","3","2","1","1","2","1","3","3","1","3","2","3","1","3","2","2","3","2","1","1","2","1","3","1","2","1","3","3","1","3","2","2","3","2","1","3","1","2","2"
"47","1","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","2","2","2","1"
"48","1","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","2","1","3"
"49","1","1","2","2","2","2","2","2","1","1","1","2","2","2","2","1","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","1","3","2","3"
"50","1","1","1","2","1","1","1","2","2","2","2","1","1","2","2","1","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","1","1","1","1"
"51","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","2","2","3","1","2","1","3","3","2","2","1","1","3","3","1","2","3","2","1","1","3","3","2","2","1","1","2","3","1","3","2","2","1","1","3","3","2","3","1","2","2"
"52","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","1","2","1","3","3","1","3","2","2","3","2","1","2","3","2","1","1","2","1","3","3","1","3","2","3","1","3","2","2","3","2","1","1","2","1","3","3","1","2","2"
"53","2","2","1","1","2","2","2","2","2","2","1","2","1","2","1","1","3","1","3","2","2","3","2","1","1","2","1","3","2","3","2","1","1","2","1","3","3","1","3","2","1","2","1","3","3","1","3","2","2","3","2","1","3","2","1","3"
"54","1","2","1","1","2","1","2","1","2","1","1","2","1","1","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","3","3","3","1"
"55","1","2","1","1","2","1","1","2","1","1","1","1","2","1","2","2","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","2","1","3","3"
"56","2","1","2","1","1","1","1","2","2","2","1","2","2","2","2","1","2","1","1","3","3","2","2","1","3","1","2","3","3","2","2","1","1","3","3","2","1","2","3","1","1","3","3","2","2","1","1","3","2","3","1","2","3","3","3","1"
"57","1","2","1","1","2","1","1","2","1","1","1","1","2","1","2","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","2","1","3","3"
"58","1","2","1","2","1","2","2","2","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"59","1","2","2","2","1","1","1","1","2","2","1","2","1","1","1","2","3","1","3","2","3","2","1","2","2","1","3","1","1","2","1","3","1","3","2","3","3","2","1","2","2","3","2","1","2","1","3","1","1","3","2","3","3","1","2","2"
"60","1","1","2","1","2","1","2","1","2","1","2","1","1","2","1","2","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","1","2","1","3","3","1","3","2","2","3","2","1","3","2","1","3"
"61","2","1","1","1","2","2","1","2","1","1","2","2","1","2","2","2","1","2","3","1","3","2","2","1","1","3","3","2","2","3","1","2","1","3","3","2","2","1","1","3","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","2"
"62","1","1","1","2","2","2","2","1","2","2","2","2","2","1","2","2","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","3","3","1","1","2","2","2","2","3","3","1","1","1","2","3","2"
"63","1","2","1","2","1","2","1","2","1","2","2","2","2","1","2","1","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","2","1","1","3","3","2","2","1","3","1","2","3","3","2","1","3"
"64","1","1","1","1","1","1","2","1","1","2","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","3","2"
"65","1","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","2","3","1","2","1","3","3","2","2","1","1","3","2","3","1","2","1","3","3","2","2","1","1","3","2","3","1","2","1","3","3","2","2","1","1","3","2","2","2","1"
"66","1","1","2","2","2","1","1","2","1","2","1","2","1","1","1","1","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1","1","3","3","2","2","2","2","1"
"67","1","2","2","1","1","1","2","2","1","2","2","1","1","2","2","2","2","2","3","3","2","2","3","3","1","1","1","1","3","3","1","1","3","3","1","1","2","2","2","2","1","1","2","2","1","1","2","2","3","3","3","3","1","3","2","3"
"68","2","1","1","2","1","2","2","2","2","2","1","1","1","1","2","2","2","1","3","1","1","3","2","3","2","3","2","1","3","2","1","2","2","1","3","1","3","1","3","2","1","3","2","3","3","2","1","2","1","2","1","3","2","3","1","2"
"69","2","2","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","3","3","2","2","1","1","3","2","3","1","2","3","2","2","1","1","3","3","2","1","2","3","1","2","1","1","3","3","2","2","1","3","1","2","3","1","1","1","1"
"70","1","1","2","1","1","2","2","2","2","1","2","2","2","1","1","2","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","2","1","3","1","2","2","2","1"
"71","1","1","2","1","2","2","1","1","2","2","2","1","1","1","2","1","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","2","1","3","3"
"72","2","1","1","2","1","1","2","2","2","1","1","2","2","2","1","2","2","1","3","1","3","1","3","2","3","2","1","2","3","2","1","2","1","2","1","3","1","3","2","3","1","3","2","3","2","3","2","1","2","1","3","1","2","1","3","3"
"73","1","1","2","1","2","2","1","1","2","2","2","1","1","1","2","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","3","1","2","1","3","3"
"74","1","1","2","1","1","2","2","2","2","1","2","2","2","1","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","1","2","1","3","1","3","2","3","3","2","1","2","2","2","2","1"
