"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"35","2","2","1","1","1","2","2","2","2","2","1","2","1","1","1","1","2","2","2","1","2","1","1","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"36","2","2","1","2","1","2","2","2","1","2","1","1","2","2","1","1","1","1","1","1","2","2","2","2","2","1","1","1","2","2","2","2","1","1","2","2","1","2","1","1","1","2","2","2","1","1","1","2","2","3","3","1","1","1","1","2","2","3","3"
"37","2","2","1","1","2","2","1","2","2","1","1","2","2","1","1","2","1","1","2","2","1","1","2","2","1","1","2","1","1","2","2","1","1","2","2","1","2","1","1","1","2","2","2","1","2","2","1","2","2","3","3","2","2","3","3","1","1","1","1"
"38","1","1","2","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","1","1","1","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","3","1","2","3","1","2","3","1","2","3","1"
"39","1","1","2","1","2","1","1","1","2","1","2","2","1","1","2","2","2","2","2","2","1","1","1","1","1","2","2","2","1","1","1","1","2","2","2","2","1","2","1","1","1","2","2","2","2","1","2","2","2","3","3","1","1","1","1","2","2","3","3"
"40","2","1","2","2","2","2","2","1","2","1","1","1","1","1","2","1","1","1","2","1","2","1","2","2","2","2","2","1","1","1","2","1","2","1","1","1","1","2","2","2","1","2","2","1","1","2","2","1","3","3","2","1","2","3","1","3","2","2","1"
"41","1","2","2","1","2","2","2","2","1","1","1","1","1","2","1","1","2","2","2","1","1","1","2","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","1","3","2","1","2","1","2","1","3","1","3","2","3"
"42","2","1","1","1","2","1","2","1","1","2","2","1","1","2","2","1","1","2","2","1","1","2","2","2","1","1","2","2","2","1","2","1","1","2","2","1","2","2","1","2","1","1","1","2","2","2","1","3","1","3","2","2","3","2","1","1","2","1","3"
"43","1","2","2","2","1","1","1","1","2","2","2","2","1","2","1","1","1","1","2","2","2","1","2","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","1","2","2","1","2","1","1","1","1","2","1","3","1","3","1","3","2","3","2","1","2"
"44","1","2","1","1","1","1","1","2","1","2","2","2","2","2","1","2","2","2","1","2","1","2","1","1","1","1","1","2","2","2","1","2","1","2","1","1","1","2","2","2","1","2","2","1","2","2","1","1","3","3","2","1","2","3","1","3","2","2","1"
"45","1","1","1","1","1","2","1","2","2","2","1","1","1","2","2","2","2","1","2","2","1","2","2","1","2","2","1","1","2","1","2","1","1","2","1","2","1","1","1","2","2","2","1","2","1","2","2","2","2","2","2","3","3","1","1","3","3","1","1"
"46","1","2","1","1","2","1","2","1","1","2","2","2","2","1","1","2","1","2","2","1","2","1","2","1","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","1","1","1","2","2","1","2","2","2","3","2","1","2","1","3","1","1","3","2","3"
"47","2","2","2","1","1","2","1","1","1","1","2","1","2","2","2","2","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","1","1","1","1","2","2","1","2","1","1","1","2","2","1","2","2","3","1","3","2","3","2","1","2","2","1","3","1"
"48","1","2","2","1","2","2","2","2","1","2","2","2","1","1","2","2","1","1","1","2","1","1","2","2","2","1","1","2","2","1","1","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","3","2","1","2","2","1","3","1","3","1","3","2"
"49","2","1","2","1","2","1","1","2","1","2","1","2","2","2","2","1","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","1","1","1","3","2","2","1","1","3","3","2","1","2","3","1"
"50","1","2","1","2","1","2","2","1","2","1","2","1","1","1","1","2","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","1","2","3","2","2","1","1","3","3","2","1","2","3","1"
"51","2","2","1","1","1","1","2","1","1","1","1","2","1","1","2","1","2","1","2","2","1","2","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","1","1","1","2","2","2","1","2","2","1","1","1","2","2","1","1","2","2","3","3","3","3"
"52","1","2","1","1","2","1","2","1","2","1","1","2","2","2","2","1","1","2","1","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","1","2","2","1","1","2","2","3","2","2","1","3","1","2","3","2","1","1","3"
"53","1","1","1","1","2","1","1","2","2","1","2","2","2","2","2","1","2","1","1","1","2","1","2","1","2","1","2","1","2","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","2","1","3","1","2","3","1","2","3","1","2","3","1","2"
"54","2","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","1","2","2","2","2","1","1","2","2","2","1","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","2","2","3","3","1","1","3","3","1","1","2","2","2","2"
"55","2","1","1","2","1","1","1","1","2","1","1","1","2","2","1","1","2","2","2","1","2","2","1","1","1","2","2","1","1","2","2","2","1","2","1","1","2","2","2","1","2","2","1","2","2","1","2","3","2","1","2","2","1","3","1","3","1","3","2"
"56","2","1","2","2","1","2","1","1","1","2","1","2","2","1","2","1","1","2","1","2","1","1","2","1","2","2","2","1","2","1","1","2","1","2","2","1","2","2","1","2","1","1","1","2","2","2","1","1","2","1","3","3","1","3","2","2","3","2","1"
"57","2","2","2","1","2","2","1","1","2","2","2","2","1","2","1","1","2","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","2","1","2","1","3","3","2","2","1","1","3","2","3","1","2"
"58","2","2","2","2","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","1","2","1","1","2","1","1","2","2","1","2","1","2","2","1","1","2","1","1","1","2","2","2","1","2","2","2","1","2","2","2","2","3","3","1","1","3","3","1","1"
"59","2","1","1","1","2","2","1","1","2","2","2","1","2","1","1","2","1","1","2","1","1","2","1","1","2","2","2","2","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","1","1","1","1","1","3","2","3","2","3","2","1","2","1","3","1"
"60","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","2","2","1","2","2","1","2","1","2","1","1","2","1","1","1","1","2","2","2","1","2","2","1","2","1","1","2","1","2","3","1","2","3","2","1","1","3","3","2","2","1"
