"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","2","1","1","2","2","3","2","3","1","3","1","3","6"
"2","2","2","2","2","2","1","2","1","3","2","3","2","3"
"3","2","1","1","3","2","1","1","2","1","3","3","1","1"
"4","1","2","2","3","1","3","3","1","2","3","3","2","6"
"5","1","1","2","1","3","3","2","2","2","2","3","3","2"
"6","2","2","1","1","2","2","3","3","3","3","2","2","2"
"7","2","2","1","1","1","1","2","2","2","2","1","1","6"
"8","1","2","1","2","2","1","2","1","2","3","2","3","4"
"9","2","2","2","2","1","3","1","3","2","1","2","1","1"
"10","1","1","2","2","1","2","1","2","2","3","2","3","3"
"11","2","1","1","3","1","3","3","1","3","2","2","3","5"
"12","1","2","1","3","1","2","2","1","3","1","1","3","1"
"13","1","2","1","2","1","3","1","3","1","2","1","2","2"
"14","1","1","1","1","3","3","1","1","3","3","1","1","3"
"15","1","2","1","2","3","2","3","2","3","1","3","1","6"
"16","2","2","2","1","3","3","2","2","3","3","2","2","1"
"17","2","1","1","2","3","1","3","1","2","1","2","1","2"
"18","2","1","2","3","3","1","1","3","3","2","2","3","6"
"19","2","1","2","3","2","3","3","2","2","1","1","2","4"
"20","1","2","2","3","3","2","2","3","1","2","2","1","4"
"21","1","2","1","3","2","3","3","2","1","2","2","1","3"
"22","2","1","1","3","3","2","2","3","2","1","1","2","3"
"23","2","2","2","1","1","1","3","3","1","1","3","3","3"
"24","2","2","1","1","3","3","1","1","1","1","3","3","4"
"25","1","1","2","2","2","3","2","3","3","1","3","1","5"
"26","1","2","2","3","2","1","1","2","3","1","1","3","2"
"27","1","1","2","1","2","2","1","1","1","1","2","2","6"
"28","2","2","2","2","3","2","3","2","1","3","1","3","5"
"29","1","2","1","3","3","1","1","3","2","3","3","2","5"
"30","1","1","2","1","1","1","3","3","3","3","1","1","4"
"31","1","1","1","1","1","1","2","2","1","1","2","2","5"
"32","1","1","1","1","2","2","3","3","2","2","3","3","1"
"33","2","2","2","1","2","2","1","1","2","2","1","1","5"
"34","1","1","2","2","3","1","3","1","1","2","1","2","1"
"35","2","1","2","3","1","2","2","1","1","3","3","1","2"
"36","2","1","1","2","1","2","1","2","3","2","3","2","4"
