,A,B,C
1,1,1,2
2,1,2,11
3,1,3,11
4,1,4,1
5,1,5,4
6,1,1,4
7,1,2,7
8,1,3,5
9,1,4,3
10,1,5,6
11,1,1,11
12,1,2,11
13,1,3,6
14,1,4,7
15,1,5,8
16,1,1,9
17,1,2,4
18,1,3,8
19,1,4,7
20,1,5,9
21,1,1,8
22,1,2,2
23,1,3,9
24,1,4,1
25,1,5,5
26,1,1,9
27,1,2,1
28,1,3,6
29,1,4,3
30,1,5,10
31,1,1,3
32,1,2,3
33,1,3,9
34,1,4,8
35,1,5,2
36,1,1,5
37,1,2,2
38,1,3,7
39,1,4,4
40,1,5,5
41,1,1,6
42,1,2,6
43,1,3,11
44,1,4,10
45,1,5,2
46,1,1,5
47,1,2,10
48,1,3,1
49,1,4,10
50,1,5,10
51,1,1,7
52,1,2,3
53,1,3,1
54,1,4,4
55,1,5,8
56,2,1,3
57,2,2,1
58,2,3,3
59,2,4,8
60,2,5,6
61,2,1,6
62,2,2,8
63,2,3,10
64,2,4,2
65,2,5,9
66,2,1,10
67,2,2,6
68,2,3,2
69,2,4,5
70,2,5,1
71,2,1,10
72,2,2,9
73,2,3,4
74,2,4,11
75,2,5,1
76,2,1,7
77,2,2,5
78,2,3,8
79,2,4,9
80,2,5,3
81,2,1,4
82,2,2,9
83,2,3,4
84,2,4,6
85,2,5,11
86,2,1,11
87,2,2,8
88,2,3,2
89,2,4,9
90,2,5,7
91,2,1,2
92,2,2,5
93,2,3,3
94,2,4,11
95,2,5,4
96,2,1,8
97,2,2,4
98,2,3,5
99,2,4,5
100,2,5,11
101,2,1,1
102,2,2,7
103,2,3,10
104,2,4,2
105,2,5,3
106,2,1,1
107,2,2,10
108,2,3,7
109,2,4,6
110,2,5,7
