"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","5","4"
"2","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","5","21"
"3","2","2","1","2","2","1","2","1","1","2","2","1","2","1","1","6","20"
"4","1","2","1","2","2","2","1","1","1","1","2","1","1","2","1","6","1"
"5","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","1","9"
"6","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","5"
"7","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","6"
"8","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1"
"9","1","2","2","1","2","1","2","1","1","1","1","1","2","1","1","4","21"
"10","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","5","13"
"11","1","1","1","2","1","1","1","2","1","2","2","2","2","1","2","4","19"
"12","1","2","1","1","2","1","2","2","2","1","2","1","1","1","2","5","16"
"13","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","17"
"14","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","13"
"15","2","2","2","2","2","1","2","1","2","2","1","2","1","2","2","1","18"
"16","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","3","3"
"17","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","5","5"
"18","2","1","1","2","1","2","2","1","1","1","2","2","1","2","1","3","17"
"19","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","3","12"
"20","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","1","2"
"21","2","1","2","2","1","2","1","1","1","2","2","1","1","1","2","5","14"
"22","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4","1"
"23","1","1","2","1","1","1","2","2","2","1","2","2","1","1","2","3","20"
"24","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","15"
"25","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","4","15"
"26","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","11"
"27","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","6","13"
"28","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","3","21"
"29","1","1","1","1","2","1","2","2","1","1","1","2","2","1","2","6","18"
"30","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"31","2","1","2","2","1","1","1","2","1","2","2","1","1","1","1","5","18"
"32","1","2","1","1","1","2","2","2","1","2","2","2","2","2","2","2","14"
"33","1","2","1","1","2","1","2","2","2","1","1","2","1","2","2","4","12"
"34","1","2","1","1","2","1","2","2","2","1","2","2","2","1","1","6","6"
"35","2","2","2","2","2","2","2","2","1","2","1","2","2","1","1","3","22"
"36","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","3","10"
"37","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","3","5"
"38","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","1","4"
"39","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","21"
"40","1","2","1","1","2","1","1","2","2","2","1","1","1","2","1","3","19"
"41","2","1","2","2","2","1","1","1","2","2","2","1","1","1","2","6","12"
"42","1","1","2","2","2","1","1","1","1","2","1","2","1","1","1","2","17"
"43","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","10"
"44","2","2","2","1","1","1","2","1","1","2","1","2","2","2","1","6","4"
"45","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","2","8"
"46","2","2","1","2","1","1","1","2","2","2","1","1","2","1","1","3","13"
"47","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","3","9"
"48","1","1","2","1","2","2","2","1","1","2","2","2","1","1","1","4","10"
"49","2","1","2","2","2","1","1","1","2","1","2","2","2","1","1","4","2"
"50","2","1","1","1","2","1","1","2","1","1","1","1","2","1","1","4","11"
"51","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","3","7"
"52","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","7"
"53","1","2","2","2","1","1","1","2","1","1","1","2","1","1","2","5","1"
"54","1","2","2","1","2","2","1","2","2","2","2","1","1","1","1","6","17"
"55","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","3","2"
"56","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","3","8"
"57","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","6","22"
"58","1","2","2","2","1","1","1","2","1","1","1","2","1","1","2","6","15"
"59","2","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","21"
"60","1","2","1","2","2","2","1","1","1","2","2","1","1","2","1","1","16"
"61","2","1","1","2","2","2","1","2","1","1","1","2","1","2","2","4","20"
"62","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","5","19"
"63","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","6","14"
"64","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","2","7"
"65","2","2","1","1","2","1","1","2","2","1","2","2","2","2","2","5","17"
"66","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","1","8"
"67","2","1","1","2","1","2","2","2","1","1","2","2","2","1","1","5","2"
"68","2","2","2","1","1","1","2","1","1","2","1","2","2","2","1","6","16"
"69","2","1","2","2","2","1","1","1","2","1","1","2","1","2","2","5","7"
"70","2","1","1","2","1","2","2","2","1","1","2","1","2","1","1","4","16"
"71","2","1","1","1","2","2","1","1","2","2","1","1","2","1","2","2","20"
"72","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","3","4"
"73","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","6","8"
"74","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","12"
"75","1","1","2","1","1","2","1","2","2","2","1","1","2","1","2","6","9"
"76","2","1","2","1","1","1","2","1","2","2","1","1","2","2","2","4","17"
"77","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","1","14"
"78","2","1","1","2","1","2","2","2","1","2","2","1","1","1","2","4","9"
"79","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","6","19"
"80","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","3","15"
"81","2","2","1","1","1","2","1","1","2","1","1","2","1","1","2","4","5"
"82","1","1","2","1","2","2","1","1","1","1","2","1","2","2","2","3","18"
"83","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","4"
"84","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","2","6"
"85","1","1","2","1","1","2","1","2","2","2","1","2","1","1","2","3","16"
"86","2","2","2","1","1","1","2","1","1","1","2","1","1","2","1","5","10"
"87","1","1","1","2","2","2","2","2","2","2","1","2","2","2","1","5","22"
"88","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","3","6"
"89","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","2","9"
"90","2","2","2","2","2","2","2","2","2","1","1","1","2","1","1","5","6"
"91","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","3","1"
"92","1","1","2","1","1","2","1","2","2","2","1","2","2","2","1","5","11"
"93","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","12"
"94","2","1","1","1","2","1","1","2","1","2","2","2","2","2","2","6","5"
"95","2","2","2","1","1","1","2","1","1","2","1","1","2","1","2","4","6"
"96","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","11"
"97","2","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","19"
