"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","2","1","2","2","2","2","1","1","2","2","1","3","1","1","3","5","5","3","2","4"
"3","1","2","2","2","1","2","1","2","2","1","3","1","2","3","6","1","5","5","1","3"
"4","1","1","2","2","2","2","2","1","1","1","3","3","1","1","6","4","2","5","3","2"
"5","1","2","2","1","2","1","1","1","2","2","2","3","1","2","5","2","4","3","4","3"
"6","2","2","1","1","2","2","2","2","2","1","3","1","2","2","1","5","3","6","4","3"
"7","1","2","1","2","2","1","2","1","2","2","3","1","3","2","3","4","1","6","5","2"
"8","1","1","1","1","1","1","2","2","2","1","2","3","3","2","4","4","5","1","2","6"
"9","1","1","1","1","1","1","2","2","2","1","2","2","2","1","6","6","1","3","4","2"
"10","1","2","2","1","2","2","1","1","1","1","2","1","3","2","6","5","1","2","6","4"
"11","1","1","1","1","1","1","2","2","2","1","2","1","1","3","2","2","3","5","6","4"
"12","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3"
"13","2","2","2","2","1","1","1","2","2","1","1","3","3","3","6","6","6","6","6","6"
"14","1","2","1","2","2","1","2","1","2","2","3","2","1","3","1","2","5","4","3","6"
"15","2","1","1","2","2","1","1","2","1","2","2","2","3","1","4","1","3","2","3","2"
"16","2","2","2","2","1","1","1","2","2","1","1","1","1","1","4","4","4","4","4","4"
"17","1","2","2","1","2","1","1","1","2","2","2","1","2","3","3","6","2","1","2","1"
"18","1","1","1","1","1","1","1","1","1","1","1","2","2","2","5","5","5","5","5","5"
"19","1","2","1","2","1","1","1","2","1","2","3","2","1","2","3","1","6","1","4","4"
"20","2","1","1","2","2","2","1","2","2","1","2","1","3","2","3","2","4","5","3","1"
"21","2","2","2","1","1","2","2","2","1","2","1","3","2","3","1","4","1","3","3","4"
"22","2","2","1","2","2","1","2","1","1","1","1","1","1","1","4","6","1","5","2","3"
"23","1","2","2","1","2","2","1","1","1","1","2","2","1","3","4","3","5","6","4","2"
"24","1","1","2","2","2","2","2","1","1","1","3","2","3","3","2","6","4","1","5","4"
"25","2","1","1","2","2","2","1","2","2","1","2","3","2","1","5","4","6","1","5","3"
"26","1","1","1","2","1","2","2","1","2","2","1","2","1","2","6","3","6","2","2","3"
"27","2","1","2","1","2","1","2","2","1","2","3","2","1","3","4","5","2","1","6","3"
"28","1","2","1","2","2","1","2","1","2","2","3","3","2","1","5","6","3","2","1","4"
"29","2","1","1","2","2","2","1","2","2","1","2","2","1","3","1","6","2","3","1","5"
"30","2","2","1","1","1","2","2","1","2","2","2","3","3","2","4","3","2","5","1","4"
"31","2","2","2","1","1","2","2","2","1","2","1","1","3","1","5","2","5","1","1","2"
"32","1","1","1","2","1","2","2","1","2","2","1","3","2","3","4","1","4","6","6","1"
"33","2","1","1","2","2","1","1","2","1","2","2","3","1","2","2","5","1","6","1","6"
"34","1","2","2","2","1","2","1","2","2","1","3","2","3","1","4","5","3","3","5","1"
"35","2","2","1","2","2","1","2","1","1","1","1","2","2","2","2","4","5","3","6","1"
"36","2","1","1","1","1","2","1","1","1","1","3","3","1","2","5","6","4","4","6","2"
"37","2","1","2","1","2","1","2","2","1","2","3","1","3","2","6","1","4","3","2","5"
"38","1","1","2","1","2","1","2","2","2","1","1","2","2","2","5","1","2","6","3","4"
"39","2","1","2","1","1","1","1","1","2","2","3","2","1","2","6","4","3","4","1","1"
"40","1","2","2","1","2","2","1","1","1","1","2","3","2","1","2","1","3","4","2","6"
"41","1","1","2","2","1","2","2","2","1","2","2","1","1","3","5","4","3","6","2","5"
"42","1","1","2","2","1","2","2","2","1","2","2","3","3","2","1","6","5","2","4","1"
"43","2","2","1","2","2","1","2","1","1","1","1","3","3","3","6","2","3","1","4","5"
"44","1","1","2","2","2","2","2","1","1","1","3","1","2","2","4","2","6","3","1","6"
"45","1","2","1","2","1","1","1","2","1","2","3","1","3","1","5","3","2","3","6","6"
"46","2","2","2","2","1","1","2","1","1","1","2","3","3","2","1","1","2","4","5","3"
"47","1","1","2","1","2","1","2","2","2","1","1","1","1","1","1","3","4","2","5","6"
"48","1","1","2","2","1","2","2","2","1","2","2","2","2","1","3","2","1","4","6","3"
"49","1","2","1","1","2","2","1","2","1","2","1","1","2","2","4","6","6","4","3","5"
"50","2","2","2","2","1","1","2","1","1","1","2","2","2","1","3","3","4","6","1","5"
"51","2","2","1","1","2","2","2","2","2","1","3","3","1","1","3","1","5","2","6","5"
"52","2","1","1","1","1","2","1","1","1","1","3","1","2","3","3","4","2","2","4","6"
