"","A","B","C","D","E","F","G","H","J","K","L","M"
"1","2","1","2","2","1","3","3","2","5","1","9","10"
"2","1","1","2","1","2","1","4","3","5","3","2","4"
"3","1","2","1","2","2","1","1","2","2","9","1","9"
"4","2","1","1","1","1","1","3","4","2","3","6","10"
"5","2","2","2","1","2","3","5","5","1","1","2","5"
"6","2","2","1","2","2","2","4","2","4","7","4","10"
"7","2","2","2","1","2","4","3","5","3","10","3","2"
"8","2","1","2","2","2","1","2","3","2","2","4","3"
"9","2","2","1","2","2","1","3","1","4","5","2","8"
"10","2","2","2","1","2","2","1","3","3","6","9","8"
"11","1","2","1","2","2","2","2","3","2","1","3","1"
"12","1","1","1","1","1","5","4","4","1","9","9","1"
"13","2","1","1","1","1","3","1","3","3","6","10","5"
"14","2","2","2","1","2","5","4","1","3","2","5","4"
"15","1","1","2","2","2","3","5","2","3","3","7","1"
"16","1","2","1","1","2","1","2","1","5","10","8","5"
"17","2","2","1","2","2","3","5","3","4","9","6","2"
"18","2","2","2","1","1","4","4","2","4","7","3","3"
"19","2","2","2","1","2","2","4","4","1","9","10","3"
"20","1","1","2","2","2","5","2","4","3","7","1","5"
"21","2","2","2","1","1","5","5","3","4","9","5","5"
"22","1","1","2","1","2","5","3","2","5","1","10","2"
"23","1","2","1","1","2","3","4","3","5","4","2","9"
"24","1","1","2","2","1","2","5","3","4","10","6","7"
"25","1","1","2","2","2","1","3","5","3","9","3","7"
"26","1","1","1","1","1","4","3","3","1","7","7","9"
"27","2","2","2","1","2","1","3","3","1","7","8","1"
"28","1","2","2","1","1","3","2","3","2","2","3","6"
"29","1","2","2","2","1","5","3","3","1","8","8","6"
"30","2","1","1","2","2","4","5","5","1","2","1","8"
"31","2","2","2","1","1","1","1","4","4","1","7","7"
"32","2","2","2","1","1","3","3","1","4","5","1","1"
"33","2","1","2","2","1","1","1","5","5","7","5","6"
"34","1","1","2","2","1","4","2","5","4","4","10","1"
"35","1","2","1","2","1","3","3","5","3","9","4","4"
"36","2","2","2","1","1","2","2","5","4","3","9","9"
"37","2","1","1","1","1","1","4","1","3","2","6","1"
"38","1","1","2","2","2","4","1","3","3","5","9","3"
"39","1","1","2","1","2","3","1","5","5","7","6","8"
"40","1","2","1","2","1","4","4","1","3","1","6","6"
"41","1","1","2","2","1","1","4","2","4","8","4","5"
"42","1","1","1","1","2","3","4","2","4","8","3","8"
"43","2","1","1","1","1","2","4","5","2","5","8","2"
"44","2","1","2","2","2","4","5","1","2","8","10","9"
"45","1","2","2","2","1","4","2","2","1","6","6","4"
"46","1","2","1","2","2","3","3","4","2","3","5","3"
"47","1","1","1","1","1","3","2","2","1","5","5","7"
"48","2","2","1","2","2","5","2","5","4","3","10","6"
"49","2","2","1","2","1","1","5","4","5","6","3","9"
"50","1","1","2","2","2","2","4","1","3","1","5","9"
"51","2","1","1","1","1","5","2","3","2","1","4","8"
"52","1","1","1","1","2","5","1","4","4","2","7","2"
"53","2","1","1","2","2","2","3","3","1","8","7","4"
"54","2","1","2","2","2","3","4","5","2","6","8","7"
"55","1","1","2","2","1","5","3","1","4","6","2","3"
"56","2","2","2","1","2","4","1","1","1","3","4","7"
"57","1","2","2","1","1","2","1","2","2","10","1","4"
"58","1","1","2","1","2","4","2","1","5","9","8","10"
"59","2","1","2","2","1","2","2","1","5","9","7","8"
"60","2","1","2","2","2","2","3","4","2","4","6","5"
"61","2","1","1","1","1","5","3","5","3","10","4","9"
"62","2","2","2","1","2","3","2","4","3","8","1","10"
"63","2","1","2","2","1","4","4","3","5","3","1","2"
"64","1","2","2","2","1","2","5","5","1","2","2","10"
"65","2","2","1","2","1","2","1","5","5","8","5","1"
"66","2","1","1","1","1","2","5","2","3","4","8","3"
"67","1","2","1","1","2","2","3","2","5","2","10","7"
"68","1","2","1","2","1","5","5","2","3","3","8","8"
"69","2","1","1","1","1","3","5","1","2","7","10","4"
"70","1","2","1","2","2","4","4","5","2","5","7","5"
"71","2","2","2","1","2","5","2","2","1","5","6","9"
"72","1","1","2","1","2","2","5","4","5","5","4","6"
"73","2","1","1","2","2","1","2","2","1","6","5","2"
"74","1","1","1","1","1","1","5","5","1","1","1","3"
"75","2","2","1","2","1","3","2","1","5","10","7","3"
"76","2","1","1","2","2","5","1","1","1","4","3","10"
"77","2","2","1","2","2","4","1","4","4","1","8","4"
"78","1","1","1","1","2","4","5","3","4","10","5","10"
"79","1","2","1","1","2","5","1","5","5","8","6","3"
"80","1","1","1","1","2","2","3","1","4","6","1","6"
"81","1","2","2","1","1","5","4","5","2","6","7","10"
"82","2","2","1","2","1","5","4","3","5","4","1","7"
"83","1","2","1","2","1","2","2","4","3","7","2","2"
"84","2","1","2","2","2","5","1","2","2","10","2","1"
"85","1","1","2","2","1","3","1","4","4","2","8","9"
"86","2","2","2","1","2","1","5","2","3","4","7","6"
"87","1","2","2","2","1","1","4","4","1","10","10","8"
"88","2","1","1","1","1","4","2","4","3","8","2","7"
"89","2","1","1","1","1","4","1","2","2","9","2","6"
"90","2","1","1","2","2","3","4","4","1","10","9","6"
"91","1","2","1","2","2","5","5","1","2","7","9","7"
"92","1","2","2","2","1","3","1","1","1","4","4","2"
"93","1","2","2","1","1","1","5","1","2","8","9","2"
"94","2","2","1","2","1","4","3","2","5","2","9","5"
"95","1","1","1","1","1","2","1","1","1","3","3","5"
"96","1","2","2","1","1","4","3","4","2","4","5","8"
"97","1","2","1","1","2","4","5","4","5","6","4","1"
"98","1","2","1","2","1","1","1","3","3","5","10","10"
"99","2","1","2","2","1","5","5","4","5","5","3","4"
"100","1","1","1","1","2","1","2","5","4","4","9","4"
