"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","1","2","3"
"2","1","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","2"
"3","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","2","1"
"4","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","1"
"5","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","1","2","1","3"
"6","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","2","2","3"
"7","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","1","2"
"8","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","3"
"9","2","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","2","4"
"10","1","2","2","2","1","1","1","2","1","1","1","2","2","2","1","1","1","2","1","1","1"
"11","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","1","4"
"12","1","1","2","1","2","2","2","1","1","1","1","1","2","1","2","2","2","1","1","1","1"
"13","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","1","1","2"
"14","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","2","2","1"
"15","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","3"
"16","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","1","1","1","4"
"17","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","2","2","1","4"
"18","1","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","1","1","3"
"19","1","2","1","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","1","2","4"
"20","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","2","1","2"
"21","2","2","2","1","1","1","2","1","1","2","2","2","2","1","1","1","2","1","1","2","2"
"22","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"23","1","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","2","2"
"24","2","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","4"
