"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1"
"2","2","1","1","2","1","2","2","2","1","1","2","1","2","2","4"
"3","2","2","2","1","1","1","2","1","1","2","2","2","1","3","4"
"4","2","1","2","2","2","1","1","1","2","1","2","2","2","1","4"
"5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","2","1","1","1","2","1","1","2","1","2","2","2","1","2","3"
"7","2","2","2","1","2","2","1","2","1","1","1","2","2","3","1"
"8","2","1","1","1","2","2","2","1","2","2","2","1","1","3","1"
"9","2","1","2","2","1","2","1","1","1","2","1","1","2","3","2"
"10","1","1","1","2","2","2","1","2","2","1","2","2","1","3","2"
"11","1","1","1","2","1","1","2","1","2","2","1","2","2","3","3"
"12","2","2","2","2","2","2","2","2","2","2","1","1","1","1","3"
"13","1","2","1","1","2","1","2","2","2","1","1","1","2","3","4"
"14","1","2","2","1","2","1","1","1","2","2","2","1","2","2","2"
"15","1","2","1","2","2","2","1","1","1","2","1","2","1","1","4"
"16","1","2","1","1","1","2","2","2","1","2","2","2","2","1","2"
"17","2","2","1","1","1","2","1","1","2","1","2","1","2","1","3"
"18","1","1","2","1","2","2","2","1","1","1","1","2","2","2","3"
"19","1","2","2","2","1","2","2","1","2","1","2","2","1","2","1"
"20","1","2","2","2","1","1","1","2","1","1","2","1","1","3","3"
"21","1","1","2","1","1","2","1","2","2","2","1","1","1","2","4"
"22","2","2","1","2","1","1","1","2","2","2","1","2","2","2","1"
"23","2","1","2","1","1","1","2","2","2","1","1","2","1","1","2"
"24","2","2","1","2","2","1","2","1","1","1","1","1","1","2","2"
