"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","2","1","2","1","2","2","4","3","1","1","2","4","3","2","1","5"
"2","1","2","2","1","2","2","2","4","4","4","3","3","3","1","1","1","2"
"3","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","4","1"
"4","1","1","1","2","1","2","4","2","3","4","2","1","3","1","2","4","9"
"5","1","1","1","2","1","2","4","3","4","2","3","2","1","2","4","1","7"
"6","2","2","1","1","1","1","3","4","2","3","2","1","3","2","4","1","12"
"7","1","2","2","1","1","1","4","2","1","3","3","4","2","1","4","3","5"
"8","2","1","2","1","1","1","2","1","2","4","1","4","3","4","2","3","7"
"9","2","1","2","2","2","1","1","4","2","3","3","2","1","1","2","4","4"
"10","1","2","2","2","1","2","1","2","4","1","4","3","1","4","2","3","12"
"11","2","1","2","2","1","2","3","1","1","1","2","2","2","4","4","4","2"
"12","2","2","1","2","2","1","4","2","2","2","1","1","1","3","3","3","2"
"13","2","2","1","1","1","1","3","3","4","2","1","3","2","1","2","4","11"
"14","1","2","2","1","2","2","2","3","3","3","1","1","1","4","4","4","3"
"15","1","1","1","1","2","2","3","2","4","1","1","4","3","3","4","2","4"
"16","2","2","1","1","2","2","1","3","2","1","3","4","2","4","3","1","9"
"17","2","2","1","2","1","2","2","3","1","4","4","1","2","2","1","3","4"
"18","1","1","1","1","2","2","3","1","2","4","4","3","1","2","3","4","5"
"19","2","2","1","2","2","1","4","1","1","1","3","3","3","2","2","2","3"
"20","1","2","2","2","2","1","3","1","4","3","1","2","4","2","1","3","9"
"21","1","2","2","2","2","1","3","4","3","1","4","1","2","1","3","2","7"
"22","1","1","1","2","2","1","2","2","1","3","4","2","3","4","3","1","11"
"23","2","2","1","1","1","1","3","2","3","4","3","2","1","4","1","2","10"
"24","2","2","1","2","1","2","2","1","4","3","2","4","1","1","3","2","6"
"25","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1"
"26","1","2","2","2","2","1","3","3","1","4","2","4","1","3","2","1","8"
"27","1","1","1","2","2","1","2","3","2","1","2","3","4","1","4","3","10"
"28","2","1","2","1","1","1","2","2","4","1","3","1","4","2","3","4","8"
"29","1","1","1","1","1","1","1","4","4","4","2","2","2","3","3","3","3"
"30","2","1","2","2","2","1","1","2","3","4","1","3","2","2","4","1","6"
"31","1","2","2","1","1","1","4","3","2","1","4","2","3","3","1","4","6"
"32","2","2","1","1","2","2","1","1","3","2","4","2","3","1","4","3","8"
"33","2","1","2","1","1","1","2","4","1","2","4","3","1","3","4","2","9"
"34","2","1","2","2","1","2","3","3","3","3","3","3","3","3","3","3","1"
"35","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","2","1","2","2","2","1","1","3","4","2","2","1","3","4","1","2","5"
"37","1","2","2","2","1","2","1","1","2","4","3","1","4","3","4","2","11"
"38","2","1","2","2","1","2","3","2","2","2","4","4","4","1","1","1","3"
"39","1","1","1","1","2","2","3","4","1","2","3","1","4","4","2","3","6"
"40","2","2","1","1","2","2","1","2","1","3","2","3","4","3","1","4","7"
"41","2","1","2","1","2","2","4","4","3","1","2","4","1","2","1","3","11"
"42","2","1","2","1","2","2","4","3","1","4","1","2","4","1","3","2","12"
"43","2","1","2","1","2","2","4","1","4","3","4","1","2","3","2","1","10"
"44","1","2","2","1","1","1","4","1","3","2","2","3","4","4","3","1","4"
"45","1","1","1","2","1","2","4","4","2","3","1","3","2","4","1","2","8"
"46","1","1","1","2","2","1","2","1","3","2","3","4","2","3","1","4","12"
"47","1","2","2","2","1","2","1","4","1","2","1","4","3","2","3","4","10"
"48","1","1","1","1","1","1","1","3","3","3","4","4","4","2","2","2","2"
