"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","2","2","2","1","1","1","4","3","7","1","5","6","2","5"
"2","2","2","1","1","2","1","2","5","3","1","4","2","8","6","3"
"3","2","2","1","1","2","1","2","1","8","2","5","3","6","4","7"
"4","1","1","2","2","2","1","2","1","4","3","6","5","8","7","2"
"5","1","2","2","1","2","2","1","1","6","7","3","2","5","8","4"
"6","1","2","1","2","1","2","2","6","2","7","5","4","8","1","8"
"7","1","2","2","1","2","2","1","7","5","2","1","6","8","3","6"
"8","1","2","1","2","1","2","2","8","6","1","2","5","7","4","6"
"9","1","1","2","2","2","1","2","7","3","6","8","1","5","4","8"
"10","2","2","2","2","1","1","1","5","2","3","7","6","1","4","4"
"11","1","1","1","1","1","1","1","5","6","2","8","4","3","7","5"
"12","1","1","2","2","2","1","2","4","6","8","5","7","1","3","3"
"13","1","1","2","2","2","1","2","5","7","4","3","8","6","1","6"
"14","1","1","2","2","2","1","2","3","8","5","1","4","7","6","4"
"15","1","1","2","2","2","1","2","6","5","1","7","3","4","8","5"
"16","2","2","1","1","2","1","2","2","6","3","1","8","4","5","8"
"17","1","2","2","1","2","2","1","8","7","3","5","1","2","6","5"
"18","1","1","1","1","1","1","1","4","7","6","2","3","8","5","4"
"19","2","1","2","1","1","2","2","4","5","3","8","2","7","1","7"
"20","1","1","2","2","2","1","2","8","1","7","4","6","3","5","7"
"21","2","2","2","2","1","1","1","8","8","8","8","8","8","8","1"
"22","2","1","1","2","2","2","1","5","5","5","5","5","5","5","1"
"23","2","1","1","2","2","2","1","6","7","8","1","2","3","4","2"
"24","2","2","1","1","2","1","2","3","4","8","2","6","5","1","5"
"25","2","2","2","2","1","1","1","2","7","1","6","4","5","3","7"
"26","2","1","1","2","2","2","1","2","4","7","8","3","1","6","6"
"27","2","2","2","2","1","1","1","7","6","5","4","3","2","1","2"
"28","1","1","1","1","1","1","1","2","3","4","5","6","7","8","2"
"29","2","1","1","2","2","2","1","1","2","6","4","8","7","3","5"
"30","1","2","2","1","2","2","1","2","8","6","7","5","3","1","3"
"31","2","1","2","1","1","2","2","8","2","4","1","3","5","7","3"
"32","2","1","2","1","1","2","2","5","8","7","2","1","4","3","2"
"33","2","1","1","2","2","2","1","7","1","3","2","4","6","8","3"
"34","1","2","1","2","1","2","2","1","7","5","8","6","4","2","3"
"35","1","1","2","2","2","1","2","2","2","2","2","2","2","2","1"
"36","2","2","1","1","2","1","2","6","1","4","8","5","2","3","4"
"37","2","1","1","2","2","2","1","3","6","4","7","1","8","2","7"
"38","2","2","2","2","1","1","1","1","5","4","2","7","3","6","8"
"39","2","2","1","1","2","1","2","8","5","6","3","4","1","2","2"
"40","1","1","1","1","1","1","1","8","4","5","7","2","6","3","8"
"41","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","2","2","2","2","1","1","1","6","4","2","3","1","7","5","3"
"43","1","2","1","2","1","2","2","3","3","3","3","3","3","3","1"
"44","1","1","1","1","1","1","1","6","8","3","4","7","5","2","6"
"45","2","1","2","1","1","2","2","2","1","5","3","7","8","4","5"
"46","2","2","1","1","2","1","2","4","2","5","6","1","3","8","6"
"47","1","2","2","1","2","2","1","3","2","1","8","7","6","5","2"
"48","1","2","1","2","1","2","2","7","8","4","6","2","1","5","5"
"49","1","2","2","1","2","2","1","5","1","8","6","3","7","2","8"
"50","1","1","1","1","1","1","1","7","2","8","3","5","4","6","7"
"51","1","1","1","1","1","1","1","3","5","7","6","8","2","4","3"
"52","1","2","1","2","1","2","2","2","5","8","4","1","6","7","4"
"53","1","2","1","2","1","2","2","5","4","6","1","7","2","8","7"
"54","2","2","2","2","1","1","1","3","1","6","5","2","4","7","6"
"55","2","1","1","2","2","2","1","4","8","1","3","6","2","7","8"
"56","1","2","2","1","2","2","1","4","4","4","4","4","4","4","1"
"57","2","1","2","1","1","2","2","6","6","6","6","6","6","6","1"
"58","2","1","2","1","1","2","2","3","7","2","4","5","1","8","8"
"59","2","1","2","1","1","2","2","1","3","8","7","4","2","5","6"
"60","2","2","1","1","2","1","2","7","7","7","7","7","7","7","1"
"61","2","1","2","1","1","2","2","7","4","1","5","8","3","2","4"
"62","1","2","2","1","2","2","1","6","3","5","2","8","1","7","7"
"63","1","2","1","2","1","2","2","4","1","2","7","8","5","6","2"
"64","2","1","1","2","2","2","1","8","3","2","6","7","4","1","4"
