"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","2","2","2","7"
"2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","2","2","2","7"
"3","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","2","14"
"4","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","1","1","1","2","9"
"5","1","2","1","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","2","2","2","6"
"6","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","1","3"
"7","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","2","1","1","12"
"8","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1"
"9","2","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","2","2","3","3"
"10","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","2","2","2","2","1"
"11","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","1","2","3","5"
"12","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","2","2","2","1","14"
"13","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","2","2","1","2","1"
"14","2","2","1","2","1","1","1","2","2","2","2","2","1","2","1","1","1","2","2","1","3","7"
"15","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","1","1","2","2","12"
"16","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","1","2","13"
"17","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","1","1","1","2","2","3"
"18","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7"
"19","2","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","1","2","6"
"20","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","2","2","2","1","2","8"
"21","2","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","1","2","1","3","3"
"22","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","1","2","1","3","10"
"23","2","1","2","2","1","2","1","1","1","2","1","2","1","1","2","1","2","1","2","1","2","4"
"24","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","2","1","1","3","14"
"25","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","2","2","1","1","8"
