,A,B,C
1,1,1,5
2,1,2,7
3,1,3,2
4,1,4,1
5,1,5,7
6,1,1,2
7,1,2,3
8,1,3,4
9,1,4,4
10,1,5,5
11,1,1,2
12,1,2,2
13,1,3,1
14,1,4,3
15,1,5,4
16,1,1,5
17,1,2,2
18,1,3,5
19,1,4,3
20,1,5,6
21,1,1,1
22,1,2,4
23,1,3,1
24,1,4,5
25,1,5,1
26,1,1,6
27,1,2,6
28,1,3,7
29,1,4,6
30,1,5,7
31,1,1,7
32,1,2,3
33,1,3,3
34,1,4,4
35,1,5,6
36,2,1,5
37,2,2,6
38,2,3,1
39,2,4,5
40,2,5,1
41,2,1,2
42,2,2,4
43,2,3,3
44,2,4,5
45,2,5,3
46,2,1,6
47,2,2,7
48,2,3,6
49,2,4,1
50,2,5,4
51,2,1,7
52,2,2,3
53,2,3,2
54,2,4,2
55,2,5,4
56,2,1,3
57,2,2,2
58,2,3,1
59,2,4,2
60,2,5,5
61,2,1,4
62,2,2,5
63,2,3,4
64,2,4,6
65,2,5,7
66,2,1,7
67,2,2,1
68,2,3,3
69,2,4,6
70,2,5,7
71,3,1,1
72,3,2,3
73,3,3,2
74,3,4,6
75,3,5,2
76,3,1,7
77,3,2,1
78,3,3,6
79,3,4,7
80,3,5,1
81,3,1,3
82,3,2,7
83,3,3,6
84,3,4,4
85,3,5,1
86,3,1,3
87,3,2,5
88,3,3,4
89,3,4,2
90,3,5,2
91,3,1,4
92,3,2,5
93,3,3,5
94,3,4,3
95,3,5,5
96,3,1,4
97,3,2,7
98,3,3,5
99,3,4,1
100,3,5,6
101,3,1,4
102,3,2,6
103,3,3,7
104,3,4,3
105,3,5,2
106,4,1,5
107,4,2,4
108,4,3,7
109,4,4,7
110,4,5,2
111,4,1,1
112,4,2,2
113,4,3,6
114,4,4,5
115,4,5,4
116,4,1,6
117,4,2,5
118,4,3,3
119,4,4,4
120,4,5,6
121,4,1,3
122,4,2,1
123,4,3,4
124,4,4,2
125,4,5,5
126,4,1,2
127,4,2,6
128,4,3,5
129,4,4,7
130,4,5,3
131,4,1,6
132,4,2,1
133,4,3,2
134,4,4,7
135,4,5,3
136,4,1,1
137,4,2,4
138,4,3,7
139,4,4,1
140,4,5,3
