"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","2","1","2","3","3","1","3","1","3","1","2","2","3","2","2","3","1","3","3","1","2","30"
"2","2","3","3","3","2","2","3","3","3","1","3","2","3","1","3","1","1","1","3","3","1","21"
"3","3","3","1","1","1","2","2","1","1","2","2","2","3","3","2","2","3","3","3","1","1","10"
"4","3","2","1","3","2","2","3","1","3","2","1","3","3","1","2","1","3","2","1","1","2","34"
"5","2","1","1","1","2","2","1","3","1","2","2","2","2","1","2","3","1","1","1","1","3","41"
"6","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"7","1","1","2","2","2","3","3","1","1","2","2","2","3","3","1","1","2","2","2","3","3","9"
"8","2","2","3","3","3","1","1","2","2","3","3","3","1","1","2","2","3","3","3","1","1","9"
"9","3","1","1","1","3","3","1","2","3","3","3","2","2","3","3","3","1","3","2","3","1","22"
"10","1","3","3","1","2","2","2","2","1","3","1","2","3","2","1","3","2","3","1","2","1","39"
"11","2","2","1","3","1","2","2","2","3","2","1","1","3","2","3","3","2","1","2","3","3","11"
"12","1","3","1","2","3","2","3","1","3","1","2","3","2","3","1","3","1","2","3","2","3","31"
"13","3","2","2","3","1","1","1","1","3","2","3","1","2","1","3","2","1","2","3","1","3","39"
"14","1","1","3","2","3","1","1","3","3","2","1","2","3","3","3","1","3","2","2","1","3","12"
"15","2","1","1","2","3","3","3","3","2","1","2","3","1","3","2","1","3","1","2","3","2","39"
"16","2","3","1","2","2","1","1","2","3","1","2","2","1","1","2","3","1","2","2","1","1","23"
"17","2","3","2","1","1","3","2","1","2","1","3","3","2","1","3","1","3","2","2","1","3","18"
"18","1","2","3","2","2","3","1","1","3","1","2","2","3","2","3","2","3","1","1","2","1","25"
"19","3","2","1","2","1","3","1","1","3","2","3","2","1","2","2","1","3","1","3","2","3","38"
"20","3","3","2","2","1","1","3","3","3","2","2","1","1","3","3","3","2","2","1","1","3","13"
"21","2","3","1","1","1","1","3","1","2","3","3","3","3","2","1","3","3","3","1","1","3","28"
"22","3","3","3","1","3","1","1","2","2","2","3","2","3","3","1","1","1","2","1","2","2","4"
"23","1","3","2","3","2","1","2","1","3","2","3","2","1","2","1","3","2","3","2","1","2","37"
"24","2","3","1","1","1","1","3","2","1","1","1","2","2","1","3","1","2","2","2","2","1","27"
"25","1","2","2","1","3","2","3","3","1","1","3","2","1","2","1","2","1","1","2","1","3","20"
"26","3","2","3","1","2","1","2","3","2","3","1","2","1","2","3","2","3","1","2","1","2","31"
"27","1","3","1","2","3","2","3","2","1","2","3","1","3","1","3","2","3","1","2","1","2","32"
"28","1","2","2","1","3","2","3","2","3","2","2","3","2","1","2","3","3","2","1","3","1","19"
"29","2","3","2","1","1","3","2","3","3","2","1","2","3","3","2","2","1","3","1","2","2","17"
"30","3","3","2","1","2","3","3","2","2","1","3","1","2","2","2","3","2","1","1","3","2","12"
"31","3","2","2","3","1","1","1","2","1","1","2","3","3","3","1","3","3","1","2","2","2","40"
"32","3","2","2","2","3","3","2","2","1","1","1","2","2","1","1","3","3","3","1","1","3","42"
"33","3","1","3","3","1","3","2","2","3","2","2","3","2","1","1","2","1","1","2","1","3","16"
"34","2","2","2","1","2","1","1","1","1","1","3","1","3","3","2","2","2","3","2","3","3","6"
"35","1","1","2","2","2","3","3","2","2","3","3","3","1","1","3","3","1","1","1","2","2","10"
"36","2","2","3","3","3","1","1","3","3","1","1","1","2","2","1","1","2","2","2","3","3","10"
"37","3","3","3","2","3","2","2","2","2","2","1","2","1","1","3","3","3","1","3","1","1","6"
"38","2","2","3","2","1","2","3","2","3","3","3","2","2","3","1","2","2","2","1","1","2","7"
"39","2","3","2","2","3","2","1","1","2","1","1","2","1","3","3","1","3","3","1","3","2","16"
"40","2","1","2","3","1","3","1","3","2","3","1","2","1","2","1","3","1","2","3","2","3","32"
"41","3","2","1","3","2","2","3","3","2","1","3","2","2","3","3","2","1","3","2","2","3","33"
"42","3","1","2","2","2","2","1","2","3","1","1","1","1","3","2","1","1","1","2","2","1","28"
"43","3","3","2","2","1","1","3","1","1","3","3","2","2","1","2","2","1","1","3","3","2","14"
"44","2","1","2","3","3","1","3","3","1","2","1","1","2","3","3","2","3","1","1","2","1","29"
"45","3","3","3","3","3","3","3","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2"
"46","3","1","2","3","3","2","2","1","2","3","1","1","3","3","2","3","1","2","2","1","1","24"
"47","1","2","2","2","1","1","2","3","1","1","1","3","3","1","1","1","2","1","3","1","2","22"
"48","2","1","3","1","3","2","3","2","1","3","1","3","2","3","2","1","3","1","3","2","3","37"
"49","3","1","3","3","1","3","2","3","1","1","3","2","1","2","2","3","3","2","1","3","1","15"
"50","3","2","3","1","1","2","1","2","1","2","3","3","1","3","3","1","2","1","1","2","3","30"
"51","3","1","2","1","1","2","3","2","3","1","3","3","1","2","1","2","3","2","2","3","1","26"
"52","1","2","1","1","2","1","3","1","2","2","1","3","2","3","3","1","1","3","2","1","2","15"
"53","1","1","1","3","1","3","3","3","3","3","2","3","2","2","1","1","1","2","1","2","2","6"
"54","2","2","2","3","2","3","3","2","2","2","1","2","1","1","1","1","1","3","1","3","3","3"
"55","2","1","2","3","1","3","1","2","1","2","3","1","3","1","2","1","2","3","1","3","1","31"
"56","3","3","3","2","3","2","2","1","1","1","2","1","2","2","1","1","1","3","1","3","3","5"
"57","3","1","2","2","2","2","1","3","2","2","2","3","3","2","1","2","3","3","3","3","2","27"
"58","1","1","1","2","1","2","2","1","1","1","3","1","3","3","3","3","3","2","3","2","2","3"
"59","1","3","1","2","2","3","2","2","3","1","3","3","1","2","2","1","2","3","3","1","3","29"
"60","3","2","2","2","3","3","2","1","2","3","3","3","3","2","3","1","2","2","2","2","1","41"
"61","2","3","1","2","2","1","1","3","1","2","3","3","2","2","1","2","3","1","1","3","3","24"
"62","1","3","3","3","1","1","3","2","3","1","1","1","1","3","1","2","3","3","3","3","2","41"
