,A,B,C
1,1,1,6
2,1,2,7
3,1,3,7
4,1,4,5
5,1,1,6
6,1,2,6
7,1,3,2
8,1,4,1
9,1,1,2
10,1,2,3
11,1,3,4
12,1,4,2
13,1,1,9
14,1,2,9
15,1,3,10
16,1,4,2
17,1,1,8
18,1,2,7
19,1,3,5
20,1,4,1
21,1,1,11
22,1,2,6
23,1,3,4
24,1,4,3
25,1,1,4
26,1,2,10
27,1,3,8
28,1,4,11
29,1,1,1
30,1,2,8
31,1,3,3
32,1,4,7
33,1,1,4
34,1,2,5
35,1,3,10
36,1,4,5
37,1,1,8
38,1,2,11
39,1,3,3
40,1,4,9
41,1,1,11
42,1,2,1
43,1,3,10
44,1,4,9
45,2,1,2
46,2,2,9
47,2,3,9
48,2,4,6
49,2,1,4
50,2,2,4
51,2,3,3
52,2,4,11
53,2,1,2
54,2,2,2
55,2,3,9
56,2,4,6
57,2,1,5
58,2,2,3
59,2,3,1
60,2,4,3
61,2,1,1
62,2,2,2
63,2,3,5
64,2,4,10
65,2,1,6
66,2,2,8
67,2,3,5
68,2,4,8
69,2,1,9
70,2,2,3
71,2,3,7
72,2,4,11
73,2,1,10
74,2,2,1
75,2,3,4
76,2,4,7
77,2,1,5
78,2,2,1
79,2,3,7
80,2,4,10
81,2,1,7
82,2,2,8
83,2,3,8
84,2,4,4
85,2,1,11
86,2,2,10
87,2,3,11
88,2,4,6
89,3,1,7
90,3,2,7
91,3,3,6
92,3,4,8
93,3,1,3
94,3,2,2
95,3,3,1
96,3,4,10
97,3,1,1
98,3,2,10
99,3,3,11
100,3,4,8
101,3,1,10
102,3,2,5
103,3,3,6
104,3,4,3
105,3,1,3
106,3,2,11
107,3,3,11
108,3,4,1
109,3,1,3
110,3,2,9
111,3,3,8
112,3,4,2
113,3,1,8
114,3,2,6
115,3,3,6
116,3,4,9
117,3,1,7
118,3,2,4
119,3,3,2
120,3,4,4
121,3,1,9
122,3,2,11
123,3,3,9
124,3,4,5
125,3,1,5
126,3,2,4
127,3,3,2
128,3,4,7
129,3,1,10
130,3,2,5
131,3,3,1
132,3,4,4
