"","A","B","C","D","E","F","G","H","J","K","L","M","N","O"
"1","2","1","1","1","3","3","3","2","1","1","2","1","3","7"
"2","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"3","2","2","1","2","2","1","2","3","1","3","3","3","1","6"
"4","3","2","2","3","3","2","1","2","3","1","2","3","3","6"
"5","2","2","3","2","3","1","1","3","3","1","1","2","1","4"
"6","3","3","1","3","1","2","2","1","1","2","2","3","1","4"
"7","3","1","3","1","3","3","2","1","2","2","1","2","2","1"
"8","1","2","3","3","2","3","2","3","1","1","2","2","2","6"
"9","3","3","3","3","3","3","3","3","3","3","3","3","1","1"
"10","1","2","2","1","3","2","2","2","2","2","1","3","2","3"
"11","3","2","1","3","1","3","2","1","2","3","2","1","3","3"
"12","3","3","2","1","1","1","2","3","1","3","1","2","1","7"
"13","2","3","1","1","3","1","3","1","2","2","3","3","2","6"
"14","2","3","3","2","1","3","3","3","3","3","2","1","2","3"
"15","1","2","3","3","1","1","3","2","1","1","1","3","2","5"
"16","1","1","3","1","1","3","1","2","3","2","2","2","1","6"
"17","1","1","2","1","2","3","3","2","2","3","3","1","1","4"
"18","1","2","2","2","1","2","3","1","1","2","3","1","2","4"
"19","2","2","2","1","1","3","1","1","1","3","1","3","1","3"
"20","2","3","1","1","2","2","1","3","2","2","2","1","2","5"
"21","1","3","2","1","2","1","3","2","3","1","3","2","3","3"
"22","2","3","3","3","2","3","1","2","2","3","1","2","2","4"
"23","3","2","3","1","1","2","3","3","2","1","3","2","3","1"
"24","2","3","2","3","2","2","1","3","1","1","3","1","2","1"
"25","1","2","3","3","3","1","1","1","2","3","3","1","2","7"
"26","3","1","2","2","3","3","2","1","3","3","3","2","2","5"
"27","2","3","2","3","1","1","3","1","3","2","2","2","2","2"
"28","1","3","2","1","3","1","1","3","2","3","2","3","3","4"
"29","3","2","2","2","1","1","1","3","2","2","3","2","3","7"
"30","3","1","3","1","2","2","1","2","1","3","3","3","2","2"
"31","2","2","3","1","3","2","3","1","1","3","2","2","1","5"
"32","3","2","1","1","2","2","3","3","3","3","1","1","3","5"
"33","3","1","1","3","2","1","1","1","1","1","3","2","2","3"
"34","3","3","3","2","3","1","3","2","1","2","1","1","1","2"
"35","3","1","1","1","3","1","2","3","3","1","2","3","2","4"
"36","3","3","1","2","1","3","1","2","2","1","3","3","1","5"
"37","1","1","3","2","2","2","3","1","2","1","2","3","1","7"
"38","3","2","3","1","2","1","1","1","3","2","2","1","3","2"
"39","2","2","1","3","3","3","1","2","3","2","3","1","1","7"
"40","1","3","1","2","2","3","1","1","3","2","1","3","3","1"
"41","2","3","1","1","1","2","2","2","3","1","1","2","2","7"
"42","2","1","2","3","3","1","2","2","1","3","2","1","3","1"
"43","1","1","1","3","1","2","1","3","2","3","2","2","1","2"
"44","1","2","1","2","3","3","2","3","2","1","1","1","2","2"
"45","1","2","1","2","1","1","3","2","3","3","2","3","2","1"
"46","1","3","2","2","3","3","1","1","1","1","2","2","3","5"
"47","2","2","2","1","2","3","2","1","3","1","3","3","1","2"
"48","2","1","3","2","1","2","2","1","3","1","3","1","3","4"
"49","1","1","2","3","2","1","2","3","3","2","1","1","1","5"
"50","2","1","1","2","2","1","3","1","2","3","1","2","3","6"
"51","3","1","2","2","1","2","1","2","3","3","1","1","2","6"
"52","2","1","3","3","1","1","2","2","2","2","3","3","3","5"
"53","3","3","2","3","3","2","3","1","2","1","1","1","1","6"
"54","1","3","3","3","2","2","2","1","3","3","1","3","3","7"
"55","2","1","2","3","1","3","3","3","2","1","1","3","3","2"
"56","3","3","3","2","2","1","2","2","2","1","2","1","1","3"
"57","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"58","2","1","3","2","3","2","1","3","1","2","1","3","3","3"
"59","3","1","2","2","2","3","3","3","1","2","2","3","2","7"
"60","3","2","1","3","2","3","3","2","1","2","1","2","3","4"
"61","1","3","1","2","3","2","2","2","1","3","3","2","3","2"
"62","1","1","1","3","3","2","3","3","3","2","3","2","1","3"
"63","1","3","3","1","1","3","2","3","1","2","3","1","3","6"
