"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","1","2","3","2","3","3","1","6","5","6","3","1","5","4","4","6"
"2","2","3","1","1","3","2","1","5","2","2","4","5","1","5","1","5"
"3","2","3","1","1","3","3","3","3","3","1","6","5","6","3","2","6"
"4","1","3","2","3","2","2","4","3","2","4","3","1","6","6","3","6"
"5","1","1","3","1","3","2","4","3","6","2","1","5","4","4","5","2"
"6","2","1","2","2","1","2","1","5","6","6","2","3","5","3","3","1"
"7","2","1","3","3","1","3","4","5","1","4","2","2","3","6","2","5"
"8","2","2","1","2","1","3","1","4","4","2","3","6","4","5","2","3"
"9","1","2","1","1","2","1","6","6","3","2","2","4","6","5","3","2"
"10","1","3","1","1","3","3","5","3","6","6","2","1","3","1","1","5"
"11","2","2","3","2","3","3","6","2","1","3","1","3","3","5","3","5"
"12","1","1","3","1","3","2","3","6","2","6","1","6","4","5","6","1"
"13","1","1","3","3","1","1","6","6","5","4","4","6","2","1","1","6"
"14","1","1","1","3","3","2","1","2","6","5","6","6","5","6","3","4"
"15","2","3","3","1","1","2","6","3","2","5","5","6","3","3","4","4"
"16","1","3","3","2","2","2","1","2","2","1","2","2","1","2","1","2"
"17","1","3","2","2","3","1","6","6","1","6","6","2","4","3","5","4"
"18","2","3","3","2","2","1","3","4","4","3","4","6","5","6","1","2"
"19","2","3","2","3","2","3","2","1","6","2","1","3","2","2","3","6"
"20","1","1","3","3","1","2","6","1","3","6","4","6","1","4","2","5"
"21","1","2","2","3","3","3","4","1","2","5","5","4","1","1","2","2"
"22","1","1","1","3","3","3","6","4","2","3","6","1","4","2","4","3"
"23","1","1","2","1","2","2","2","4","5","1","5","3","3","5","1","3"
"24","1","1","1","2","2","3","4","1","4","1","1","6","3","3","6","6"
"25","2","1","3","1","3","1","6","5","2","4","3","3","2","2","5","2"
"26","2","1","3","1","3","3","1","4","6","4","5","2","6","1","6","1"
"27","2","2","1","2","1","1","5","2","2","6","1","2","6","1","2","3"
"28","1","1","1","2","2","3","3","5","5","5","1","2","2","4","5","5"
"29","1","1","1","2","2","1","2","5","2","5","5","2","5","5","6","6"
"30","1","2","2","1","1","2","1","2","4","3","4","4","3","4","5","6"
"31","2","1","3","1","3","1","5","2","4","2","3","4","2","3","6","1"
"32","2","3","1","3","1","2","3","2","5","6","3","3","1","6","6","2"
"33","1","3","3","1","1","3","3","5","1","1","3","4","4","6","3","3"
"34","1","2","2","3","3","1","1","3","1","1","3","2","2","4","1","1"
"35","1","3","3","1","1","1","1","3","5","5","1","6","6","2","3","3"
"36","2","2","3","3","2","3","3","3","5","3","2","1","2","5","6","4"
