"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","2","1","1","1","2","2","2","1","2","1","4","4","1","2","3","3"
"2","2","1","2","1","2","2","1","1","2","2","1","3","4","2","3","1","2"
"3","2","1","1","2","2","1","2","1","1","1","1","3","2","4","2","4","4"
"4","1","2","1","2","1","1","1","1","2","2","4","3","2","1","4","3","2"
"5","1","2","1","2","1","2","2","1","1","1","3","4","1","2","3","4","2"
"6","2","2","1","1","2","2","1","1","1","1","3","2","2","3","4","1","3"
"7","2","2","1","1","2","1","2","1","2","2","4","1","1","4","3","2","3"
"8","1","1","1","1","2","2","1","2","2","1","4","4","4","4","4","4","1"
"9","2","1","2","1","2","1","2","1","1","1","2","4","3","1","4","2","2"
"10","1","1","1","1","2","1","2","2","1","2","3","3","3","3","3","3","1"
"11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"12","1","1","2","2","2","1","2","2","1","2","4","4","2","2","1","1","3"
"13","1","2","2","1","2","1","2","2","2","1","1","2","1","2","4","3","4"
"14","2","1","2","1","1","2","2","2","2","1","3","1","2","4","1","3","2"
"15","2","2","2","2","1","2","2","2","1","2","2","3","1","4","4","1","1"
"16","1","1","2","2","1","2","2","1","2","2","1","1","3","3","4","4","3"
"17","2","1","2","1","1","1","1","2","1","2","4","2","1","3","2","4","2"
"18","1","2","2","1","1","2","2","1","1","1","4","3","4","3","1","2","4"
"19","2","2","2","2","2","1","2","1","2","2","3","2","4","1","1","4","1"
"20","1","2","2","1","2","2","1","2","1","2","2","1","2","1","3","4","4"
"21","1","1","2","2","1","1","1","1","1","1","2","2","4","4","3","3","3"
"22","2","1","1","2","2","2","1","1","2","2","2","4","1","3","1","3","4"
"23","2","2","2","2","2","2","1","1","1","1","4","1","3","2","2","3","1"
"24","2","1","1","2","1","2","2","2","2","1","4","2","3","1","3","1","4"
"25","1","1","2","2","2","2","1","2","2","1","3","3","1","1","2","2","3"
"26","2","1","1","2","1","1","1","2","1","2","3","1","4","2","4","2","4"
"27","1","2","1","2","2","1","2","2","2","1","2","1","4","3","2","1","2"
"28","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","1"
"29","2","2","2","2","1","1","1","2","2","1","1","4","2","3","3","2","1"
"30","1","2","1","2","2","2","1","2","1","2","1","2","3","4","1","2","2"
"31","1","2","2","1","1","1","1","1","2","2","3","4","3","4","2","1","4"
"32","2","2","1","1","1","1","1","2","2","1","2","3","3","2","1","4","3"
