"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","1","2","1","2","2","2","1","1","2","1","2","2","2","1","2"
"2","2","1","1","1","2","2","2","1","2","2","2","1","1","1","1","1","3"
"3","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","2"
"4","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","1"
"5","1","2","2","1","2","1","1","1","2","2","2","1","2","1","2","2","2"
"6","2","2","1","1","1","2","1","1","2","1","2","1","2","2","1","2","1"
"7","1","1","1","2","1","1","2","1","2","2","1","2","2","2","1","2","3"
"8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","1","2","1","1","2","1","2","2","2","1","1","1","2","2","2","1","3"
"10","2","1","2","2","1","2","1","1","1","2","1","1","2","1","2","2","3"
"11","2","2","2","1","2","2","1","2","1","1","1","2","2","1","1","1","3"
"12","1","2","1","2","2","2","1","1","1","2","1","2","1","2","2","1","1"
"13","1","1","2","1","1","2","1","2","2","2","1","1","1","2","2","1","2"
"14","1","2","2","2","1","1","1","2","1","1","2","1","1","2","1","2","3"
"15","1","2","2","2","1","2","2","1","2","1","2","2","1","1","1","1","2"
"16","2","2","1","2","1","1","1","2","2","2","1","2","2","1","1","1","2"
"17","1","1","1","2","2","2","1","2","2","1","2","2","1","1","2","2","3"
"18","2","2","2","2","2","2","2","2","2","2","1","1","1","2","1","2","1"
"19","2","2","2","1","1","1","2","1","1","2","2","2","1","2","2","1","3"
"20","2","1","2","2","2","1","1","1","2","1","2","2","2","2","2","1","1"
"21","1","2","1","1","1","2","2","2","1","2","2","2","2","1","2","2","1"
"22","2","1","2","1","1","1","2","2","2","1","1","2","1","1","2","2","1"
"23","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","2","2"
"24","1","1","2","1","2","2","2","1","1","1","1","2","2","2","1","2","2"
