"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","2","1","1","1","2","2","2","1","2","2","2","2","2","2","5","3"
"2","1","2","2","1","1","1","2","1","2","1","1","2","1","5","2","6"
"3","2","2","2","2","1","2","2","1","1","1","1","2","2","2","3","6"
"4","2","2","1","1","2","2","1","1","2","1","1","2","1","5","4","1"
"5","2","2","2","1","1","1","2","2","1","2","2","1","2","1","4","3"
"6","2","2","2","2","2","2","2","1","2","2","1","1","1","3","6","2"
"7","1","2","1","2","2","1","1","1","1","1","2","1","2","3","2","1"
"8","1","2","1","1","1","2","2","2","1","2","1","2","1","3","4","1"
"9","1","2","1","2","2","1","2","1","2","2","1","1","1","1","5","6"
"10","2","1","1","2","1","1","2","2","2","1","2","2","2","3","3","1"
"11","1","1","1","2","1","2","2","1","1","2","1","1","1","6","2","3"
"12","1","2","1","1","1","2","2","2","1","1","2","1","2","2","6","6"
"13","2","2","1","2","1","2","1","1","1","1","2","1","1","4","5","1"
"14","2","2","1","1","2","1","1","1","1","2","2","1","1","5","3","6"
"15","1","1","2","2","2","1","2","1","1","1","2","2","1","4","4","2"
"16","2","1","1","2","1","1","2","2","2","1","2","2","2","3","3","3"
"17","1","1","2","1","1","1","2","1","2","2","1","1","2","4","3","3"
"18","2","1","1","2","1","1","2","2","1","2","2","1","1","5","1","6"
"19","2","1","2","1","1","1","1","2","2","1","1","1","1","3","5","2"
"20","2","1","2","1","1","1","1","2","2","1","1","1","1","3","5","6"
"21","2","1","2","1","1","1","1","2","2","1","1","1","1","3","5","4"
"22","2","1","1","2","1","1","2","2","2","1","2","2","2","3","3","5"
"23","1","1","2","2","2","1","2","1","1","1","2","2","2","4","4","6"
"24","2","2","1","2","2","1","2","2","2","1","1","2","1","6","1","3"
"25","2","2","2","1","1","1","2","2","1","2","2","1","2","1","4","1"
"26","1","1","2","2","2","1","2","1","1","1","2","2","1","4","4","4"
"27","1","1","1","2","2","1","1","2","2","2","1","1","2","2","4","6"
"28","2","2","1","2","2","1","2","2","2","1","1","2","1","6","1","1"
"29","2","1","1","2","1","1","2","2","1","2","2","1","2","5","1","2"
"30","2","2","2","2","2","1","1","2","1","2","1","2","2","4","6","5"
"31","2","1","2","1","2","2","2","1","1","1","1","1","2","1","1","1"
"32","1","1","2","1","2","2","1","1","1","2","2","2","2","3","1","6"
"33","1","1","2","2","2","2","2","2","2","1","2","1","1","5","6","1"
"34","1","1","1","2","2","1","1","2","2","2","1","1","1","2","4","2"
"35","2","2","2","2","2","1","1","2","1","2","1","2","2","4","6","1"
"36","1","2","2","2","1","1","1","1","2","2","2","2","1","2","1","5"
"37","1","2","1","2","2","1","1","1","1","1","2","1","2","3","2","5"
