"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","3","3","3","3","3","3","3","3","3","3","3","3","3","1","1"
"2","1","1","3","3","3","2","3","3","2","2","2","3","1","1","11"
"3","3","3","2","3","2","2","1","2","2","3","1","2","2","1","8"
"4","3","2","3","1","3","2","1","2","3","2","1","1","3","3","4"
"5","2","1","2","3","2","2","2","1","3","3","1","3","3","3","3"
"6","1","1","3","2","1","2","3","1","2","1","1","1","3","1","9"
"7","3","1","2","1","2","1","3","3","2","2","3","2","3","2","9"
"8","1","2","2","1","3","1","2","2","3","3","1","2","3","2","6"
"9","2","2","1","3","2","3","1","2","3","2","2","2","1","1","9"
"10","2","1","1","1","3","3","1","3","1","3","1","2","2","3","10"
"11","3","2","1","1","2","3","2","3","3","1","2","1","2","3","7"
"12","3","1","1","3","1","1","3","2","1","2","2","3","3","2","5"
"13","3","1","3","2","2","3","1","3","2","2","3","2","3","2","3"
"14","1","2","3","2","3","2","1","1","3","3","1","3","1","2","9"
"15","3","3","2","1","3","1","2","3","1","3","3","3","2","1","9"
"16","1","3","1","2","1","3","2","3","1","3","2","2","1","3","4"
"17","2","3","2","3","3","1","1","3","3","2","1","1","3","2","2"
"18","1","2","1","2","2","3","2","3","1","2","1","3","3","2","1"
"19","1","3","1","1","3","2","2","1","2","3","3","1","2","3","2"
"20","2","2","3","3","1","3","2","3","2","3","3","1","3","1","5"
"21","2","1","2","2","2","2","2","3","3","1","3","1","1","3","1"
"22","2","3","1","1","3","2","1","1","2","2","2","2","3","2","11"
"23","3","3","2","2","2","1","2","2","1","1","1","2","3","1","11"
"24","1","2","3","3","2","1","3","3","1","1","1","1","2","2","11"
"25","2","2","1","2","1","2","3","3","2","3","1","2","3","1","7"
"26","2","1","3","3","1","2","1","2","2","3","1","3","1","3","7"
"27","2","3","3","2","1","2","3","3","1","1","2","3","1","2","6"
"28","1","3","2","1","2","3","3","2","1","3","3","3","1","3","6"
"29","1","1","3","1","3","1","2","2","1","2","3","1","2","1","7"
"30","3","2","3","3","3","3","3","1","1","2","1","2","2","3","1"
"31","2","1","2","3","3","3","1","1","1","1","3","2","1","3","5"
"32","1","3","2","2","3","1","3","1","1","2","3","2","3","3","7"
"33","1","1","3","1","3","3","2","3","3","1","2","3","3","1","8"
"34","3","3","3","3","1","2","3","3","1","3","1","2","2","1","2"
"35","1","3","2","3","1","3","1","1","1","2","1","1","3","3","8"
"36","2","3","3","1","1","1","1","3","3","1","3","3","3","2","8"
"37","1","3","3","2","1","3","1","2","3","2","3","2","1","3","9"
"38","3","1","2","2","1","3","2","2","3","3","3","3","1","2","11"
"39","3","1","1","2","2","2","2","1","1","2","1","1","1","2","8"
"40","1","2","1","3","3","1","2","1","3","3","1","3","1","2","3"
"41","3","3","1","3","3","2","2","3","2","1","3","2","1","1","4"
"42","2","1","1","3","2","1","2","3","1","3","1","3","2","3","9"
"43","3","2","2","2","1","2","1","1","1","3","3","3","2","3","11"
"44","3","3","2","3","2","3","1","1","3","1","2","3","1","1","7"
"45","2","1","1","1","3","1","3","3","3","2","2","2","1","3","11"
"46","2","1","2","2","1","3","3","2","3","1","1","2","3","3","2"
"47","3","3","2","1","1","3","2","3","2","2","1","1","1","1","10"
"48","3","1","3","1","1","2","2","1","1","3","2","2","1","2","2"
"49","3","3","3","2","2","1","1","1","3","3","2","1","2","1","3"
"50","3","2","2","2","1","1","2","1","2","1","2","3","3","3","10"
"51","3","2","3","1","1","1","2","2","2","2","1","3","2","3","5"
"52","2","1","3","2","3","1","1","3","2","1","1","1","2","3","6"
"53","2","3","1","3","1","3","2","2","1","1","2","1","2","2","9"
"54","2","1","3","1","2","1","2","2","2","3","2","2","1","3","8"
"55","1","1","2","1","1","3","3","1","3","2","1","3","2","1","4"
"56","3","2","3","1","3","3","3","2","1","1","2","1","1","3","3"
"57","3","1","2","2","3","3","1","3","1","3","2","1","3","2","10"
"58","1","1","1","3","3","2","2","2","1","1","3","2","3","1","3"
"59","2","2","2","2","3","1","2","2","3","2","3","1","1","1","2"
"60","2","3","3","2","3","3","2","1","2","2","2","3","2","2","4"
"61","3","1","3","1","1","2","1","2","3","1","3","2","2","2","1"
"62","2","3","1","1","2","2","3","2","3","2","1","3","2","2","10"
"63","2","2","1","2","1","1","3","1","1","2","3","1","1","1","8"
"64","3","1","1","3","1","1","3","2","3","3","3","1","3","2","4"
"65","2","3","2","3","3","1","3","1","2","3","2","1","1","2","1"
"66","1","1","2","3","1","2","2","3","3","2","2","1","2","1","6"
"67","1","3","3","3","2","3","2","2","2","1","1","1","3","3","11"
"68","3","3","1","2","3","1","1","2","2","1","1","3","1","1","6"
"69","2","3","3","2","3","3","2","1","3","1","1","2","2","2","5"
"70","2","2","1","1","1","3","1","1","3","3","3","1","2","1","11"
"71","1","2","2","3","3","3","3","2","2","3","2","2","2","2","8"
"72","1","2","2","1","2","2","1","3","2","3","3","1","1","2","5"
"73","3","2","3","3","2","1","1","3","1","2","2","3","1","3","2"
"74","2","3","2","1","1","2","3","2","1","1","2","1","2","2","3"
"75","2","2","1","3","3","2","1","2","1","1","3","3","3","1","10"
"76","3","2","1","3","1","2","2","1","3","2","2","2","3","3","6"
"77","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"78","1","1","1","1","2","3","1","1","2","1","2","3","3","1","2"
"79","2","1","2","3","2","1","3","1","2","1","3","3","2","3","4"
"80","2","2","3","2","2","1","1","2","1","3","2","1","3","1","4"
"81","1","2","3","3","1","1","2","1","2","1","3","2","1","2","10"
"82","1","3","1","2","2","2","3","3","3","3","2","1","3","3","5"
"83","3","1","1","2","3","3","3","2","2","3","1","1","1","2","7"
"84","3","3","1","1","2","1","3","1","3","1","1","2","1","1","5"
"85","2","2","3","1","2","3","3","1","1","3","3","2","3","1","6"
"86","3","2","2","1","3","2","3","1","2","1","2","1","3","3","9"
"87","1","2","2","3","1","1","1","3","3","1","2","2","2","2","7"
"88","1","1","2","2","3","2","1","2","1","2","2","3","2","1","5"
"89","2","3","3","1","2","2","2","1","1","2","3","3","3","2","7"
"90","1","2","2","1","2","2","1","3","1","1","1","2","1","2","4"
"91","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"92","1","3","1","1","1","1","1","2","2","3","2","3","3","3","1"
"93","1","3","3","3","2","2","3","2","3","2","3","1","1","3","10"
"94","3","2","1","2","3","2","3","3","3","1","3","3","2","3","8"
"95","1","1","3","2","2","1","3","1","3","3","2","2","2","1","10"
"96","1","3","1","2","1","1","1","3","2","2","3","2","2","3","3"
"97","1","2","1","2","2","3","3","2","2","1","3","3","2","2","2"
"98","2","2","2","1","1","3","3","3","2","2","1","3","1","1","3"
"99","3","1","1","3","2","3","1","1","2","2","3","1","2","2","6"
