"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","2","1","2","1","2","2","1","1","1","2","2","1","2","1","2","3","4","1","2","2"
"2","1","1","1","1","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","1"
"3","2","1","1","2","2","2","1","1","2","2","2","2","1","1","2","2","1","3","1","3","4"
"4","2","2","1","1","2","1","2","1","2","2","1","1","1","2","2","1","3","2","1","4","3"
"5","1","2","2","1","1","2","2","1","1","1","2","1","2","2","2","1","1","2","4","3","4"
"6","2","2","2","2","1","2","2","2","1","2","2","1","2","1","2","2","4","1","1","4","1"
"7","2","1","1","2","1","2","2","2","2","1","1","2","2","2","2","1","3","1","3","1","4"
"8","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","1","2","3","3","2","1"
"9","2","1","2","1","2","2","1","1","2","2","2","1","2","1","1","1","3","1","4","2","2"
"10","1","2","1","2","1","1","1","1","2","2","2","1","2","2","2","1","4","3","2","1","2"
"11","1","1","2","2","2","1","2","2","1","2","2","2","1","2","2","1","1","1","2","2","3"
"12","2","1","2","1","1","2","2","2","2","1","1","1","1","2","1","2","1","3","2","4","2"
"13","1","2","2","1","2","1","2","2","2","1","1","2","2","1","1","1","4","3","1","2","4"
"14","2","2","1","1","1","1","1","2","2","1","2","1","2","1","2","2","1","4","3","2","3"
"15","2","1","1","2","1","1","1","2","1","2","1","1","1","2","1","2","4","2","4","2","4"
"16","2","1","1","2","2","1","2","1","1","1","2","1","2","1","1","1","2","4","2","4","4"
"17","1","1","1","1","2","1","2","2","1","2","2","1","2","2","1","2","3","3","3","3","1"
"18","2","2","2","2","1","1","1","2","2","1","2","2","1","1","1","1","3","2","2","3","1"
"19","2","2","2","2","2","1","2","1","2","2","1","2","2","2","1","2","1","4","4","1","1"
"20","1","1","1","1","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","4","1"
"21","1","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","3","3","4","4","3"
"22","1","1","2","2","2","2","1","2","2","1","2","1","2","2","1","2","2","2","1","1","3"
"23","1","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","4","4","3","3","3"
"24","1","2","2","1","2","2","1","2","1","2","1","1","1","1","2","2","3","4","2","1","4"
"25","2","2","1","1","1","2","2","2","1","2","2","2","1","1","1","1","2","3","4","1","3"
"26","1","2","2","1","1","1","1","1","2","2","2","2","1","2","1","2","2","1","3","4","4"
"27","1","2","1","2","2","2","1","2","1","2","1","2","2","1","1","1","1","2","3","4","2"
"28","2","1","2","1","1","1","1","2","1","2","1","2","2","2","2","1","2","4","1","3","2"
"29","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"30","2","1","2","1","2","1","2","1","1","1","2","2","1","1","2","2","4","2","3","1","2"
"31","2","2","1","1","2","2","1","1","1","1","1","2","2","2","1","2","4","1","2","3","3"
"32","1","2","1","2","2","1","2","2","2","1","1","1","1","1","2","2","2","1","4","3","2"
