"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","2","2","2","2","1","2","2","2","3","1","4","4","1","1"
"2","2","1","1","2","2","2","1","2","4","2","3","1","3","1","4"
"3","1","2","2","1","1","1","1","2","4","3","4","3","1","2","4"
"4","1","2","2","1","2","2","1","3","1","2","1","2","4","3","4"
"5","1","2","1","2","2","1","2","4","1","2","3","4","1","2","2"
"6","1","1","1","1","2","1","2","3","3","3","3","3","3","3","1"
"7","2","2","1","1","1","2","2","3","4","1","1","4","3","2","3"
"8","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","2","2","1","1","2","2","1","1","2","3","3","2","1","4","3"
"10","1","1","2","2","2","1","2","3","4","4","2","2","1","1","3"
"11","2","2","1","1","2","1","2","2","1","4","4","1","2","3","3"
"12","1","2","1","2","1","2","2","1","4","3","2","1","4","3","2"
"13","1","2","2","1","2","1","2","4","2","1","2","1","3","4","4"
"14","1","1","2","2","1","2","2","2","1","1","3","3","4","4","3"
"15","2","1","2","1","1","1","1","3","2","4","3","1","4","2","2"
"16","1","2","2","1","1","2","2","1","3","4","3","4","2","1","4"
"17","2","1","2","1","2","2","1","2","3","1","2","4","1","3","2"
"18","2","2","2","2","1","2","2","3","3","2","4","1","1","4","1"
"19","2","1","1","2","1","2","2","4","2","4","1","3","1","3","4"
"20","2","2","1","1","1","1","1","4","3","2","2","3","4","1","3"
"21","1","2","1","2","2","2","1","3","2","1","4","3","2","1","2"
"22","1","1","2","2","1","1","1","1","2","2","4","4","3","3","3"
"23","2","1","1","2","1","1","1","3","1","3","2","4","2","4","4"
"24","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1"
"25","1","1","1","1","2","2","1","4","4","4","4","4","4","4","1"
"26","1","2","1","2","1","1","1","2","3","4","1","2","3","4","2"
"27","1","1","2","2","2","2","1","4","3","3","1","1","2","2","3"
"28","2","1","2","1","2","1","2","1","4","2","1","3","2","4","2"
"29","2","1","1","2","2","1","2","1","3","1","4","2","4","2","4"
"30","2","1","2","1","1","2","2","4","1","3","4","2","3","1","2"
"31","2","2","2","2","1","1","1","4","4","1","3","2","2","3","1"
"32","2","2","2","2","2","2","1","1","1","4","2","3","3","2","1"
