"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","2","2","3","3","1","4","4","1","1","1","4","2","2","2","4","1","1","4"
"2","1","2","2","2","4","2","4","1","2","4","4","3","2","3","2","2","6","6","7"
"3","2","2","1","1","4","1","3","1","1","3","3","3","3","2","2","3","5","7","8"
"4","2","1","2","2","4","2","4","2","1","1","3","4","1","4","3","3","2","3","2"
"5","2","2","1","3","1","2","4","2","4","2","1","2","3","1","3","4","4","7","7"
"6","1","1","1","3","1","2","4","1","3","3","2","1","4","2","2","1","8","2","2"
"7","2","2","1","3","2","2","1","1","4","1","2","4","2","4","1","2","5","5","1"
"8","1","1","1","4","4","4","4","3","3","1","3","3","3","3","1","1","4","1","1"
"9","2","2","1","1","4","3","1","2","3","2","2","1","1","4","2","4","6","1","5"
"10","2","1","2","1","1","2","2","3","3","2","3","4","4","3","4","4","5","6","4"
"11","2","1","2","2","3","4","3","2","3","3","1","4","2","3","1","2","8","7","5"
"12","1","1","1","3","1","4","2","2","1","2","3","3","2","4","2","2","7","8","3"
"13","2","2","1","3","1","4","2","1","2","3","4","4","1","3","3","3","3","1","6"
"14","1","2","2","3","4","1","1","3","1","2","2","2","3","3","4","2","8","3","6"
"15","2","1","2","1","2","2","3","4","3","1","4","2","1","2","2","2","4","8","6"
"16","1","2","2","1","1","2","2","4","4","3","4","3","3","4","1","1","1","3","5"
"17","2","1","2","3","3","1","4","3","2","4","2","3","1","1","3","1","5","8","5"
"18","2","1","2","1","1","4","4","4","1","3","2","2","2","1","4","3","6","4","1"
"19","2","1","2","1","2","4","1","3","1","4","1","4","3","4","2","1","3","2","7"
"20","2","2","1","2","2","3","2","4","1","2","1","3","1","2","3","1","8","6","1"
"21","1","1","1","1","3","1","2","1","2","1","3","2","1","4","1","4","8","4","7"
"22","2","2","1","4","4","2","2","3","2","1","1","2","2","2","4","3","7","2","5"
"23","1","2","2","1","2","2","3","3","4","4","3","1","2","1","3","3","8","1","3"
"24","1","2","2","2","4","4","2","2","4","1","1","1","4","1","2","1","5","4","6"
"25","2","2","1","3","2","4","3","2","2","4","3","2","4","2","1","1","6","3","4"
"26","2","1","2","3","3","3","2","4","4","1","3","1","3","3","3","2","6","2","8"
"27","2","2","1","4","3","4","1","3","4","3","3","2","1","1","2","2","1","6","2"
"28","1","2","2","1","2","4","1","4","2","1","2","3","4","3","3","4","7","7","2"
"29","1","2","2","2","3","2","1","2","2","3","3","1","3","2","4","4","3","8","1"
"30","2","2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","8","8","8"
"31","1","2","2","4","1","1","3","2","3","1","2","2","2","4","3","1","3","6","8"
"32","1","2","2","4","2","1","2","1","3","2","1","4","3","1","1","3","6","8","2"
"33","2","1","2","2","4","4","2","1","3","4","2","2","3","2","3","4","1","5","3"
"34","2","1","2","3","4","1","1","4","2","3","1","1","4","4","1","3","4","6","3"
"35","2","2","1","2","1","1","1","4","3","4","3","3","2","1","1","4","2","2","6"
"36","1","2","2","3","3","3","2","3","3","4","4","2","4","4","2","3","2","7","1"
"37","1","2","2","4","1","3","1","1","1","4","3","4","4","2","3","2","4","4","5"
"38","1","1","1","1","4","3","1","1","4","3","1","2","2","3","3","1","2","8","4"
"39","1","2","2","3","4","3","3","4","3","3","3","4","1","1","4","1","7","5","7"
"40","2","1","2","4","2","3","4","1","2","2","3","1","2","4","4","1","1","7","6"
"41","1","2","2","4","2","3","4","2","1","3","4","2","1","3","1","4","5","2","3"
"42","1","1","1","4","4","2","2","4","1","4","2","1","1","1","1","2","3","7","4"
"43","2","1","2","4","2","1","2","2","4","3","2","3","4","2","4","2","2","1","7"
"44","1","1","1","1","4","1","3","2","2","2","4","4","4","1","3","2","1","2","1"
"45","2","1","2","4","1","3","1","2","2","1","4","3","3","1","2","3","8","5","4"
"46","1","1","1","2","1","3","3","4","2","4","1","2","3","4","4","2","5","1","2"
"47","2","2","1","1","3","3","4","1","3","1","1","3","4","1","4","2","3","3","3"
"48","1","1","1","2","2","1","4","4","4","2","3","2","4","3","2","3","3","5","5"
"49","1","1","1","1","3","3","4","2","4","4","2","4","3","2","1","3","7","6","6"
"50","1","1","1","4","3","4","1","4","3","2","4","1","2","2","3","3","5","3","7"
"51","1","2","2","1","1","4","4","3","2","2","1","1","1","2","1","2","2","5","8"
"52","1","2","2","2","3","4","3","1","4","2","2","3","1","4","4","3","4","2","4"
"53","2","2","1","4","3","2","3","4","2","2","2","4","3","3","2","1","2","4","3"
"54","2","1","2","2","3","2","1","1","1","2","4","2","4","1","1","1","7","1","8"
"55","2","2","1","2","1","3","3","3","1","1","2","1","4","3","1","3","1","8","7"
"56","2","2","1","2","2","1","4","3","3","3","4","1","3","4","3","2","7","4","4"
"57","2","2","1","1","3","1","2","2","1","4","4","1","2","3","4","1","4","5","2"
"58","1","1","1","3","2","2","1","2","3","4","1","3","1","3","4","3","1","4","8"
"59","2","1","2","3","4","3","3","3","4","2","4","3","2","2","1","4","3","4","2"
"60","2","1","2","4","1","1","3","1","4","4","1","1","1","3","2","4","7","3","1"
"61","1","1","1","2","1","1","1","3","4","1","4","4","1","2","4","1","6","7","3"
"62","1","1","1","3","2","4","3","1","1","1","4","1","3","1","4","4","2","6","5"
"63","1","1","1","2","2","3","2","3","2","3","2","4","2","1","2","4","4","3","8"
"64","1","1","1","4","3","2","3","3","1","3","1","3","4","4","3","4","6","5","6"
