,A,B,C
1,1,1,8
2,1,2,10
3,1,3,4
4,1,1,12
5,1,2,10
6,1,3,11
7,1,1,3
8,1,2,12
9,1,3,3
10,1,1,1
11,1,2,9
12,1,3,5
13,1,1,7
14,1,2,13
15,1,3,1
16,1,1,10
17,1,2,6
18,1,3,9
19,1,1,1
20,1,2,6
21,1,3,3
22,1,1,11
23,1,2,5
24,1,3,7
25,1,1,7
26,1,2,12
27,1,3,4
28,1,1,6
29,1,2,9
30,1,3,2
31,1,1,8
32,1,2,2
33,1,3,5
34,1,1,2
35,1,2,11
36,1,3,13
37,1,1,13
38,1,2,4
39,1,3,8
40,2,1,13
41,2,2,8
42,2,3,8
43,2,1,11
44,2,2,2
45,2,3,2
46,2,1,4
47,2,2,7
48,2,3,12
49,2,1,9
50,2,2,13
51,2,3,12
52,2,1,4
53,2,2,1
54,2,3,13
55,2,1,12
56,2,2,7
57,2,3,10
58,2,1,6
59,2,2,4
60,2,3,9
61,2,1,3
62,2,2,3
63,2,3,10
64,2,1,5
65,2,2,3
66,2,3,11
67,2,1,9
68,2,2,8
69,2,3,6
70,2,1,2
71,2,2,11
72,2,3,6
73,2,1,5
74,2,2,5
75,2,3,7
76,2,1,10
77,2,2,1
78,2,3,1
