"","A","B","C","D","E","F","G","H","J","K"
"1","1","3","4","1","2","3","4","2","5","5"
"2","3","3","2","4","3","5","3","2","4","4"
"3","2","2","5","3","3","1","1","2","5","5"
"4","3","4","3","4","2","2","5","5","2","3"
"5","1","3","3","3","3","3","3","3","3","1"
"6","2","4","5","3","4","5","3","1","1","1"
"7","1","1","2","4","5","1","2","5","3","5"
"8","1","3","3","3","2","1","5","5","1","2"
"9","1","3","3","1","5","5","2","1","2","3"
"10","3","1","4","3","4","2","3","5","5","1"
"11","2","4","1","5","2","1","2","1","5","2"
"12","3","2","1","2","5","5","3","3","5","3"
"13","1","1","1","1","5","4","3","3","4","2"
"14","1","2","3","5","1","2","3","1","4","5"
"15","2","5","1","4","5","1","4","2","2","1"
"16","3","3","2","3","1","1","4","4","1","3"
"17","3","2","5","1","3","1","5","3","2","2"
"18","1","5","1","3","4","5","1","4","2","5"
"19","1","3","4","5","5","1","1","3","4","4"
"20","2","2","4","4","1","3","2","3","1","3"
"21","2","2","4","1","4","1","3","5","2","4"
"22","3","1","5","2","1","3","1","5","2","4"
"23","2","2","4","3","5","4","5","4","3","2"
"24","1","2","2","5","4","4","1","5","1","3"
"25","2","5","2","1","3","2","3","2","1","2"
"26","2","3","1","4","4","2","2","3","1","5"
"27","2","1","4","2","2","5","5","1","4","5"
"28","2","5","3","1","1","4","4","5","3","5"
"29","2","5","2","4","2","4","1","3","5","4"
"30","3","3","2","1","4","3","5","1","5","5"
"31","1","2","2","2","1","5","4","4","5","2"
"32","1","4","5","2","3","4","5","3","1","5"
"33","2","2","3","1","2","3","1","4","4","1"
"34","2","1","3","2","4","3","4","3","2","2"
"35","1","5","5","3","2","2","4","3","4","3"
"36","2","4","1","1","3","5","4","5","3","3"
"37","2","4","2","5","5","3","3","4","2","5"
"38","3","2","1","5","3","2","4","5","4","5"
"39","1","1","1","1","1","1","1","1","1","1"
"40","3","4","3","2","5","4","1","2","1","5"
"41","3","3","1","2","4","2","1","4","3","2"
"42","3","5","3","4","1","4","3","1","5","2"
"43","3","1","4","5","2","5","4","2","1","2"
"44","2","3","5","5","2","4","3","4","2","3"
"45","3","4","2","3","5","3","2","5","4","2"
"46","3","5","4","3","1","5","2","3","2","5"
"47","2","3","5","4","1","5","1","5","4","2"
"48","3","3","1","5","1","4","5","2","2","1"
"49","2","5","2","2","4","1","5","1","4","3"
"50","2","1","2","5","1","2","5","3","3","1"
"51","1","1","1","4","3","3","5","4","5","3"
"52","3","1","5","4","2","1","3","4","3","5"
"53","3","4","2","1","2","5","1","3","3","1"
"54","3","5","4","1","5","2","5","4","1","4"
"55","1","2","3","4","4","5","5","2","3","4"
"56","1","4","5","1","1","2","2","4","5","4"
"57","2","3","4","2","3","4","2","5","5","1"
"58","3","1","5","1","4","4","2","2","4","3"
"59","2","1","3","3","5","2","1","2","5","3"
"60","1","4","4","2","1","1","3","2","3","3"
"61","1","4","4","4","3","2","1","1","2","2"
"62","1","4","4","4","4","4","4","4","4","1"
"63","3","5","3","2","3","1","2","4","4","1"
"64","3","5","4","5","3","3","1","1","3","3"
"65","1","5","1","2","2","3","3","5","1","4"
"66","2","4","1","3","1","3","5","2","4","4"
"67","1","2","2","2","2","2","2","2","2","1"
"68","3","2","1","3","2","4","2","1","3","4"
"69","1","1","2","3","3","4","4","1","2","4"
"70","2","3","5","2","5","2","4","1","3","4"
"71","3","4","3","5","4","1","4","3","5","4"
"72","3","2","5","4","5","3","4","1","1","1"
"73","2","1","3","5","3","5","2","4","1","4"
"74","1","5","5","5","5","5","5","5","5","1"
"75","1","5","5","5","4","3","2","2","3","2"
