"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"1","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","2","22"
"2","2","2","2","1","1","1","2","1","1","2","2","2","2","1","1","1","2","1","3","10"
"3","2","2","2","1","2","2","1","2","1","1","1","1","1","2","1","1","2","1","2","11"
"4","1","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","1","5"
"5","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","9"
"6","1","1","2","1","2","2","2","1","1","1","1","1","2","1","2","2","2","1","3","9"
"7","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","2","1","16"
"8","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","3","22"
"9","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","1","18"
"10","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","17"
"11","1","2","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","2","2","8"
"12","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","3","20"
"13","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","1","1","1","16"
"14","2","2","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","2","2","7"
"15","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","21"
"16","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","5"
"17","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","2","10"
"18","2","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"19","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","9"
"20","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","3","17"
"21","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","1"
"22","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","3","22"
"23","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","2","9"
"24","1","2","2","2","1","1","1","2","1","1","2","1","1","2","2","2","1","1","2","2"
"25","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","2","2","1","3","4"
"26","2","2","1","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","2","3"
"27","1","2","1","2","2","2","1","1","1","2","1","1","1","2","1","2","2","2","2","4"
"28","1","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","3","10"
"29","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","1","2","16"
"30","2","2","1","2","2","1","2","1","1","1","1","1","2","1","1","2","1","2","3","12"
"31","1","2","1","1","1","2","1","1","2","1","2","2","1","2","1","1","1","2","1","8"
"32","2","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","1","7"
"33","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","15"
"34","2","1","1","2","2","2","1","2","2","1","2","1","2","1","1","2","2","2","2","1"
"35","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","17"
"36","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","3","19"
"37","1","2","1","2","2","2","1","1","1","2","1","1","2","1","2","1","1","1","3","8"
"38","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","2","15"
"39","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","11"
"40","2","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","1","3","11"
"41","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","1","10"
"42","1","1","2","2","2","1","1","1","2","1","1","2","2","2","1","1","1","2","3","7"
"43","1","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","10"
"44","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","2","20"
"45","1","2","2","2","1","1","1","2","1","1","2","1","2","1","1","1","2","2","3","6"
"46","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","1","1","20"
"47","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","1","1","1","12"
"48","1","1","2","1","1","2","1","2","2","2","1","1","2","2","1","2","2","1","3","1"
"49","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","2","1","14"
"50","1","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","3","16"
"51","2","2","1","2","1","1","1","2","2","2","1","2","2","2","1","2","1","1","1","2"
"52","1","1","2","1","2","2","2","1","1","1","2","1","1","1","2","1","2","2","1","2"
"53","1","1","1","2","1","1","2","1","2","2","2","1","2","2","2","1","2","2","3","2"
"54","2","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","3","11"
"55","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","2","13"
"56","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","2","22"
"57","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","2","1","1","2","6"
"58","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","1","3","14"
"59","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","13"
"60","1","2","2","1","1","1","2","1","1","2","1","2","1","2","2","1","1","1","2","1"
"61","2","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","1","1","3","2"
"62","2","2","1","2","1","1","1","2","2","2","2","2","1","2","1","1","1","2","3","15"
"63","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","1","1","13"
"64","1","1","1","2","1","2","2","2","1","1","1","2","2","2","2","1","2","1","2","7"
"65","2","1","2","1","1","1","2","2","2","1","2","2","2","1","2","1","1","1","2","4"
"66","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","3","19"
"67","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","19"
"68","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","3","21"
"69","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","1","18"
"70","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","3","20"
"71","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","1","22"
"72","2","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","1","5"
"73","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","2","21"
"74","2","1","2","2","2","1","2","2","1","2","1","1","2","1","2","2","2","1","1","8"
"75","2","1","1","1","2","2","2","1","2","2","1","2","1","2","2","2","1","1","3","6"
"76","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","4"
"77","1","2","2","1","1","1","2","1","1","2","1","2","2","1","1","2","2","2","3","5"
"78","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","2","2","2","3","8"
"79","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","17"
"80","2","1","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","2","2","2"
"81","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","22"
"82","1","2","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","12"
"83","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","1","19"
"84","1","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","2","13"
"85","2","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","2","14"
"86","2","1","2","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","3","4"
"87","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","1","3","12"
"88","2","1","2","2","1","2","1","1","1","2","1","2","1","1","2","1","2","2","2","12"
"89","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","1","1","2","11"
"90","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","1","1","2","1","11"
"91","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","1","2","3","3"
"92","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","3","13"
"93","1","1","1","2","1","2","2","2","1","1","1","2","1","1","1","2","1","2","1","3"
"94","2","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","1","3","3"
"95","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","2","2","1","3","15"
"96","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","6"
"97","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","1","1","4"
"98","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","2","21"
"99","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","1","20"
"100","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","19"
"101","1","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","1","15"
"102","1","1","2","2","2","1","1","1","2","1","1","2","1","1","2","2","2","1","2","3"
"103","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","5"
"104","1","2","2","2","1","1","1","2","1","1","1","2","2","2","1","1","1","2","3","9"
"105","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","1","2","1","1","3"
"106","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","17"
"107","2","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","2","1","2","8"
"108","2","2","1","2","1","1","1","2","2","2","1","2","1","1","2","1","2","2","2","6"
"109","2","2","1","2","2","1","2","1","1","1","2","2","1","1","2","1","1","2","3","1"
"110","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","3","13"
"111","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","1","3","17"
"112","1","2","1","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","2","14"
"113","2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","1","1","1","3","5"
"114","1","1","1","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","7"
