"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","2","2","1","2","2","1","4","1","3","4","2","1","4","6","3","5","6","3"
"2","1","2","2","1","1","2","2","2","3","2","4","3","3","4","4","6","6","8","4"
"3","2","1","1","2","2","1","2","4","4","4","2","1","3","4","4","7","5","3","7"
"4","2","1","2","1","1","2","2","1","1","4","1","2","1","2","2","8","6","3","6"
"5","2","1","1","2","2","2","1","3","1","2","4","4","3","4","1","4","7","5","6"
"6","1","1","1","1","1","2","2","1","2","4","4","3","4","1","5","2","5","5","2"
"7","2","2","2","2","1","1","1","3","2","4","1","3","1","1","4","4","2","7","3"
"8","2","2","1","1","1","1","1","3","4","3","4","4","1","3","5","1","4","3","4"
"9","2","2","2","2","2","1","2","3","1","2","2","1","4","1","5","3","6","2","5"
"10","2","2","1","1","1","2","2","2","4","2","1","2","2","3","7","4","5","2","8"
"11","2","2","1","1","2","1","2","1","2","2","4","1","3","3","3","8","3","1","3"
"12","1","1","2","2","1","1","1","2","1","1","3","1","4","3","1","8","5","7","4"
"13","1","2","1","2","1","1","1","3","1","4","4","2","4","2","7","6","1","1","7"
"14","2","1","2","1","1","2","2","3","4","3","2","1","2","2","1","2","1","8","3"
"15","1","2","1","2","2","1","2","3","2","2","3","4","1","2","2","5","5","8","1"
"16","1","2","1","2","2","1","2","1","3","1","4","3","2","2","1","3","2","3","8"
"17","1","1","2","2","2","2","1","3","2","2","1","1","2","3","6","6","8","3","2"
"18","1","1","2","2","1","2","2","3","1","4","2","3","3","3","3","5","4","6","8"
"19","1","1","2","2","2","2","1","1","3","1","2","2","1","3","5","4","3","8","7"
"20","2","2","1","1","1","1","1","1","1","4","3","3","2","3","6","7","7","8","5"
"21","2","1","2","1","1","1","1","2","4","2","3","3","1","2","3","3","8","5","7"
"22","1","2","1","2","2","2","1","4","3","4","1","1","1","2","3","2","7","2","4"
"23","1","1","1","1","2","2","1","1","1","2","3","1","1","1","4","1","1","4","8"
"24","1","1","2","2","2","1","2","4","3","4","3","4","2","3","7","1","6","5","3"
"25","2","1","1","2","1","1","1","2","2","1","2","4","1","4","6","2","6","1","8"
"26","1","2","1","2","2","2","1","2","2","3","2","2","2","2","4","8","4","5","5"
"27","1","1","1","1","1","1","1","4","2","1","1","1","3","1","7","3","4","8","6"
"28","2","1","1","2","1","1","1","4","3","2","1","3","2","4","5","8","1","6","1"
"29","2","2","1","1","2","2","1","2","3","4","2","4","3","3","2","3","1","7","2"
"30","1","2","2","1","2","1","2","3","4","1","2","3","1","4","7","8","7","4","2"
"31","2","1","2","1","2","2","1","1","2","2","2","4","4","2","7","7","2","6","4"
"32","2","1","2","1","2","2","1","3","3","1","1","3","3","2","8","1","5","1","5"
"33","2","1","1","2","1","2","2","1","3","3","4","1","1","4","7","5","8","7","5"
"34","2","2","1","1","2","1","2","3","3","1","3","2","4","3","4","2","8","6","6"
"35","1","2","1","2","1","1","1","1","4","3","3","1","3","2","8","4","6","6","2"
"36","1","1","2","2","1","1","1","4","4","2","4","2","3","3","2","2","2","4","5"
"37","1","2","2","1","1","1","1","1","2","4","2","2","3","4","1","1","8","2","1"
"38","2","1","1","2","2","1","2","2","1","3","1","2","4","4","3","1","2","8","2"
"39","2","1","2","1","2","1","2","4","2","3","3","2","3","2","5","6","7","7","8"
"40","1","1","1","1","2","1","2","4","1","3","2","3","2","1","2","4","8","1","4"
"41","1","2","1","2","1","2","2","4","4","2","2","3","4","2","6","1","3","7","6"
"42","2","2","2","2","1","1","1","1","3","3","2","4","2","1","3","6","5","4","6"
"43","1","1","1","1","2","1","2","2","4","4","1","4","1","1","1","6","3","6","5"
"44","2","1","1","2","2","2","1","1","4","1","3","3","4","4","2","6","4","2","3"
"45","1","1","1","1","1","2","2","3","3","3","3","4","3","1","6","8","2","2","7"
"46","1","2","2","1","2","1","2","1","1","2","1","4","2","4","8","2","4","7","7"
"47","2","2","2","2","2","2","1","2","1","3","3","3","3","1","7","2","3","3","1"
"48","1","2","2","1","1","1","1","3","3","3","1","1","4","4","2","7","3","5","8"
"49","1","1","2","2","1","2","2","1","4","3","1","4","4","3","4","3","7","1","1"
"50","2","2","2","2","1","2","2","4","3","2","3","2","1","1","1","7","4","1","2"
"51","1","1","2","2","2","1","2","2","2","3","4","3","1","3","8","7","1","2","6"
"52","1","1","1","1","2","2","1","3","4","1","4","2","2","1","3","7","6","7","1"
"53","2","1","2","1","2","1","2","2","3","4","4","1","4","2","6","4","4","4","1"
"54","2","2","2","2","2","1","2","1","4","1","1","2","3","1","6","5","1","5","4"
"55","2","2","1","1","2","2","1","4","2","3","1","3","4","3","1","5","6","4","7"
"56","2","2","2","2","2","2","1","4","4","4","4","4","4","1","8","8","8","8","8"
"57","2","1","2","1","1","1","1","4","1","1","4","4","2","2","4","5","3","2","2"
"58","1","2","2","1","1","2","2","4","2","1","3","4","4","4","3","4","1","3","5"
"59","2","2","2","2","1","2","2","2","2","1","4","1","2","1","2","1","7","6","7"
"60","1","2","1","2","1","2","2","2","1","1","1","4","3","2","5","7","8","4","3"
"61","2","1","1","2","1","2","2","3","2","4","3","2","2","4","8","3","3","4","4"
"62","1","2","2","1","2","2","1","2","4","4","3","1","2","4","5","5","2","1","6"
"63","1","1","1","1","1","1","1","2","3","2","2","2","4","1","8","5","7","3","3"
"64","2","2","1","1","1","2","2","4","1","1","2","1","1","3","8","6","2","5","1"
